,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,11,2,2,0,0,0,4,0,1,1,44,22,8.125308368738743,True,SILVER
1,5,7,1,1,0,2,4,1,1,1,28,43,-8.469349379498034,False,SILVER
2,10,6,2,0,1,0,4,1,1,0,47,35,2.5143530809288777,True,SILVER
3,7,2,1,0,1,0,4,0,2,0,35,12,11.601999520237058,True,SILVER
4,7,5,1,1,1,1,4,1,0,2,46,35,1.1171075275392255,True,SILVER
5,1,9,0,2,0,0,0,2,1,0,23,32,-3.055195656102839,False,SILVER
6,8,0,1,0,1,0,3,0,2,0,27,14,11.534500195645272,True,SILVER
7,5,10,1,2,0,1,1,2,0,1,34,42,-1.9177881707501925,False,SILVER
8,10,7,3,1,2,0,3,2,1,1,55,40,3.6665745209742795,True,SILVER
9,5,10,0,2,0,1,2,3,1,0,32,38,-2.105914293757735,False,SILVER
10,5,11,0,4,1,1,1,5,2,0,34,38,-0.32619942195481144,False,SILVER
11,1,10,0,2,0,1,1,2,0,2,15,37,-12.189774322636815,False,SILVER
12,2,11,0,3,0,1,1,3,0,2,15,27,-10.51997920143641,False,SILVER
13,11,3,3,0,1,0,3,1,0,0,33,22,7.211755427446583,True,SILVER
14,10,6,2,1,2,0,4,1,1,0,51,40,2.947185197309146,True,SILVER
15,4,11,0,4,0,2,2,4,0,1,38,43,-2.759415160503835,False,SILVER
16,7,2,1,0,1,0,3,0,1,0,31,15,11.131036404009045,True,SILVER
17,2,10,0,3,0,1,2,2,0,2,24,43,-6.7693028976626906,False,SILVER
18,9,1,1,0,1,0,4,0,1,1,42,24,9.917352408724682,True,SILVER
19,9,5,2,1,1,0,3,2,1,0,40,32,5.420180803397038,True,SILVER
20,4,9,0,1,1,1,3,2,2,0,26,34,-7.619701985035043,False,SILVER
21,8,4,3,0,0,0,2,1,2,0,50,26,8.042507907806936,True,SILVER
22,11,2,2,0,0,0,1,2,0,1,46,38,8.927645094722081,True,SILVER
23,6,10,0,2,0,0,2,2,1,0,33,49,-6.450969795084468,False,SILVER
24,4,4,2,2,0,0,0,0,0,0,81,88,-0.21831233929292893,False,SILVER
25,10,4,2,0,1,0,5,0,1,1,53,38,8.242207378353292,True,SILVER
26,1,10,0,2,0,1,1,3,2,0,24,40,-11.165566934924271,False,SILVER
27,1,11,0,3,0,1,0,3,0,2,8,31,-20.522235584401137,False,SILVER
28,11,6,4,0,2,2,5,2,0,2,62,52,4.902739688231193,True,SILVER
29,2,10,0,3,0,1,0,4,1,1,24,39,-9.994698260716767,False,SILVER
30,11,3,4,0,2,0,4,1,2,0,56,44,2.0660287536168624,True,SILVER
31,3,8,0,1,1,0,0,4,0,2,25,40,-4.814027494500081,False,SILVER
32,7,5,1,1,1,0,2,4,1,1,45,32,4.714308471523658,True,SILVER
33,10,2,3,0,1,0,3,1,2,0,42,23,10.352636042871893,True,SILVER
34,9,2,1,0,0,0,3,0,2,0,31,10,14.83156670425452,True,SILVER
35,2,10,0,2,0,1,1,3,1,1,20,34,-8.419015942242332,False,SILVER
36,11,3,4,0,0,0,3,0,2,0,43,26,10.795412796389584,True,SILVER
37,11,4,4,0,2,0,4,2,2,0,47,39,3.6896792304271173,True,SILVER
38,1,9,0,1,0,1,0,3,0,1,19,34,-11.488032543742207,False,SILVER
39,4,8,0,1,0,0,3,2,1,1,29,43,-3.2368005689747363,False,SILVER
40,9,1,3,0,1,0,4,0,1,0,34,14,10.021291705667451,True,SILVER
