,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,4,4,1,0,1,0,2,1,2,0,32,18,10.839300407375429,True,IRON
1,5,11,0,5,1,1,1,5,1,1,55,61,-4.358310984783529,False,IRON
2,5,10,0,3,0,1,1,4,1,1,33,56,-6.374106781571612,False,IRON
3,3,11,0,2,0,1,0,3,1,1,27,42,-4.302321745336975,False,IRON
4,2,11,0,4,0,1,0,4,0,2,30,32,-0.8439466616276547,False,IRON
5,9,6,2,0,1,0,2,2,0,2,40,31,5.274806407224247,True,IRON
6,7,9,2,1,0,2,0,5,2,0,28,42,-9.568433946576121,False,IRON
7,8,4,1,0,1,0,1,3,2,0,31,30,-5.741068810641522,True,IRON
8,11,4,3,0,1,0,4,0,2,0,54,23,11.599804388802582,True,IRON
9,7,11,0,4,0,2,1,3,2,0,17,28,-1.193843643435443,False,IRON
10,11,0,3,0,1,0,3,1,0,2,44,9,15.73694140811967,True,IRON
11,9,11,1,2,0,1,4,2,1,1,50,52,0.30511060975624815,False,IRON
12,2,11,0,3,0,1,0,4,0,1,11,28,-7.9137876762807196,False,IRON
13,11,5,4,1,2,0,3,3,2,0,38,36,2.2885942102869024,True,IRON
14,8,3,2,0,2,0,3,1,2,0,35,19,12.643679943210255,True,IRON
15,2,11,0,3,0,1,0,4,0,1,21,31,-12.148735420311695,False,IRON
16,10,4,3,0,1,1,3,2,1,1,39,47,-2.6809700058893284,True,IRON
17,4,10,0,4,0,0,2,4,1,1,33,28,3.021352622803029,False,IRON
18,1,11,0,3,0,1,0,4,0,2,30,35,-3.3720434510276363,False,IRON
19,3,11,0,2,0,2,2,3,1,1,27,44,-5.57953610706091,False,IRON
20,6,9,1,2,1,0,1,4,0,1,44,44,-5.696593488958747,False,IRON
21,11,6,6,1,1,0,2,2,1,1,56,35,3.638629231336246,True,IRON
22,1,11,0,3,0,0,0,3,0,1,20,35,-12.3045193183018,False,IRON
23,11,2,3,0,0,0,2,3,2,0,32,14,9.843074861971338,True,IRON
24,9,8,3,2,1,0,2,4,1,1,40,50,-4.068499931920044,False,IRON
25,10,2,2,0,1,0,2,2,2,0,27,17,5.688156122478887,True,IRON
26,4,11,0,3,0,1,2,3,0,1,44,61,-6.632415487825554,False,IRON
27,6,10,0,2,0,0,2,3,2,0,18,47,-11.437341743080715,False,IRON
28,6,11,2,4,0,1,2,3,0,2,29,35,-2.1262216766770976,False,IRON
29,7,9,0,2,2,0,2,4,1,0,50,53,-2.855733262264664,False,IRON
30,1,11,0,3,0,1,3,1,1,1,22,38,-8.319973249638359,False,IRON
31,3,8,0,1,0,0,1,2,0,1,26,40,-8.281188248623401,False,IRON
32,2,9,0,1,0,1,1,3,0,2,26,29,-1.7512531032350012,False,IRON
33,5,10,0,2,1,1,0,5,0,2,34,39,-1.4890705753903646,False,IRON
34,11,0,5,0,1,0,2,2,2,0,31,21,3.416350512609185,True,IRON
35,8,7,2,1,1,2,5,1,0,1,61,56,1.0224368318482462,True,IRON
36,11,10,3,1,2,0,2,3,0,1,49,25,11.624779224117624,True,IRON
37,2,11,0,3,0,1,0,4,1,1,18,23,-1.1615221048394133,False,IRON
38,5,10,0,2,0,1,2,2,0,0,26,23,0.2944811954380029,False,IRON
39,2,10,0,2,0,0,1,2,1,1,23,34,-8.471146258144628,False,IRON
40,11,3,4,0,2,0,4,1,1,1,53,23,9.59511595257456,True,IRON
41,2,7,0,1,0,1,2,2,2,0,28,32,-8.123899602230146,False,IRON
42,5,11,0,5,1,0,3,3,1,1,61,60,1.0804168252633417,False,IRON
