,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,8,9,1,1,1,2,3,3,2,0,35,47,-4.198589865304378,False,SILVER
1,10,7,3,0,1,2,5,1,2,0,41,43,0.6421770065990913,True,SILVER
2,7,5,1,0,0,1,2,1,1,0,40,32,3.2187834451881585,True,SILVER
3,10,3,2,0,0,0,3,1,2,0,50,48,1.856865088191384,True,SILVER
4,4,3,0,0,0,0,2,2,0,2,42,29,5.167037603263374,True,SILVER
5,4,6,0,1,0,0,1,3,0,0,24,42,-7.348758706266388,False,SILVER
6,7,2,1,0,1,0,3,0,1,1,26,15,9.107297778207435,True,SILVER
7,3,5,0,0,0,0,2,1,0,1,22,33,-8.017671939301657,False,SILVER
8,9,8,2,1,1,2,4,3,0,1,56,34,7.54225205873955,True,SILVER
9,9,9,2,1,1,1,2,3,2,0,46,39,2.8197592165683503,False,SILVER
10,6,11,0,3,0,1,2,1,1,0,34,50,-9.021756034412405,False,SILVER
11,6,4,0,0,1,0,3,2,1,0,41,24,7.964874372340837,True,SILVER
12,0,11,0,3,0,1,0,4,1,1,22,38,-9.557454718944399,False,SILVER
13,4,9,0,2,0,0,0,4,1,1,29,33,-2.305227883678988,False,SILVER
14,8,9,1,3,0,2,2,1,0,1,31,42,-5.937983244448965,False,SILVER
15,7,11,1,4,1,0,1,4,0,1,37,31,2.6098157579651087,False,SILVER
16,10,1,2,0,1,0,3,1,1,0,32,16,12.061804950513192,True,SILVER
17,10,5,2,0,1,0,1,3,1,1,35,35,4.398415362352495,True,SILVER
18,7,3,1,0,1,0,3,0,0,1,36,12,15.97750205744238,True,SILVER
19,9,7,2,0,1,0,1,4,1,1,35,42,-5.400907944298844,False,SILVER
20,11,4,5,0,2,0,3,3,0,0,43,46,-3.227846581139005,True,SILVER
21,1,11,0,3,0,0,1,3,1,1,39,55,-4.9563321593936465,False,SILVER
22,6,2,0,0,1,0,2,1,2,0,24,26,-9.13851231563719,True,SILVER
23,11,1,3,0,0,0,3,0,0,1,40,14,14.70976308989373,True,SILVER
24,9,3,2,0,1,0,2,1,2,0,35,19,8.439776568667192,True,SILVER
25,9,9,1,1,1,1,3,3,1,0,52,52,0.8125544913932288,False,SILVER
26,4,11,0,4,0,0,2,3,1,1,37,53,-7.542933430869702,False,SILVER
27,4,9,0,2,0,0,1,3,0,1,34,57,-3.8105409443081157,False,SILVER
28,7,10,1,2,0,1,0,5,1,1,44,44,-2.540032619931317,False,SILVER
29,7,10,1,2,0,1,1,3,0,2,38,38,1.5888391796837311,False,SILVER
30,3,7,0,1,0,0,1,3,0,1,25,26,-1.2415176003599484,False,SILVER
31,7,10,1,3,0,2,4,2,1,0,60,60,-1.8179597763540514,False,SILVER
32,7,10,1,2,1,1,2,4,2,0,41,55,-5.300840348076363,False,SILVER
33,4,8,0,1,0,0,1,3,0,2,34,33,-3.9515937822393354,False,SILVER
34,3,8,0,2,1,0,0,4,0,2,30,55,-7.4205348154680095,False,SILVER
