,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,3,10,0,2,0,1,1,3,0,1,47,61,-8.4264275291413,False,IRON
1,11,4,2,0,1,0,2,1,1,1,43,21,3.451061728278127,True,IRON
2,11,6,4,1,1,0,3,2,1,1,36,40,-0.6348344093468086,True,IRON
3,4,11,0,3,0,1,0,4,1,1,41,51,-3.111533417848946,False,IRON
4,3,11,0,4,0,2,2,3,0,2,20,38,-15.449365716824833,False,IRON
5,4,7,0,1,0,1,0,4,1,0,19,25,-7.588247689373155,False,IRON
6,3,10,0,2,0,1,0,5,0,2,20,51,-10.118489367608753,False,IRON
7,11,7,3,1,1,2,5,2,0,1,62,71,-0.7425074720335658,True,IRON
8,4,10,0,3,0,1,2,2,2,0,40,49,-4.654861562913247,False,IRON
9,8,2,2,0,1,0,4,0,2,0,28,11,12.988592527505354,True,IRON
10,6,9,1,2,0,1,2,2,1,1,32,49,-9.979672589823814,False,IRON
11,3,10,0,2,0,1,2,2,2,0,28,43,-7.73665087475802,False,IRON
12,11,2,3,0,0,0,4,0,1,1,29,26,-1.53956128144182,True,IRON
13,9,5,2,0,1,0,2,1,1,1,23,10,8.794952567459674,True,IRON
14,6,10,1,3,0,1,2,3,0,2,30,51,-12.463642656893981,False,IRON
15,5,10,0,2,0,1,0,5,1,1,27,40,-9.095165606891555,False,IRON
16,9,2,2,0,1,0,3,0,2,0,21,22,0.21275985762683547,True,IRON
17,11,3,3,0,1,0,1,3,1,1,31,37,-1.1889368459309537,True,IRON
18,11,2,3,0,0,0,3,0,2,0,32,17,11.798682047392099,True,IRON
19,8,4,1,0,0,1,2,2,1,1,32,30,1.5333782184463374,True,IRON
20,4,8,0,1,0,2,1,3,1,1,34,49,-10.716218160425342,False,IRON
21,1,7,0,1,0,1,1,2,1,1,17,31,-13.254924112014635,False,IRON
22,5,11,1,5,1,1,3,4,1,0,52,47,3.101530207326924,False,IRON
23,3,11,0,3,0,0,1,4,1,0,32,36,-1.950697785009332,False,IRON
24,9,11,1,3,0,1,2,3,0,2,35,45,-2.041804466747081,False,IRON
25,6,8,0,2,1,0,2,3,0,2,28,33,-2.988618403557389,False,IRON
26,11,0,4,0,1,0,3,0,2,0,29,22,2.926495262607588,True,IRON
27,11,0,3,0,1,0,2,1,1,1,48,25,7.3280512548484396,True,IRON
28,10,2,2,0,1,0,3,1,2,0,43,31,-0.06281903302350855,True,IRON
29,4,11,0,3,0,1,3,2,0,1,26,40,-3.811733375266222,False,IRON
30,3,7,0,1,0,0,0,4,0,2,27,38,-7.478525790634485,False,IRON
31,2,11,0,4,0,1,0,4,1,1,34,33,-0.7205874187901813,False,IRON
32,7,1,2,0,0,1,3,1,1,1,46,31,1.0534781295628903,True,IRON
33,8,1,1,0,0,0,1,2,0,2,35,13,15.369324092630038,True,IRON
34,2,11,0,3,0,0,0,4,0,2,23,47,-3.6277977434238835,False,IRON
35,4,8,0,1,0,1,1,4,0,1,39,32,3.7690312503187897,False,IRON
36,5,11,0,3,2,0,3,3,0,1,58,61,0.5837637569386942,False,IRON
37,2,11,0,1,0,1,1,4,1,1,32,46,-6.4963374937952665,False,IRON
38,10,2,2,0,1,0,1,1,1,1,40,17,13.6401418141864,True,IRON
