,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,2,9,0,2,0,1,0,3,1,0,29,42,-8.351977406538417,False,IRON
1,1,8,0,2,0,1,0,2,1,1,11,29,-14.335562559516994,False,IRON
2,7,6,1,0,0,0,3,1,0,2,36,26,3.902285511088266,True,IRON
3,5,11,0,2,0,1,3,1,1,1,27,52,-11.869085648344544,False,IRON
4,10,4,2,0,1,0,4,1,2,0,26,17,5.938841893052427,True,IRON
5,9,6,2,1,1,0,3,0,0,2,43,28,7.646324430708361,True,IRON
6,5,7,0,1,1,0,1,3,0,1,32,40,-2.7300166923951252,False,IRON
7,10,7,2,0,0,1,3,2,1,1,42,33,-1.5799600318351281,True,IRON
8,11,6,3,0,1,0,3,2,1,1,33,37,3.416711849158254,True,IRON
9,9,5,1,0,0,1,4,2,1,0,53,44,2.957002448024582,True,IRON
10,4,5,0,0,0,1,0,3,1,0,18,36,-7.050242604959919,False,IRON
11,3,6,0,0,0,0,1,3,0,2,12,26,-13.398395415085847,False,IRON
12,11,2,5,0,0,1,5,0,1,1,48,39,1.6619749692902914,True,IRON
13,11,2,4,0,1,0,4,1,2,0,54,25,11.742834925237915,True,IRON
14,11,3,3,0,1,0,3,2,0,2,32,27,-1.4471388098264484,True,IRON
15,2,8,0,1,0,1,3,2,0,2,35,45,0.9864963748516757,False,IRON
16,1,8,0,2,0,0,0,3,0,1,11,25,-5.378141560597598,False,IRON
17,10,1,2,0,0,0,4,0,2,0,36,16,11.857231343602166,True,IRON
18,3,9,0,1,0,1,1,3,1,1,27,28,-1.6925199622976308,False,IRON
19,8,3,2,0,2,0,1,4,0,2,46,31,5.822539185908759,True,IRON
20,3,6,0,1,0,1,0,4,0,2,34,39,-7.583165008642112,False,IRON
21,3,10,0,1,0,1,1,3,1,0,26,41,-8.861010825587485,False,IRON
22,0,10,0,2,0,2,1,4,0,2,27,44,-9.702970658704395,False,IRON
23,10,10,2,2,0,0,4,1,0,1,46,16,9.893435486735015,True,IRON
24,5,10,0,2,0,1,1,4,0,1,40,54,-4.939869457710394,False,IRON
25,3,9,0,2,0,1,1,4,0,1,29,38,-4.908369459749387,False,IRON
26,6,4,1,0,0,0,0,2,1,0,19,39,-10.108362769620655,False,IRON
27,4,2,0,0,0,0,3,0,1,0,38,17,14.52256621923702,True,IRON
28,8,6,1,1,0,1,2,2,1,1,39,36,-6.518893568678777,True,IRON
29,2,2,0,0,0,0,1,3,1,0,32,27,4.823097915766041,True,IRON
30,3,10,0,2,0,0,1,4,1,1,36,36,-5.5973115101134425,False,IRON
31,4,9,0,2,0,1,0,4,2,0,24,36,-6.655315761738571,False,IRON
32,11,5,2,0,2,0,1,4,1,1,34,31,-0.281321501875091,True,IRON
33,9,2,1,0,0,0,2,2,2,0,27,31,-0.1423742019331229,True,IRON
34,11,3,3,0,0,0,3,0,1,0,29,14,-1.280633090700121,True,IRON
35,7,7,0,1,0,1,1,4,0,2,47,63,-5.0237961567486025,False,IRON
