,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,6,9,1,1,0,1,1,4,0,1,31,48,-3.638141492815109,False,IRON
1,11,7,4,0,1,1,5,1,0,2,67,52,3.6211632725571903,True,IRON
2,10,7,2,2,2,0,3,3,1,1,59,54,3.97689699806471,True,IRON
3,2,10,0,3,0,1,0,4,0,2,22,46,-13.27808457071351,False,IRON
4,8,9,3,2,0,2,4,3,2,0,60,64,-1.7352103688825977,False,IRON
5,2,11,0,2,1,0,0,3,0,1,33,37,-2.7803326227420797,False,IRON
6,10,11,3,8,0,3,5,2,0,1,64,84,-3.218451616904197,True,IRON
7,11,1,3,0,0,0,4,0,1,1,37,21,5.311767475312685,True,IRON
8,5,10,0,2,0,1,0,4,1,1,29,39,1.2529044702837453,False,IRON
9,11,0,3,0,1,0,3,0,2,0,43,12,17.64651877206622,True,IRON
10,8,1,1,0,1,0,3,0,2,0,30,16,11.614096562315918,True,IRON
11,9,1,2,0,1,0,2,1,1,0,52,21,12.992871439835874,True,IRON
12,3,9,0,1,0,1,0,5,0,1,31,37,-4.316525660958234,False,IRON
13,11,3,3,0,2,0,2,4,1,1,44,43,1.7985962178106263,True,IRON
14,9,7,1,1,0,1,0,4,0,2,34,42,-9.84382273753609,False,IRON
15,11,11,6,2,0,1,3,4,2,0,39,46,-5.047040103037588,False,IRON
16,9,4,1,0,2,0,2,2,0,0,43,33,2.5320160333525337,True,IRON
17,10,2,2,0,0,1,1,3,1,1,49,34,2.5087072246794477,True,IRON
18,1,10,0,2,0,0,2,1,1,1,19,39,-11.016285573584042,False,IRON
19,8,11,2,3,1,1,3,3,0,1,71,68,-3.1355757828134827,False,IRON
20,11,2,6,0,1,1,5,1,0,2,54,53,1.8610521743948567,True,IRON
21,1,11,0,3,0,1,2,1,0,2,29,38,-8.210741581396661,False,IRON
22,10,1,2,0,0,0,4,0,2,0,45,30,5.210591885625611,True,IRON
23,11,10,3,2,2,0,4,1,2,0,55,55,4.371042306684508,False,IRON
24,11,1,5,0,0,0,2,2,1,1,45,24,10.239891449081249,True,IRON
25,8,10,1,3,1,0,2,3,1,1,67,55,2.9461588953608384,True,IRON
26,10,7,4,2,2,0,2,3,0,1,34,36,1.1501444402471321,True,IRON
27,7,1,1,0,1,0,4,0,1,1,35,25,7.058612172458233,True,IRON
28,2,10,0,2,0,1,3,1,0,1,39,47,-4.188929815019691,False,IRON
29,5,10,0,2,1,1,2,4,0,1,44,44,1.0029484912012023,False,IRON
30,3,9,0,2,0,1,0,4,1,1,16,39,-15.544134686716724,False,IRON
31,8,11,3,4,1,0,2,4,0,1,48,67,-6.6920863178080126,False,IRON
32,9,9,2,3,0,2,3,3,1,1,61,49,6.577266403260566,True,IRON
33,11,5,3,0,2,0,3,3,2,0,46,41,5.2618369804689,True,IRON
34,4,9,0,2,0,1,2,1,0,1,24,39,-7.1375515929102775,False,IRON
35,1,10,0,3,0,0,1,3,0,2,32,55,-7.2102161554392765,False,IRON
36,11,2,2,0,2,0,4,0,2,0,37,30,2.7736615045575874,True,IRON
