,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,4,8,0,2,1,1,1,4,1,0,34,45,-6.614155744927757,False,SILVER
1,3,8,0,1,0,1,1,4,1,0,32,40,-6.628848624014012,False,SILVER
2,10,1,2,0,1,0,3,1,1,0,31,21,8.845950074722616,True,SILVER
3,8,2,1,0,0,0,2,1,2,0,41,26,6.807066516377198,True,SILVER
4,11,0,3,0,1,0,3,1,2,0,35,21,8.92476073601145,True,SILVER
5,3,7,0,1,0,0,0,3,0,1,22,40,-8.890187550669154,False,SILVER
6,9,1,2,0,1,0,1,3,2,0,35,16,12.747463983493404,True,SILVER
7,9,5,2,0,0,1,4,0,2,0,55,37,1.9189053863161476,True,SILVER
8,7,1,1,0,0,0,4,0,1,0,30,15,8.857916265344087,True,SILVER
9,10,5,2,0,1,0,3,1,0,2,47,32,5.720842709760461,True,SILVER
10,10,7,2,0,1,0,2,3,1,1,38,44,-1.9632600963092983,True,SILVER
11,10,3,2,0,1,0,3,1,0,1,36,20,8.058133172094621,True,SILVER
12,9,3,1,0,1,0,3,1,2,0,45,35,2.320123202617289,True,SILVER
13,9,4,1,0,1,0,3,2,2,0,46,33,6.693109551348243,True,SILVER
14,8,11,5,4,1,3,2,5,0,2,58,62,-3.390954420303757,False,SILVER
15,4,4,2,1,0,0,0,0,0,0,73,82,-1.7731723450153183,True,SILVER
16,1,4,0,4,0,0,0,0,0,0,75,83,-2.4740602482003595,False,SILVER
17,2,11,0,3,0,2,1,2,0,2,24,37,-8.45960210780136,False,SILVER
18,9,1,1,0,0,0,3,1,1,0,46,16,15.91698389795674,True,SILVER
19,6,9,0,2,0,1,1,4,1,1,27,35,-10.146336779259002,False,SILVER
20,5,9,0,3,0,2,1,4,0,2,40,40,1.313153267797503,False,SILVER
21,1,11,0,3,0,0,0,3,0,2,15,32,-10.543308177438611,False,SILVER
22,4,9,0,2,0,1,0,4,1,1,21,31,-2.3611443955856473,False,SILVER
23,1,11,0,4,0,1,0,4,0,2,26,41,-5.017852590854332,False,SILVER
24,9,8,2,2,0,2,2,3,0,2,57,48,2.3905985260548803,True,SILVER
25,7,2,2,0,1,0,2,2,2,0,31,22,4.95345151229882,True,SILVER
26,11,5,3,0,1,0,1,1,0,2,26,16,7.201767289528085,True,SILVER
27,11,7,3,1,0,1,3,3,2,0,51,38,4.601043287465217,True,SILVER
28,3,9,0,2,0,1,0,3,1,1,22,38,-12.393102409291387,False,SILVER
29,4,7,0,1,0,1,1,3,1,1,30,49,-6.600034275619798,False,SILVER
30,4,10,0,2,0,2,1,3,1,1,28,34,-2.4514242597747398,False,SILVER
31,1,10,0,3,0,0,1,3,0,2,18,34,-10.199741325284222,False,SILVER
32,10,1,3,0,0,0,3,1,0,1,25,21,4.627868570333689,True,SILVER
33,7,1,1,0,1,0,3,1,1,1,36,17,9.350979495115347,True,SILVER
34,10,4,2,0,2,0,4,1,1,0,48,31,6.919018128613068,True,SILVER
35,9,11,1,5,1,2,2,5,0,1,56,57,5.022482586986605,True,SILVER
36,3,8,0,1,0,1,0,4,1,1,20,27,-4.972617586926695,False,SILVER
37,3,10,0,2,0,1,2,2,0,2,28,39,-5.859985510314473,False,SILVER
38,8,4,1,0,1,0,3,2,0,1,36,30,0.9335984065232239,True,SILVER
39,5,9,0,2,0,1,1,4,2,0,47,38,-0.14690527365881678,False,SILVER
