,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,3,7,0,1,0,1,1,2,0,1,20,28,-5.181149105206927,False,BRONZE
1,9,11,0,3,0,2,1,5,1,1,44,55,-6.53192826135799,False,BRONZE
2,3,8,0,1,0,1,0,4,1,0,29,34,-4.169660777126744,False,BRONZE
3,7,4,1,0,1,0,2,2,0,1,46,28,7.021232101161694,True,BRONZE
4,8,4,1,0,1,0,3,0,0,2,41,22,8.650669378649667,True,BRONZE
5,2,10,0,1,0,0,0,3,0,1,28,30,0.780189022714076,False,BRONZE
6,10,3,2,0,1,0,2,2,1,0,40,25,5.80348505390139,True,BRONZE
7,7,9,1,3,0,1,2,4,1,1,25,33,-4.702396605632643,False,BRONZE
8,4,2,2,1,0,0,0,0,0,0,62,55,1.7072679517786327,True,BRONZE
9,6,4,0,0,0,0,1,2,1,0,16,26,-4.406717820167195,False,BRONZE
10,4,9,0,2,0,1,1,2,2,0,26,36,-7.751210019732014,False,BRONZE
11,1,4,0,2,0,0,0,0,0,0,47,58,-2.070819066069923,False,BRONZE
12,2,8,0,1,1,0,1,3,0,1,29,41,-8.33090619928884,False,BRONZE
13,3,8,0,1,0,1,1,2,1,1,25,33,-2.4814857054197503,False,BRONZE
14,6,3,2,0,1,0,2,2,1,1,43,34,1.6472307436411384,True,BRONZE
15,4,2,1,1,0,0,0,0,0,0,52,59,0.3021452738810808,True,BRONZE
16,6,3,0,0,0,0,2,2,2,0,26,17,6.856285648620535,True,BRONZE
17,3,9,0,3,0,0,1,2,0,2,28,32,-2.386889397663147,False,BRONZE
18,4,4,3,1,0,0,0,0,0,0,58,48,0.5348174591067973,False,BRONZE
19,8,0,1,0,1,0,3,1,2,0,29,19,7.4387795421051095,True,BRONZE
20,0,10,0,2,0,0,0,4,0,1,18,34,-6.297758758767415,False,BRONZE
21,10,0,2,0,0,0,4,0,1,0,30,9,12.182438749535386,True,BRONZE
22,11,0,3,0,1,0,2,1,1,0,31,24,11.979641572623855,True,BRONZE
23,3,10,0,2,0,1,0,4,0,1,14,26,-9.712363387609734,False,BRONZE
24,10,2,3,0,0,0,3,0,1,0,38,11,20.18646887092326,True,BRONZE
