,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,1,7,0,1,0,0,0,3,0,0,30,39,-5.635035709770648,False,SILVER
1,4,10,0,2,0,2,1,4,0,1,38,42,-6.2638967661036276,False,SILVER
2,7,4,0,0,0,0,3,0,1,1,38,21,7.548334989329248,True,SILVER
3,3,9,0,1,0,0,1,2,0,2,21,38,-10.6016484287046,False,SILVER
4,11,6,4,0,2,1,4,3,0,2,47,51,-2.2099441518621887,True,SILVER
5,5,8,0,1,0,1,1,4,1,1,18,47,-13.699715288439645,False,SILVER
6,9,8,1,2,2,1,5,1,0,2,47,33,4.0766687200432585,True,SILVER
7,8,9,1,4,2,1,3,2,2,0,48,52,-3.782356071465081,False,SILVER
8,10,5,2,0,1,0,4,1,0,1,46,29,5.49086416205796,True,SILVER
9,10,3,2,0,1,0,4,0,2,0,38,34,1.2036311161578155,True,SILVER
10,11,3,3,0,1,0,4,1,0,2,40,26,7.547862481631711,True,SILVER
11,8,4,1,0,1,0,4,0,2,0,34,19,4.597468282048418,True,SILVER
12,3,10,0,2,0,1,0,4,0,1,24,42,-10.465610972109914,False,SILVER
13,8,5,1,0,1,0,2,2,1,1,38,30,8.738140439091787,True,SILVER
14,3,7,0,1,0,0,2,2,1,1,20,32,-5.8659825481549674,False,SILVER
15,4,10,0,3,0,1,0,5,1,1,28,57,-9.872509241891251,False,SILVER
16,11,8,3,2,2,2,5,2,0,2,59,55,5.973056679832489,True,SILVER
17,10,6,3,0,2,0,2,3,0,1,52,35,5.031508074521497,True,SILVER
18,0,7,0,0,0,1,1,1,0,2,21,48,-13.446267987030406,False,SILVER
19,3,11,0,2,0,0,0,4,0,1,23,49,-14.703329388902198,False,SILVER
20,8,3,3,0,2,0,3,2,2,0,36,26,2.465360948521962,True,SILVER
21,6,8,1,2,1,1,2,3,0,1,46,44,6.824259865595295,True,SILVER
22,9,6,2,2,2,0,4,1,1,0,38,31,1.2525599684577813,True,SILVER
23,2,9,0,2,0,0,2,1,2,0,25,25,-6.118390996128511,False,SILVER
24,7,7,1,1,1,0,2,2,0,2,34,49,-9.12471291546187,False,SILVER
25,2,7,0,2,1,0,3,2,1,1,41,53,-4.052160657901474,False,SILVER
26,4,4,2,1,0,0,0,0,0,0,68,70,-0.3339762900931973,False,SILVER
27,9,1,3,0,1,0,2,2,2,0,23,20,1.2155146099558536,True,SILVER
28,10,1,1,0,0,0,3,1,0,1,37,22,7.959412603027978,True,SILVER
29,11,6,2,1,2,0,3,2,1,0,54,36,10.149925226980592,True,SILVER
30,10,2,2,0,0,0,1,1,1,1,35,17,7.270385662575123,True,SILVER
31,10,1,1,0,1,0,3,1,1,1,41,26,8.826301440945805,True,SILVER
32,1,11,0,2,0,0,1,3,0,1,19,47,-10.990334793785223,False,SILVER
