,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,8,5,1,0,2,0,4,1,2,0,52,35,6.653251052553479,True,GOLD
1,2,7,0,0,0,1,0,3,1,1,26,27,0.5442844477404236,False,GOLD
2,1,8,0,1,0,0,1,2,1,1,26,31,-4.559145710827224,False,GOLD
3,2,10,0,2,0,1,2,3,1,1,22,34,-9.34972055947712,False,GOLD
4,2,11,0,3,0,1,1,4,1,0,26,35,-4.963035037558278,False,GOLD
5,7,9,0,2,1,0,3,2,2,0,39,54,-5.428996223519356,False,GOLD
6,7,3,1,0,1,0,2,1,2,0,49,28,11.057304641358193,True,GOLD
7,10,1,2,0,2,0,3,0,2,0,36,17,9.800605894122995,True,GOLD
8,6,10,0,1,1,1,1,4,0,1,34,35,-2.1894031598701673,False,GOLD
9,3,11,0,3,0,1,0,5,0,2,26,48,-4.014939834608889,False,GOLD
10,7,5,1,0,0,1,2,2,0,1,40,32,4.766256583568591,True,GOLD
11,6,8,0,1,1,0,4,1,1,1,62,64,-0.522120236777134,False,GOLD
12,10,4,3,0,1,0,4,1,0,2,43,31,2.23995798844323,True,GOLD
13,10,8,3,2,2,2,4,5,2,0,66,72,-2.8061185095616565,True,GOLD
14,1,9,0,2,0,1,1,3,1,1,21,41,-17.216618394607494,False,GOLD
15,3,9,0,1,0,1,2,2,2,0,24,36,-9.586828660571108,False,GOLD
16,3,8,0,1,0,2,4,1,0,1,14,33,-11.201450755426727,False,GOLD
17,10,1,2,0,0,0,3,0,1,0,43,19,13.809875769751805,True,GOLD
18,8,8,1,1,1,0,3,2,2,0,44,45,-3.988089306873057,True,GOLD
19,9,6,2,0,1,0,3,1,0,2,32,12,9.930631052575954,True,GOLD
20,11,4,2,0,1,0,4,0,0,2,36,18,9.597776951435556,True,GOLD
21,9,3,1,0,1,0,4,0,1,1,35,18,9.592875547822274,True,GOLD
22,3,8,0,1,0,1,0,3,0,2,22,40,-10.958418053476596,False,GOLD
23,6,9,1,3,0,3,3,3,1,0,56,62,-3.3544771128984507,False,GOLD
24,4,7,0,1,0,1,2,2,2,0,17,27,-10.609908240031686,False,GOLD
25,10,2,2,0,1,0,4,1,2,0,47,24,9.544548046413325,True,GOLD
26,2,10,0,2,0,1,1,3,1,1,14,34,-13.552237514182217,False,GOLD
27,9,9,2,1,1,1,2,4,1,1,48,45,-1.5620528306352526,False,GOLD
28,7,4,2,0,0,0,3,1,0,2,40,25,4.735528468436044,True,GOLD
29,4,10,0,2,1,0,0,3,0,1,39,45,-3.1644023490258064,False,GOLD
