,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,5,9,0,1,2,0,2,4,0,2,50,46,-1.2924445084402407,False,DIAMOND
1,1,10,0,2,0,1,1,2,1,1,17,38,-8.288733428661622,False,DIAMOND
2,10,2,2,0,1,0,3,0,1,1,28,12,12.222697319210432,True,DIAMOND
3,9,10,2,3,1,2,4,2,1,1,47,37,6.296008349455057,True,DIAMOND
4,3,4,2,3,0,0,0,0,0,0,59,56,-0.7590565595046286,False,DIAMOND
5,1,4,0,1,0,0,0,0,0,0,56,61,-1.1574160540120886,False,DIAMOND
6,4,2,2,1,0,0,0,0,0,0,74,62,4.025763802988855,True,DIAMOND
7,9,3,3,0,1,1,4,1,1,1,41,43,0.5071936279524749,True,DIAMOND
8,6,10,1,3,0,2,1,4,1,1,37,33,8.258036978318351,False,DIAMOND
9,9,1,2,0,1,0,2,1,1,0,27,20,3.8907211649182756,True,DIAMOND
10,6,8,0,1,0,2,1,4,0,2,22,32,-5.1235707368079915,False,DIAMOND
11,9,3,1,0,2,0,2,2,1,1,46,25,8.145790018351477,True,DIAMOND
12,9,3,1,0,2,0,2,3,1,0,52,40,8.466791617170124,True,DIAMOND
13,11,0,2,0,0,1,3,1,1,1,47,26,8.691746801138258,True,DIAMOND
14,9,7,1,1,0,1,3,1,2,0,31,25,1.3279432113774519,False,DIAMOND
15,3,10,0,2,0,2,2,2,0,2,22,38,-6.612571264254463,False,DIAMOND
16,8,8,1,3,3,0,4,2,1,1,47,39,3.8259901843026185,True,DIAMOND
17,9,2,2,0,1,0,4,0,0,2,35,16,13.743259851696934,True,DIAMOND
