,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,1,9,0,1,0,1,0,3,0,2,30,53,-9.919611978148083,False,GRANDMASTER
1,2,11,0,5,0,2,1,4,1,1,19,39,-10.269874847895444,False,GRANDMASTER
2,10,6,2,1,2,0,3,1,1,1,43,36,3.365259989724457,True,GRANDMASTER
3,11,3,3,0,2,0,3,1,2,0,49,39,4.54318114723425,True,GRANDMASTER
4,4,0,0,0,1,0,2,1,2,0,20,11,11.473713484676317,True,GRANDMASTER
5,3,11,1,2,2,0,0,4,0,2,31,41,-5.052729707279504,False,GRANDMASTER
6,11,4,3,0,1,0,1,2,2,0,39,28,2.897001262808871,True,GRANDMASTER
7,4,3,2,2,0,0,0,0,0,0,60,79,-3.678774457302474,True,GRANDMASTER
8,5,10,0,2,0,3,2,3,1,1,31,36,-6.675084172696472,False,GRANDMASTER
9,2,7,0,1,0,1,0,3,1,1,15,32,-12.346285709306827,False,GRANDMASTER
10,9,3,2,0,1,1,4,0,2,0,46,38,2.658517162401573,True,GRANDMASTER
11,6,7,1,1,1,1,2,2,2,0,38,43,-4.254316725295261,True,GRANDMASTER
12,3,8,0,2,1,0,0,4,2,0,19,34,-5.357105792935897,False,GRANDMASTER
13,8,9,3,3,1,3,4,4,0,2,59,59,-0.5779977938042933,True,GRANDMASTER
14,8,2,1,0,2,0,1,2,0,2,35,37,-1.4530513155061726,True,GRANDMASTER
15,8,1,1,0,0,0,1,2,2,0,31,22,3.9932329967302067,True,GRANDMASTER
16,10,5,3,1,1,1,4,1,2,0,51,42,0.5753522437121177,True,GRANDMASTER
17,11,2,2,0,1,0,2,2,2,0,35,27,2.894931713632616,True,GRANDMASTER
18,2,11,0,3,0,1,2,2,0,2,32,40,-1.569313195167986,False,GRANDMASTER
19,9,7,1,0,2,0,2,3,1,1,52,48,4.27431070005472,True,GRANDMASTER
20,3,11,0,3,0,2,2,3,1,1,33,41,-4.867748949767112,False,GRANDMASTER
21,11,1,4,0,1,0,2,1,2,0,21,18,-0.10461461677387263,True,GRANDMASTER
22,1,10,0,2,0,1,2,2,1,1,13,22,-4.798202581851008,False,GRANDMASTER
23,10,1,2,0,1,1,2,2,1,0,35,23,5.041983960606352,True,GRANDMASTER
24,11,2,3,0,2,0,4,0,2,0,45,37,-0.8216739397903439,True,GRANDMASTER
25,2,11,0,3,0,1,1,2,0,2,32,30,5.508406600000946,False,GRANDMASTER
26,1,9,0,3,1,0,1,4,2,0,50,45,1.7228878373405863,False,GRANDMASTER
27,10,6,3,1,1,0,2,2,2,0,45,30,6.488365614725701,True,GRANDMASTER
28,5,10,0,1,0,2,1,4,0,2,30,40,-4.750649226303857,False,GRANDMASTER
29,3,8,0,2,0,1,2,2,1,1,18,37,-8.187525479265283,False,GRANDMASTER
30,4,2,3,1,0,0,0,0,0,0,88,84,-0.24804496458075675,True,GRANDMASTER
31,7,11,1,3,3,1,3,4,0,2,41,31,1.432249421191628,True,GRANDMASTER
32,6,9,0,2,0,1,1,3,2,0,31,47,-0.5161309845801725,False,GRANDMASTER
33,11,2,3,0,1,0,4,0,1,1,25,15,7.193275057245366,True,GRANDMASTER
34,2,11,0,4,0,2,3,1,1,1,27,32,1.111191570081644,False,GRANDMASTER
35,8,9,1,3,1,2,2,4,1,1,39,34,2.5825671300104815,True,GRANDMASTER
36,9,6,2,0,2,1,2,3,0,1,43,37,2.5861687631018384,True,GRANDMASTER
