,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,11,2,4,0,2,1,3,2,0,1,48,28,5.1956219104481605,True,GOLD
1,9,2,1,0,1,0,4,0,0,1,53,23,12.437061069361377,True,GOLD
2,7,7,0,1,1,1,2,3,0,2,49,51,0.20763212154173516,False,GOLD
3,6,9,0,2,2,0,2,3,2,0,35,43,-2.8028810166863636,False,GOLD
4,3,11,0,3,0,1,0,3,0,2,25,40,-8.047992508195371,False,GOLD
5,2,10,0,2,0,1,0,4,0,2,28,45,-9.152628472281584,False,GOLD
6,6,0,0,0,1,0,4,0,1,1,27,11,10.88713905228051,True,GOLD
7,9,10,2,2,1,2,3,3,1,1,48,35,7.214994884079729,True,GOLD
8,8,10,2,3,1,1,2,4,0,2,37,48,-5.004589004630404,False,GOLD
9,4,9,0,1,1,1,1,4,0,2,29,42,-6.527231207377184,False,GOLD
10,8,5,1,0,1,0,4,0,1,1,39,31,7.621119676609432,True,GOLD
11,5,8,0,3,0,1,2,4,2,0,31,52,-8.67477984665723,False,GOLD
12,3,7,0,1,0,1,2,2,0,2,24,27,-0.7489463952820259,False,GOLD
13,4,4,0,0,0,1,0,4,0,2,18,30,-10.531892317425822,False,GOLD
14,11,0,3,0,1,0,4,0,1,0,47,26,9.89509425292669,True,GOLD
15,2,11,0,3,0,1,0,4,0,2,15,42,-12.422667439833262,False,GOLD
16,5,10,0,3,0,3,1,5,0,1,47,72,-6.531703319873849,False,GOLD
17,3,9,0,2,0,1,1,2,1,0,16,32,-8.583869396754224,False,GOLD
18,11,3,3,0,1,0,4,0,2,0,28,22,0.19430330400398788,True,GOLD
19,6,7,2,0,0,0,1,2,2,0,23,42,-7.630399163596493,True,GOLD
20,11,5,5,0,2,1,4,3,1,0,42,44,-0.3224626683018741,True,GOLD
21,4,11,0,4,0,2,3,3,1,1,42,49,0.2779517903726614,False,GOLD
22,3,11,0,3,0,1,0,4,0,2,21,47,-10.685753612502559,False,GOLD
23,10,2,2,0,1,0,3,0,1,1,44,19,12.695703924941949,True,GOLD
24,10,2,1,0,2,0,4,0,1,1,32,24,7.106393183578838,True,GOLD
25,11,0,4,0,1,0,3,0,2,0,23,25,5.250229474552135,True,GOLD
26,0,11,0,3,0,1,0,3,0,2,20,44,-12.836965118883256,False,GOLD
27,10,9,1,5,1,1,5,1,0,2,53,47,3.627308217539756,True,GOLD
28,5,10,0,1,0,1,2,2,0,2,28,48,-11.025202525136642,False,GOLD
29,4,8,0,1,0,1,0,3,2,0,21,38,-13.396117821573142,False,GOLD
30,5,4,0,0,0,0,3,0,1,1,22,8,15.7103033663223,True,GOLD
31,1,10,0,2,0,1,0,4,0,2,21,35,-6.131763107121252,False,GOLD
32,8,10,0,2,1,2,2,4,0,2,37,60,-7.94334971349452,False,GOLD
33,3,11,0,3,0,1,1,2,0,1,34,44,-5.820528713065855,False,GOLD
34,5,1,0,0,1,0,4,0,1,1,29,13,12.695223969098485,True,GOLD
35,10,1,3,0,0,0,2,2,0,1,40,19,10.021100784477113,True,GOLD
36,2,10,0,2,0,1,1,3,0,1,21,34,-8.192620949908203,False,GOLD
37,8,11,3,5,2,1,4,3,1,0,53,40,4.0641926202183996,False,GOLD
38,9,3,2,0,1,0,3,1,0,2,40,17,10.232760696845318,True,GOLD
39,2,10,0,2,0,0,0,3,1,1,13,23,-8.097274981116918,False,GOLD
40,11,3,5,0,2,1,4,2,2,0,56,60,-1.7342313901000423,True,GOLD
41,7,9,0,1,0,1,1,3,1,1,34,44,-3.650518726138756,False,GOLD
