,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,6,9,0,1,1,0,1,4,2,0,36,38,-6.168778212683961,False,BRONZE
1,1,9,0,2,0,0,1,3,0,2,15,30,-8.773448752744649,False,BRONZE
2,8,5,1,0,1,0,3,4,0,1,53,41,5.898497687801125,True,BRONZE
3,9,4,1,0,1,0,1,2,1,1,23,14,4.744774778914646,True,BRONZE
4,2,9,0,1,0,1,1,3,0,1,30,39,-5.673595555074144,False,BRONZE
5,10,2,4,0,0,1,5,2,1,0,55,49,3.2913991037769605,True,BRONZE
6,7,1,1,0,0,0,2,0,0,1,26,11,14.867951981379676,True,BRONZE
7,11,1,2,0,1,0,3,1,2,0,40,15,17.244774054740404,True,BRONZE
8,4,9,0,2,0,2,1,4,0,2,19,42,-12.163448410101708,False,BRONZE
9,7,1,1,0,1,0,3,1,0,0,31,22,5.74397547300233,True,BRONZE
10,8,5,2,0,2,0,5,1,0,0,36,24,9.784155202182681,True,BRONZE
11,5,11,1,5,2,2,3,5,1,1,53,42,5.741641982991453,False,BRONZE
12,11,0,5,0,1,0,2,2,1,0,28,20,8.881630636140422,True,BRONZE
13,9,4,2,0,0,0,4,1,0,2,55,25,16.180296133901525,True,BRONZE
14,11,1,3,0,0,0,2,2,1,0,48,23,13.489406704413582,True,BRONZE
15,7,6,1,0,1,0,2,3,0,2,51,50,0.4364066231733261,True,BRONZE
16,6,1,1,0,1,0,3,0,0,1,38,13,17.815127872166155,True,BRONZE
17,8,5,1,0,1,1,2,3,0,1,32,41,-5.862088061118932,True,BRONZE
18,1,6,0,1,0,0,1,3,0,2,7,21,-12.943584935600313,False,BRONZE
19,5,5,0,0,0,1,2,2,2,0,25,30,-7.695664149478702,False,BRONZE
20,3,8,0,1,0,0,1,3,0,1,29,28,-1.444604970639844,False,BRONZE
21,11,1,4,0,0,1,3,1,0,1,31,23,-1.6691495932769342,True,BRONZE
22,6,9,0,2,0,1,2,4,0,0,31,29,3.210844121158061,False,BRONZE
23,3,7,0,1,0,1,3,2,1,1,21,36,-8.137583949343814,False,BRONZE
24,10,2,2,0,1,0,3,2,1,0,35,23,4.677808524874209,True,BRONZE
25,3,9,0,3,0,1,1,3,1,0,13,28,-13.517926439731035,False,BRONZE
26,1,10,0,2,0,1,0,3,0,2,10,35,-20.013727931094778,False,BRONZE
27,10,0,2,0,0,0,4,0,1,0,33,18,12.733430593898056,True,BRONZE
28,9,6,2,0,2,0,4,0,0,1,47,23,17.242109703415228,True,BRONZE
29,8,2,1,0,1,0,3,1,0,1,36,25,6.054419964693871,True,BRONZE
30,7,9,0,3,2,0,1,5,0,1,39,41,0.2854664164962273,False,BRONZE
31,11,1,4,0,3,1,4,3,2,0,39,31,0.2543692347110209,True,BRONZE
32,9,5,2,0,1,1,3,2,2,0,37,36,1.6756627563498085,True,BRONZE
