,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,0,8,0,1,0,1,0,4,0,2,21,38,-5.657689297135633,False,PLATINUM
1,6,10,1,3,0,2,2,3,1,1,32,56,-6.661512997059184,False,PLATINUM
2,10,6,1,0,1,0,0,3,1,1,36,43,-9.385993035702587,True,PLATINUM
3,9,7,3,1,0,2,3,3,1,1,32,34,2.4858854043312917,True,PLATINUM
4,3,11,0,3,0,0,2,4,0,1,50,57,-2.030710979139201,False,PLATINUM
5,11,5,3,0,0,1,4,0,1,0,51,29,6.726994514967394,True,PLATINUM
6,2,8,0,1,0,1,2,3,0,2,19,41,-10.831389120829066,False,PLATINUM
7,11,6,4,0,0,2,4,3,1,1,61,60,-2.9172854998678304,True,PLATINUM
8,11,3,4,0,1,0,3,1,1,0,55,45,4.710784438106927,True,PLATINUM
9,5,9,0,1,0,1,2,3,1,0,51,50,-4.295928639813901,False,PLATINUM
10,10,2,2,0,1,0,3,1,1,0,41,36,1.4805558414911246,True,PLATINUM
11,4,11,0,2,0,2,3,2,2,0,20,18,0.06528729085909646,False,PLATINUM
12,6,11,0,2,2,0,2,4,0,1,53,51,0.9704408183246613,False,PLATINUM
13,10,2,2,0,2,0,4,3,1,0,32,38,-1.4255952440706707,True,PLATINUM
14,6,9,0,1,0,1,1,2,1,0,31,35,-3.846500349007485,False,PLATINUM
15,3,11,0,3,1,1,0,5,0,2,29,43,-4.818056804643213,False,PLATINUM
16,0,11,0,2,0,1,0,4,1,1,15,39,-14.51485534874331,False,PLATINUM
17,1,11,0,3,0,0,1,2,0,1,15,25,-6.9043614752471285,False,PLATINUM
18,8,9,2,1,2,1,4,2,0,2,49,57,-5.824496936723385,False,PLATINUM
19,11,2,3,0,1,0,3,0,1,0,37,18,10.305258195091675,True,PLATINUM
20,5,7,0,1,1,0,3,2,1,1,41,38,1.575220983671663,False,PLATINUM
21,8,2,2,0,1,0,4,1,1,0,38,31,5.790775075189515,True,PLATINUM
22,1,11,0,3,0,1,0,3,1,1,13,32,-11.93126207297442,False,PLATINUM
23,6,7,0,1,0,2,1,2,1,1,38,39,-2.939519749900839,False,PLATINUM
24,5,7,0,1,0,1,2,1,1,1,27,36,-5.517906031620377,False,PLATINUM
25,6,10,0,2,2,0,2,3,1,0,45,48,-0.5511924503811088,False,PLATINUM
26,10,2,2,0,0,0,3,1,1,1,51,30,7.5911096641355655,True,PLATINUM
27,3,10,0,2,1,1,1,4,0,1,45,56,-5.292208603240887,False,PLATINUM
28,8,4,1,0,0,1,2,2,2,0,31,31,1.127589550698218,True,PLATINUM
29,3,8,0,1,0,1,0,4,1,0,24,45,-9.147387644775392,False,PLATINUM
30,8,0,1,0,1,0,2,1,2,0,29,13,9.043513536730991,True,PLATINUM
31,9,1,3,0,1,0,4,0,2,0,47,24,10.247645547360975,True,PLATINUM
32,8,7,2,1,1,1,3,1,0,1,22,30,-5.711617242171464,False,PLATINUM
33,7,1,1,0,1,0,2,2,2,0,37,22,6.692363065686493,True,PLATINUM
34,11,2,3,0,1,0,4,0,2,0,25,18,6.016106349778397,True,PLATINUM
35,4,7,0,1,0,1,3,2,0,2,26,30,-4.419194536730046,False,PLATINUM
36,10,1,2,0,1,0,1,2,2,0,23,21,3.1232988913305775,True,PLATINUM
37,9,10,2,2,0,2,2,2,0,2,33,51,-7.812369126242494,False,PLATINUM
38,11,2,4,0,0,1,3,1,2,0,46,33,0.6927125090620123,True,PLATINUM
39,4,9,0,1,0,0,2,2,0,2,27,40,-9.704366090513375,False,PLATINUM
40,2,10,0,2,0,1,1,3,0,2,31,47,-6.636520128160377,False,PLATINUM
41,6,9,0,2,0,1,3,2,0,0,41,35,-0.5069919227678383,False,PLATINUM
