,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,4,4,2,2,0,0,0,0,0,0,61,77,-2.3881558749900123,False,BRONZE
1,4,4,2,3,0,0,0,0,0,0,97,77,3.4897410027011517,False,BRONZE
2,4,3,1,1,0,0,0,0,0,0,55,30,3.9442916501435477,True,BRONZE
3,3,4,0,0,0,0,2,2,2,0,30,28,-1.2045021934591702,True,BRONZE
4,3,4,0,0,0,0,2,1,0,1,26,20,-1.236110359730823,True,BRONZE
5,2,11,0,5,0,3,4,2,1,0,57,49,4.097771038447156,False,BRONZE
6,4,0,1,0,0,0,0,0,0,0,80,62,2.5708964476068417,True,BRONZE
7,4,4,2,1,0,0,0,0,0,0,74,72,-1.0284756769417172,True,BRONZE
8,9,3,2,0,0,0,0,4,1,0,37,32,0.23157574342203446,True,BRONZE
9,4,2,1,1,0,0,0,0,0,0,62,53,0.542197548550746,True,BRONZE
10,2,4,1,1,0,0,0,0,0,0,59,46,3.2012513079946885,False,BRONZE
11,4,3,1,1,0,0,0,0,0,0,66,67,-0.6214193210718406,True,BRONZE
12,9,5,2,1,0,0,3,1,1,1,27,27,3.7564512027503625,True,BRONZE
13,2,4,2,2,0,0,0,0,0,0,64,89,-2.3119390876450368,False,BRONZE
14,4,3,1,1,0,0,0,0,0,0,72,75,1.335956745987552,True,BRONZE
15,4,1,2,0,0,0,0,0,0,0,60,60,2.86669045635481,True,BRONZE
