,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,5,10,1,1,1,1,2,3,0,2,28,34,-0.8471498874569434,False,DIAMOND
1,5,9,1,3,0,3,2,4,1,1,43,40,0.6024233842071638,False,DIAMOND
2,9,4,1,0,1,1,2,2,1,1,31,24,0.9069077907658638,True,DIAMOND
3,2,4,1,2,0,0,0,0,0,0,97,86,0.9540358201093753,False,DIAMOND
4,5,9,0,1,1,1,1,3,1,0,23,37,-5.637834309918453,False,DIAMOND
5,2,9,0,1,0,1,2,1,0,2,24,38,-5.507698886812584,False,DIAMOND
6,10,2,2,0,0,1,2,2,1,0,38,31,3.6817224176793104,True,DIAMOND
7,9,8,2,2,2,1,2,4,0,1,36,44,-4.318256227419923,True,DIAMOND
8,3,10,0,3,0,2,1,4,2,0,20,36,-4.479493046358471,False,DIAMOND
9,2,10,0,3,0,2,1,4,1,1,13,37,-12.856484357972555,False,DIAMOND
10,11,3,3,0,1,0,2,1,0,1,33,22,3.1562367900300927,True,DIAMOND
11,10,7,1,1,1,0,1,3,2,0,38,36,0.030697591415759007,True,DIAMOND
12,5,7,0,1,1,0,1,3,2,0,27,32,-2.55457712823015,False,DIAMOND
13,4,10,0,1,0,1,1,2,0,1,39,41,-0.24018393368755397,False,DIAMOND
14,7,10,2,4,0,4,3,4,1,1,36,46,-2.954099589237231,False,DIAMOND
15,7,1,1,0,0,0,2,1,2,0,35,21,10.058797330732233,True,DIAMOND
16,9,4,2,1,1,0,2,1,1,1,34,36,0.33799860212681665,True,DIAMOND
17,5,9,0,1,0,1,3,1,0,2,20,27,-5.531281831433965,False,DIAMOND
18,3,9,0,2,1,1,0,3,0,2,16,40,-9.599154488128015,False,DIAMOND
19,2,11,0,2,0,1,0,3,1,1,19,29,-7.936791565861327,False,DIAMOND
20,10,1,2,0,1,0,2,2,2,0,45,25,6.519852137476512,True,DIAMOND
21,10,3,2,0,1,0,1,3,2,0,30,26,1.9831190740934659,True,DIAMOND
22,10,3,2,0,1,0,2,3,2,0,35,23,6.083742564466576,True,DIAMOND
23,10,1,2,0,1,0,2,0,1,1,32,8,15.845361873526109,True,DIAMOND
24,9,4,2,0,1,0,4,0,2,0,43,10,16.60096659390227,True,DIAMOND
25,4,2,2,2,0,0,0,0,0,0,65,63,0.39699105382536004,True,DIAMOND
26,4,7,0,1,0,1,0,3,2,0,32,42,-5.260163408174712,False,DIAMOND
27,4,11,0,3,1,0,0,4,1,1,34,37,0.3979179579651486,False,DIAMOND
28,1,4,0,1,0,0,0,0,0,0,77,69,3.8290668124051734,False,DIAMOND
