,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,3,11,0,3,0,1,2,3,1,1,30,63,-11.323829614409739,False,SILVER
1,7,7,1,1,0,1,0,4,2,0,42,45,0.27123752767599285,False,SILVER
2,9,5,2,0,1,1,2,3,2,0,39,40,0.9793577053861071,True,SILVER
3,1,10,0,1,0,1,0,3,0,2,8,36,-20.378748451012054,False,SILVER
4,8,10,0,2,0,1,3,2,2,0,26,44,-7.191398955311115,False,SILVER
5,2,8,0,2,0,0,1,2,1,0,17,24,-7.317172824459732,False,SILVER
6,5,11,0,3,0,2,1,4,1,1,34,42,-2.157967501705535,False,SILVER
7,6,9,0,2,2,0,3,3,2,0,29,37,-2.1916809421317396,False,SILVER
8,11,1,2,0,1,0,4,0,2,0,40,18,10.749047804047578,True,SILVER
9,2,9,0,2,0,1,0,3,1,1,17,34,-8.084054632427708,False,SILVER
10,8,10,1,3,1,0,3,2,1,0,50,63,-3.802771940501593,True,SILVER
11,11,4,1,0,0,0,5,0,1,0,57,46,2.185605041074922,True,SILVER
12,0,10,0,2,0,1,0,3,0,2,22,34,-8.832437653938015,False,SILVER
13,5,11,1,2,0,1,0,4,1,0,26,49,-11.243222812456729,False,SILVER
14,2,4,1,3,0,0,0,0,0,0,65,69,1.691609380764561,False,SILVER
15,2,8,0,1,0,0,0,3,0,2,15,38,-15.620064956917364,False,SILVER
16,1,11,0,3,0,0,1,3,1,0,25,54,-11.241476670967259,False,SILVER
17,10,7,3,2,1,1,4,1,2,0,54,42,6.536402537491512,True,SILVER
18,7,11,2,4,2,1,2,3,0,1,55,45,5.173554715028004,False,SILVER
19,3,4,0,0,0,0,1,2,0,2,24,16,5.472468070670928,True,SILVER
20,2,5,0,0,0,0,2,1,0,2,39,19,12.37378971137791,True,SILVER
21,3,11,0,4,1,0,1,3,2,0,38,46,-2.5944011694988873,False,SILVER
22,1,11,0,3,0,0,1,3,2,0,20,37,-9.334671571750732,False,SILVER
23,1,9,0,2,0,1,3,1,0,1,12,36,-11.71930360434419,False,SILVER
24,9,7,2,0,2,0,2,3,1,0,44,39,7.461378274341548,True,SILVER
25,2,9,0,2,0,0,1,2,0,1,25,39,-5.553721524896702,False,SILVER
26,5,8,0,1,0,1,0,3,1,1,10,30,-11.833773276454032,False,SILVER
27,7,9,1,1,2,0,1,4,0,2,13,42,-12.117488394645576,False,SILVER
28,8,2,2,0,0,0,3,0,1,0,34,12,14.094083680647781,True,SILVER
29,1,9,0,1,0,0,1,2,1,0,15,33,-15.373820659905945,False,SILVER
30,8,8,1,1,1,1,2,2,0,2,30,40,-1.9006019807853605,False,SILVER
31,9,9,1,3,0,2,5,1,0,2,45,52,-1.8193659816786436,True,SILVER
32,7,4,1,0,1,0,1,2,2,0,39,26,6.0155273928057795,True,SILVER
33,3,10,0,3,0,1,0,4,1,0,29,49,-7.912337640439688,False,SILVER
34,3,9,0,2,1,0,2,3,1,0,27,40,-7.933231437133379,False,SILVER
35,10,5,4,0,2,0,3,2,1,0,49,50,-3.555351141678834,True,SILVER
36,2,9,0,2,0,0,0,4,0,1,12,28,-10.728025879697292,False,SILVER
37,3,7,0,1,0,1,0,3,2,0,7,30,-18.00436550492431,False,SILVER
