,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,10,5,2,0,1,0,1,4,2,0,49,57,1.569850130430936,True,IRON
1,2,10,0,1,0,1,0,4,0,2,16,23,-4.189102123897214,False,IRON
2,11,5,4,0,1,0,5,0,1,0,50,28,6.533826586590614,True,IRON
3,11,2,3,0,1,0,2,2,1,1,51,27,8.873553635738105,True,IRON
4,2,11,0,7,0,1,2,4,0,2,43,67,-9.437431684489134,False,IRON
5,5,10,0,2,0,0,0,3,2,0,18,29,3.720445138179162,False,IRON
6,9,3,1,0,1,0,4,1,0,1,41,34,1.0148139787837493,True,IRON
7,1,11,0,3,0,1,0,4,2,0,17,46,-12.080663773313049,False,IRON
8,2,11,0,4,0,1,0,3,0,1,22,43,-5.050205732369015,False,IRON
9,5,11,0,3,0,1,0,5,0,2,31,35,-1.8408035956363378,False,IRON
10,0,10,0,2,0,0,0,4,0,2,17,41,-12.931391289676505,False,IRON
11,8,8,1,2,0,2,0,4,0,2,33,49,2.290875649355236,False,IRON
12,1,11,0,2,0,1,0,4,1,0,37,37,5.378267347206226,False,IRON
13,6,11,0,5,1,1,2,3,1,1,54,42,5.412939540801844,False,IRON
14,11,6,8,0,1,1,3,2,2,0,55,26,7.824808700325875,True,IRON
15,4,8,0,1,0,1,1,4,2,0,23,45,-11.973063071177975,False,IRON
16,6,3,0,0,0,0,2,2,1,1,13,22,-7.494393734011297,False,IRON
17,1,11,0,4,0,0,1,3,0,2,28,34,-5.938301686365598,False,IRON
18,3,9,0,3,0,1,1,4,1,1,24,48,-3.8509773792920683,False,IRON
19,0,9,0,2,0,0,3,1,0,1,24,34,-3.0365799311655266,False,IRON
20,11,3,3,0,0,0,3,0,2,0,33,17,7.081440944056112,True,IRON
21,1,6,0,0,0,0,0,3,0,2,17,34,-11.19026257942513,False,IRON
22,10,3,2,0,1,0,2,1,1,1,30,14,16.411773553448462,True,IRON
23,3,10,0,1,0,1,0,4,0,1,27,49,-7.164116426275299,False,IRON
24,9,4,1,0,1,0,3,1,1,1,40,27,9.41875681334912,True,IRON
25,9,8,4,2,2,0,3,5,0,1,69,56,4.624660078098337,False,IRON
26,8,0,2,0,0,0,2,1,1,1,33,14,7.880778228556203,True,IRON
27,8,11,0,7,3,0,4,4,0,2,51,41,-2.156969638223778,False,IRON
28,4,10,0,1,0,1,0,4,0,2,35,38,-3.417659489738263,False,IRON
29,3,9,0,1,0,1,1,3,1,1,17,30,-7.3455803252030165,False,IRON
30,11,3,4,0,0,0,4,0,2,0,28,15,12.03460864560796,True,IRON
31,0,10,0,2,0,1,0,4,0,2,20,44,-10.227649928520009,False,IRON
32,0,11,0,3,0,0,1,3,1,1,15,26,-6.7070160657803655,False,IRON
33,1,10,0,2,0,1,1,2,0,2,26,39,-3.12774252963537,False,IRON
34,3,9,0,1,0,1,1,4,0,2,36,35,2.0043874521018097,False,IRON
35,11,4,3,0,1,0,2,3,1,1,40,25,8.788242242509952,True,IRON
36,5,7,0,1,0,1,2,3,0,2,50,47,-0.6870759089194465,False,IRON
37,3,11,0,2,0,0,0,4,0,2,18,44,-7.574331846326615,False,IRON
