,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,7,0,0,0,0,0,3,0,1,0,32,13,10.841657643651914,True,PLATINUM
1,4,7,0,1,0,0,0,4,0,2,16,47,-11.72037402927705,False,PLATINUM
2,4,3,2,1,0,0,0,0,0,0,73,76,0.5629243872862162,True,PLATINUM
3,6,8,0,1,0,0,0,4,2,0,32,43,-4.3969754137221955,False,PLATINUM
4,4,8,0,0,0,0,0,4,1,1,24,36,-5.104123343009682,False,PLATINUM
5,10,10,3,2,1,1,1,5,0,2,41,54,-4.632846054735097,False,PLATINUM
6,11,4,3,0,1,1,2,2,1,1,52,31,2.1524128296215963,True,PLATINUM
7,3,8,0,1,0,1,0,4,0,1,14,31,-6.523143053922226,False,PLATINUM
8,4,3,1,2,0,0,0,0,0,0,79,66,1.176275301056279,True,PLATINUM
9,4,2,1,1,0,0,0,0,0,0,68,61,0.973835439996094,True,PLATINUM
10,1,4,0,2,0,0,0,0,0,0,68,84,-1.5807732584753396,False,PLATINUM
11,2,4,1,1,0,0,0,0,0,0,59,74,-1.2170642924674766,False,PLATINUM
12,2,4,1,2,0,0,0,0,0,0,81,66,4.000972982484058,False,PLATINUM
13,2,4,1,2,0,0,0,0,0,0,64,64,-1.7637975291515104,False,PLATINUM
14,1,4,0,2,0,0,0,0,0,0,63,60,1.1991329447796915,False,PLATINUM
15,1,7,0,1,0,0,0,3,0,2,16,25,-3.123645591250124,False,PLATINUM
16,10,6,2,1,1,1,2,2,1,1,46,15,12.541622924608234,True,PLATINUM
17,3,7,0,1,0,0,1,1,0,1,13,30,-7.121192449700935,False,PLATINUM
18,10,2,4,0,2,0,3,2,2,0,55,28,8.936484946245656,True,PLATINUM
19,1,11,0,5,1,1,2,3,1,1,25,38,-4.593479062021103,False,PLATINUM
20,1,4,0,2,0,0,0,0,0,0,59,68,-0.579465725181791,False,PLATINUM
21,2,10,0,2,0,0,0,4,0,2,19,44,-11.892813975607698,False,PLATINUM
