,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,2,10,0,2,0,1,0,4,1,1,35,52,-5.757094320432472,False,PLATINUM
1,7,6,1,1,1,0,1,2,2,0,21,37,-7.315706663739348,False,PLATINUM
2,8,9,1,2,0,2,1,3,2,0,24,33,-5.814690658619334,False,PLATINUM
3,2,9,0,1,1,0,2,2,1,1,36,44,-7.24151996039069,False,PLATINUM
4,10,6,2,0,2,0,3,1,1,1,34,43,-3.2848640135398455,True,PLATINUM
5,9,1,2,0,1,0,2,2,2,0,32,19,6.008827615771736,True,PLATINUM
6,6,1,1,0,0,0,2,2,1,1,33,16,11.766537265554952,True,PLATINUM
7,2,4,0,0,0,0,3,0,2,0,18,28,-6.622081374656759,False,PLATINUM
8,3,11,0,4,1,0,0,3,1,1,23,44,-9.924874935443107,False,PLATINUM
9,8,10,1,4,2,1,3,3,0,2,39,53,0.546448571655425,True,PLATINUM
10,10,6,3,0,3,0,3,3,0,2,42,27,4.392620425312181,True,PLATINUM
11,2,11,0,3,0,1,1,3,1,1,27,48,-6.403042157931388,False,PLATINUM
12,2,11,0,3,0,0,1,3,0,1,22,50,-13.67358762925987,False,PLATINUM
13,8,3,1,0,0,1,3,1,1,1,45,25,10.808865867903393,True,PLATINUM
14,3,9,0,2,0,1,1,3,0,1,12,22,-8.439968809732349,False,PLATINUM
15,9,8,1,2,1,0,1,4,0,2,31,43,-6.350918481060077,True,PLATINUM
16,3,11,0,3,0,1,1,3,1,1,20,34,-7.813655134794622,False,PLATINUM
17,11,5,4,0,1,1,4,1,2,0,41,34,2.4698478156832664,True,PLATINUM
18,10,5,2,1,3,0,4,2,1,0,30,33,0.12972117290583185,True,PLATINUM
19,1,9,0,1,0,2,2,2,1,1,23,33,-9.040993783680484,False,PLATINUM
20,8,2,1,0,1,0,2,2,0,1,30,20,2.455316617728215,True,PLATINUM
21,4,11,0,2,1,0,2,2,1,1,30,36,-2.3763137260014133,False,PLATINUM
22,4,10,0,1,1,1,2,4,2,0,41,42,1.3735393903925512,False,PLATINUM
23,11,2,3,0,1,0,2,2,2,0,32,17,7.985445668650854,True,PLATINUM
24,2,4,0,0,0,1,2,2,0,2,18,36,-8.509939971329665,False,PLATINUM
25,9,3,2,0,1,0,4,0,2,0,25,6,16.44089667993815,True,PLATINUM
26,2,6,0,1,0,0,0,4,0,2,18,25,-4.333482404940526,False,PLATINUM
27,5,11,0,3,0,1,3,2,1,1,31,39,-2.2731197568642685,False,PLATINUM
28,2,8,0,1,0,1,1,3,1,1,30,50,-8.198786344543379,False,PLATINUM
29,10,2,2,0,1,0,1,2,2,0,37,30,3.0799325679868943,True,PLATINUM
30,10,0,3,0,1,0,2,1,2,0,45,20,13.499568618806876,True,PLATINUM
31,8,4,1,0,2,0,2,1,2,0,41,30,6.348590829862864,True,PLATINUM
32,9,7,1,0,1,1,3,3,2,0,37,37,-0.6514709149852465,True,PLATINUM
33,11,1,4,0,1,0,2,2,2,0,29,22,3.1947564747548967,True,PLATINUM
34,3,7,0,0,0,2,1,3,0,2,23,39,-4.98702713323177,False,PLATINUM
