,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,1,8,0,0,0,1,0,4,0,2,13,27,-8.412200797212058,False,DIAMOND
1,7,3,1,0,1,0,3,0,2,0,32,21,9.04183158719136,True,DIAMOND
2,7,2,1,0,1,0,4,0,2,0,30,23,2.146346946532674,True,DIAMOND
3,8,0,1,0,1,0,1,1,2,0,33,22,6.287960232362707,True,DIAMOND
4,9,5,3,0,1,0,1,3,1,1,45,45,3.2555337889403972,True,DIAMOND
5,2,11,0,3,0,2,2,3,1,1,31,49,-6.510288995124775,False,DIAMOND
6,6,2,1,0,1,0,3,1,2,0,46,26,10.439022397758414,True,DIAMOND
7,3,6,0,1,0,1,1,3,0,1,36,46,-3.269895842227541,False,DIAMOND
8,11,0,3,0,2,0,3,2,1,1,36,21,7.042423423922877,True,DIAMOND
9,5,8,2,1,0,2,2,3,2,0,47,56,-2.1151517564422804,False,DIAMOND
10,11,3,2,0,1,1,3,1,1,0,37,22,1.893362371718851,True,DIAMOND
11,4,11,0,2,0,1,1,3,1,0,39,35,-0.9637602749989327,False,DIAMOND
12,10,9,3,2,2,1,3,3,2,0,40,38,2.87907591237375,False,DIAMOND
13,11,1,3,0,1,0,3,0,1,1,37,11,14.441806222080771,True,DIAMOND
14,4,4,1,2,0,0,0,0,0,0,67,75,-1.3342881678894472,True,DIAMOND
15,7,2,2,0,2,0,3,2,0,2,42,33,6.547832456046791,True,DIAMOND
16,11,1,3,0,1,0,3,0,1,1,35,14,13.98568290110093,True,DIAMOND
17,1,9,0,2,0,1,1,2,0,2,26,33,-1.6357616990115034,False,DIAMOND
18,9,7,1,1,3,0,4,2,2,0,50,37,5.121992740714745,True,DIAMOND
19,9,2,1,0,1,0,3,1,0,1,34,19,8.077267675356666,True,DIAMOND
20,8,3,2,0,1,1,3,1,1,0,38,26,6.430761657998268,True,DIAMOND
21,2,10,0,1,0,1,0,3,0,2,13,29,-10.451786855158119,False,DIAMOND
22,10,2,2,0,1,0,1,3,0,2,34,23,6.156038811760567,True,DIAMOND
23,7,2,1,0,0,0,3,1,1,1,34,15,12.775706415245963,True,DIAMOND
24,9,8,1,2,2,1,2,4,0,2,44,29,8.043550976725903,True,DIAMOND
25,4,4,1,1,0,0,0,0,0,0,62,72,-2.1263371919932013,False,DIAMOND
26,7,10,1,5,1,1,3,3,0,1,42,33,4.940014235605808,True,DIAMOND
