,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,9,5,1,0,0,0,3,2,0,1,57,31,12.168285086957795,True,BRONZE
1,4,7,0,1,0,0,2,2,1,1,16,28,-5.94276960339284,False,BRONZE
2,1,10,0,2,1,1,0,4,2,0,34,55,-9.094041912789649,False,BRONZE
3,5,9,1,1,0,1,2,3,2,0,59,56,0.8296206726716804,False,BRONZE
4,6,7,0,1,0,1,1,2,0,2,28,30,4.089216187354602,False,BRONZE
5,6,11,0,3,1,2,2,4,1,0,37,50,-6.29815311815134,False,BRONZE
6,6,2,0,0,0,0,4,0,1,1,31,27,0.13462104382186624,True,BRONZE
7,11,9,6,1,0,2,3,2,1,1,41,48,-1.4237115180607773,False,BRONZE
8,11,1,3,0,1,0,3,0,0,2,34,15,9.97100057882281,True,BRONZE
9,10,3,2,0,1,0,2,2,0,1,44,43,2.6922972206461324,True,BRONZE
10,5,10,0,3,0,1,1,4,1,1,25,45,-7.29066781518862,False,BRONZE
11,6,10,0,2,0,1,2,3,0,0,47,40,1.1741066441068782,False,BRONZE
12,10,7,3,0,1,0,4,2,1,0,42,38,-0.30085074707313453,True,BRONZE
13,4,10,0,3,0,1,1,4,1,1,21,41,-11.020129896541242,False,BRONZE
14,2,11,0,3,0,1,0,4,1,1,21,32,-7.0868775232206005,False,BRONZE
15,6,5,0,0,1,0,2,2,0,2,28,18,10.122504948289944,True,BRONZE
16,3,6,0,0,1,0,4,0,1,0,38,27,10.424958854935685,True,BRONZE
17,1,10,0,2,0,1,1,4,0,2,21,43,-13.595603058731022,False,BRONZE
18,1,8,0,1,0,1,0,3,0,2,9,37,-17.903867434019087,False,BRONZE
19,8,1,2,0,0,0,2,1,2,0,32,15,11.466301619456296,True,BRONZE
20,11,0,2,0,1,0,2,1,0,0,34,14,12.355262251679939,True,BRONZE
21,10,3,3,0,1,0,3,1,2,0,36,12,10.308715886181677,True,BRONZE
22,11,2,3,0,0,0,4,0,1,0,43,16,11.21704525998242,True,BRONZE
23,4,7,0,1,0,0,0,4,0,2,47,34,3.6097710515709522,False,BRONZE
24,9,6,1,0,1,1,3,2,1,1,48,32,9.407297032427493,True,BRONZE
25,2,11,0,5,0,2,1,4,0,2,29,36,-0.02660121977009311,False,BRONZE
26,5,7,0,1,0,1,3,1,0,1,21,26,-3.377560039072705,False,BRONZE
27,8,9,1,1,1,1,1,5,2,0,28,33,1.9258449807906999,False,BRONZE
28,10,3,3,0,0,0,2,2,1,1,49,24,8.532667234240158,True,BRONZE
29,4,10,0,2,0,2,3,2,0,1,36,44,0.45119601532954334,False,BRONZE
30,10,1,1,0,0,0,1,2,2,0,39,13,12.994021544903486,True,BRONZE
31,6,11,1,3,0,2,2,4,0,2,46,49,-0.7401638939707311,False,BRONZE
32,10,9,1,3,2,0,4,2,1,1,50,38,5.17732674638863,True,BRONZE
33,11,4,5,0,1,1,4,1,1,1,39,29,1.8975606133893592,True,BRONZE
34,6,9,1,1,2,1,1,4,0,2,38,38,0.5912847619620649,False,BRONZE
35,11,7,2,1,1,1,4,1,0,2,42,30,9.684336793864446,True,BRONZE
36,5,8,0,1,0,1,1,2,0,2,9,25,-12.40620711006445,False,BRONZE
37,5,3,0,0,0,0,3,0,0,1,37,17,6.795351253442341,True,BRONZE
38,1,11,0,2,0,1,0,4,0,2,20,37,-9.643294839880959,False,BRONZE
39,2,7,0,1,0,0,0,3,1,1,21,26,-2.5006438249642713,False,BRONZE
40,2,11,0,3,1,1,1,4,1,0,21,31,-5.041177852593798,False,BRONZE
41,7,9,2,2,0,1,0,4,1,1,32,38,-2.805284978378893,False,BRONZE
