,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,11,2,3,0,0,0,4,0,2,0,32,10,11.23060985301516,True,PLATINUM
1,9,2,2,0,0,0,3,0,2,0,35,22,1.4415745818547734,True,PLATINUM
2,2,10,0,2,0,2,1,3,0,2,20,26,-2.347983792401429,False,PLATINUM
3,1,8,0,1,0,0,0,3,0,2,20,27,-3.1792035311197324,False,PLATINUM
4,0,9,0,1,0,0,0,3,1,1,15,34,-8.798056893427109,False,PLATINUM
5,9,2,2,0,1,0,1,2,2,0,26,17,7.302887769994662,True,PLATINUM
6,10,6,2,0,2,0,3,2,0,2,37,32,2.0574904273999906,True,PLATINUM
7,10,3,4,0,0,1,5,0,1,1,57,41,6.833361928101297,True,PLATINUM
8,4,8,0,1,0,1,2,1,1,1,22,35,-9.693333655890108,False,PLATINUM
9,10,2,1,0,1,0,4,0,1,1,35,23,6.0332403320674075,True,PLATINUM
10,9,3,1,0,1,0,4,0,0,2,37,30,3.18203972007138,True,PLATINUM
11,6,7,1,3,0,1,3,2,0,2,45,34,6.214058915449762,True,PLATINUM
12,11,0,3,0,1,0,3,1,2,0,24,14,4.1390166028777955,True,PLATINUM
13,1,8,0,1,0,1,0,3,0,2,11,39,-14.239246235875427,False,PLATINUM
14,1,8,0,1,0,2,0,4,0,1,28,42,-9.587247396508026,False,PLATINUM
15,9,5,2,0,1,1,3,2,2,0,48,35,5.580745502001484,True,PLATINUM
16,2,10,0,1,0,0,1,3,0,2,22,27,-1.707690948629157,False,PLATINUM
17,10,8,2,2,2,0,3,2,0,2,38,40,-1.8717001929517423,True,PLATINUM
18,10,3,2,0,1,0,3,1,1,0,37,17,13.472768024642924,True,PLATINUM
19,7,8,1,1,0,2,3,3,1,1,41,49,-2.2053281433888685,False,PLATINUM
20,11,0,3,0,1,0,3,0,1,0,37,15,15.44450266319032,True,PLATINUM
21,2,9,0,2,0,1,1,3,0,1,32,43,-7.533245377655689,False,PLATINUM
22,10,6,3,0,1,1,4,1,0,1,47,40,1.4971748619973226,True,PLATINUM
23,10,5,3,0,1,0,4,1,1,0,44,32,5.514830633026747,True,PLATINUM
24,8,2,0,0,1,0,2,1,1,0,18,9,4.899977630316805,True,PLATINUM
25,9,6,1,1,1,1,3,2,0,2,34,33,-0.7964286557343527,True,PLATINUM
26,3,10,0,3,0,1,0,4,1,1,27,57,-11.556020302320299,False,PLATINUM
27,2,11,0,3,0,1,1,3,1,1,17,25,-6.355320911227459,False,PLATINUM
28,9,3,2,0,1,1,3,2,0,2,43,28,6.996278349643532,True,PLATINUM
29,6,9,0,2,0,1,3,2,0,2,28,41,-4.011695356483422,False,PLATINUM
30,11,3,3,0,1,0,2,1,0,1,28,17,6.699305527053923,True,PLATINUM
31,0,11,0,2,0,1,0,3,0,2,17,25,-9.736537728973595,False,PLATINUM
32,7,11,0,3,1,1,0,4,2,0,19,28,-7.325142954251703,False,PLATINUM
33,11,1,3,0,1,0,3,0,2,0,29,10,12.841896152926829,True,PLATINUM
34,11,2,3,0,1,0,4,0,1,0,37,28,3.9787839099107956,True,PLATINUM
35,10,3,3,0,1,0,3,1,2,0,32,18,12.106303685934954,True,PLATINUM
36,10,2,2,0,1,0,4,0,2,0,21,12,9.154799397906608,True,PLATINUM
37,1,11,0,3,0,1,0,4,1,1,29,39,-5.205368624295602,False,PLATINUM
38,10,9,2,5,2,1,4,2,1,1,59,46,-0.6150253814004785,True,PLATINUM
39,3,11,0,4,0,2,0,4,1,0,44,40,1.8683786653413108,False,PLATINUM
40,8,8,1,1,1,1,2,4,0,1,44,41,0.981501362318852,True,PLATINUM
41,1,10,0,2,0,2,0,4,0,1,29,37,-5.8923787631041264,False,PLATINUM
42,3,11,0,3,0,1,1,3,1,1,11,30,-9.779073778780159,False,PLATINUM
43,3,7,0,1,0,1,1,4,2,0,17,35,-7.2682500069552916,False,PLATINUM
44,8,7,1,1,1,1,2,3,1,0,39,44,0.49190629679614517,True,PLATINUM
45,10,4,2,0,1,0,2,1,1,0,37,21,6.191295503806906,True,PLATINUM
