,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,1,8,0,1,0,1,0,4,0,2,21,41,-11.74278772164839,False,IRON
1,11,8,4,1,2,0,4,3,2,0,56,48,0.210085062516292,True,IRON
2,10,6,3,0,1,0,1,3,0,1,36,34,0.5865821904858777,True,IRON
3,3,9,0,2,0,0,1,3,1,1,22,50,-15.685813197345311,False,IRON
4,6,10,0,3,0,2,1,4,2,0,27,33,-0.9961918032421195,False,IRON
5,5,11,0,3,0,2,0,5,2,0,30,35,-2.225116922276051,False,IRON
6,11,5,4,0,1,0,4,0,1,0,27,38,-1.141494295110462,True,IRON
7,9,6,2,0,2,0,4,2,1,1,56,35,7.418600368604906,True,IRON
8,3,10,0,2,0,1,0,3,0,2,16,37,-11.104306969475523,False,IRON
9,10,4,2,0,0,0,4,0,1,0,34,40,-4.241864009269456,True,IRON
10,0,11,0,3,0,1,1,2,0,1,23,50,-13.285624338669436,False,IRON
11,3,10,0,2,0,1,1,4,1,1,26,42,-11.361497931136356,False,IRON
12,4,7,0,0,0,0,3,1,1,0,33,20,6.528616377368493,True,IRON
13,7,7,0,1,0,2,1,2,1,0,26,32,-4.751587487657439,False,IRON
14,9,1,2,0,1,0,2,0,1,0,43,15,15.280925749307173,True,IRON
15,7,5,1,0,1,0,4,0,0,1,51,24,12.308069817113356,True,IRON
16,11,5,6,0,1,0,5,1,2,0,72,48,3.697131532420279,True,IRON
17,4,11,0,3,0,2,2,4,1,1,28,47,-2.73084523127406,False,IRON
18,4,7,0,2,0,1,1,2,0,2,20,36,-11.257154375746662,False,IRON
19,9,6,1,2,1,0,3,1,0,2,31,20,6.749717494512936,True,IRON
20,5,7,0,1,0,1,1,4,1,0,15,47,-13.901180142437745,False,IRON
21,2,10,0,2,0,1,2,3,0,1,42,40,1.1771837561812717,False,IRON
22,4,8,0,1,1,1,1,4,1,0,27,30,-0.9378806150578782,False,IRON
23,2,9,0,2,0,0,1,3,1,1,32,49,-5.948321373684607,False,IRON
24,0,9,0,2,0,1,0,4,0,1,20,43,-17.444176053909167,False,IRON
25,5,11,1,2,0,1,2,2,1,0,34,35,-2.133257845774608,False,IRON
26,9,5,2,0,0,0,3,2,2,0,41,19,10.82816409805379,True,IRON
27,10,8,3,2,2,0,2,4,2,0,46,35,3.8320664979610655,True,IRON
28,3,9,0,2,0,0,0,3,0,1,27,41,-11.986327281265837,False,IRON
29,2,5,0,0,0,1,0,3,0,2,12,30,-14.219819112236397,False,IRON
30,10,5,2,0,1,0,4,1,1,1,43,25,7.703825376878768,True,IRON
31,10,2,3,0,2,0,4,1,1,1,51,36,1.7598221899884265,True,IRON
32,9,10,2,3,3,0,4,3,0,2,61,59,4.732716550635807,False,IRON
33,8,5,2,0,1,0,3,2,0,1,39,34,4.638806015391033,True,IRON
34,11,4,4,0,1,0,3,2,1,0,51,33,3.7250757871857445,True,IRON
35,5,8,0,2,1,1,1,4,1,1,30,46,-8.050398860129896,False,IRON
36,11,3,3,0,0,1,4,1,2,0,37,37,-5.272730832208929,True,IRON
37,7,11,1,7,1,1,2,5,2,0,58,46,1.638088333285026,False,IRON
38,4,11,1,3,0,2,0,4,0,0,30,46,-4.509063774414415,False,IRON
