,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,4,11,0,3,1,1,0,5,1,0,33,29,2.4963016196859655,False,IRON
1,8,4,2,0,1,0,2,1,1,0,39,30,1.590364354941748,True,IRON
2,9,4,2,0,1,0,3,0,0,2,39,14,12.83874383900502,True,IRON
3,10,4,3,0,0,0,3,0,0,1,33,19,6.057759271114403,True,IRON
4,2,6,0,1,0,0,1,2,1,1,13,30,-14.055829990009642,False,IRON
5,4,2,0,0,0,0,1,2,1,1,33,13,13.537948246680926,True,IRON
6,11,2,4,0,0,0,1,3,1,1,38,29,1.2244700216926958,True,IRON
7,9,8,1,2,1,1,4,2,0,0,56,73,-5.097074835927437,False,IRON
8,5,10,1,3,1,1,1,3,0,1,35,45,-14.405152085531448,False,IRON
9,4,0,0,0,0,0,2,0,2,0,26,13,6.873504327739266,True,IRON
10,7,3,2,0,0,0,3,1,1,1,48,20,12.972522336455562,True,IRON
11,1,5,0,0,0,0,0,3,0,1,11,25,-12.68745132003356,False,IRON
12,2,7,0,1,0,0,0,3,0,1,20,36,-8.096752711231794,False,IRON
13,2,10,0,1,0,1,1,2,0,2,29,32,-6.162567314765688,False,IRON
14,2,9,0,1,0,1,2,4,0,1,26,44,-3.3009015115836036,False,IRON
15,10,6,3,0,1,0,3,1,1,1,27,35,-7.236065669176227,True,IRON
16,7,2,2,0,0,0,2,1,1,0,27,17,11.075461366448607,True,IRON
17,11,2,3,0,1,0,1,1,0,1,40,19,8.183789781465407,True,IRON
18,0,7,0,0,0,0,1,3,1,1,13,19,-4.221747638569688,False,IRON
19,9,8,1,1,1,1,1,5,2,0,41,58,-4.451833415858317,False,IRON
20,1,9,0,1,0,1,2,2,0,2,13,35,-12.015295794555286,False,IRON
21,4,7,0,1,1,0,1,5,1,1,32,48,-3.615547678925843,False,IRON
22,7,2,2,0,1,0,3,1,0,2,27,11,12.282822986033011,True,IRON
23,3,8,0,1,0,0,1,2,0,1,22,21,-0.9542549637492854,False,IRON
24,9,2,2,0,1,0,2,1,2,0,29,9,13.218988199011278,True,IRON
25,3,11,0,4,0,1,1,3,1,1,18,38,-12.13907150127357,False,IRON
