,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,10,5,1,0,2,1,3,3,1,0,67,54,3.5351520955818643,True,BRONZE
1,3,11,0,2,1,1,2,3,1,0,50,51,-1.0110044401892537,False,BRONZE
2,7,8,0,1,2,0,2,3,1,1,40,33,1.398211519257977,False,BRONZE
3,4,10,0,2,0,2,0,4,1,0,43,47,-1.3704800832622936,False,BRONZE
4,6,11,0,4,1,0,2,3,2,0,17,35,-0.57368884924621,False,BRONZE
5,9,4,2,0,1,0,3,0,1,1,29,23,4.615170660340482,True,BRONZE
6,4,5,0,0,1,0,3,0,1,0,26,16,8.565988416689294,True,BRONZE
7,3,3,0,0,0,0,0,2,0,1,17,30,-7.702132980237479,False,BRONZE
8,2,8,0,1,0,1,2,1,1,0,22,27,-1.8956979929087439,False,BRONZE
9,6,7,0,1,2,0,3,2,0,1,46,41,-0.6413095419132802,False,BRONZE
10,1,11,0,2,1,0,3,1,0,1,31,43,-3.7801877214584323,False,BRONZE
11,9,5,1,0,2,0,2,3,1,1,35,20,8.954886158346191,True,BRONZE
12,9,6,2,1,0,1,2,2,2,0,47,35,4.895433546592365,True,BRONZE
13,1,4,0,2,0,0,0,0,0,0,72,94,-0.003812722781660227,False,BRONZE
14,9,0,1,0,1,0,4,0,1,0,49,33,7.532350554420319,True,BRONZE
15,3,9,0,1,0,1,4,0,0,1,33,38,-0.206343960673685,False,BRONZE
16,11,2,4,0,1,0,3,2,1,0,32,33,-0.12418508008072848,True,BRONZE
17,3,10,0,2,0,1,2,2,1,1,39,37,-1.4335636297169785,False,BRONZE
18,2,9,0,1,0,1,0,4,0,2,28,39,-7.891264812667124,False,BRONZE
19,6,10,0,1,0,2,1,5,2,0,38,33,-4.802872722139426,False,BRONZE
20,2,11,0,3,0,1,1,3,1,1,24,42,-9.595385923664956,False,BRONZE
21,7,1,1,0,0,0,1,2,1,0,33,13,12.556524884704984,True,BRONZE
22,9,5,2,0,1,1,4,2,1,1,56,46,-0.22873479719434187,True,BRONZE
23,8,5,1,1,1,1,5,0,1,0,41,36,2.310435164198573,True,BRONZE
24,6,7,1,1,2,0,2,3,0,2,30,36,-2.770573931798779,False,BRONZE
25,4,7,0,1,0,1,1,3,2,0,29,28,-2.813412760696913,False,BRONZE
26,3,1,0,0,1,0,1,2,2,0,22,17,8.61634612909463,True,BRONZE
