,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,2,10,0,2,0,0,2,2,1,1,29,38,-0.054076484223465116,False,PLATINUM
1,6,6,0,1,1,1,3,1,1,1,35,29,2.3516027264350043,False,PLATINUM
2,1,11,0,2,0,1,0,4,0,2,15,41,-8.723831621813936,False,PLATINUM
3,2,10,0,2,0,1,3,1,1,1,39,30,2.4419516290323173,False,PLATINUM
4,8,9,1,3,1,0,1,4,0,2,39,39,1.5563648259623903,True,PLATINUM
5,11,4,4,0,1,1,4,1,2,0,52,25,9.173537365754136,True,PLATINUM
6,3,10,0,2,0,1,0,3,1,1,21,37,-4.740395078344754,False,PLATINUM
7,3,11,0,2,0,1,0,3,2,0,12,32,-10.31178080684301,False,PLATINUM
8,9,7,1,1,2,1,3,2,1,0,29,43,0.9790741299245411,False,PLATINUM
9,11,1,3,0,0,1,4,0,1,1,54,26,10.68538991075232,True,PLATINUM
10,0,11,0,3,0,1,2,2,0,2,15,31,-7.341098542275695,False,PLATINUM
11,9,7,1,1,0,2,3,3,0,2,35,27,7.386187565270575,True,PLATINUM
12,9,4,1,0,2,0,2,2,0,2,32,15,11.080956021705255,True,PLATINUM
13,3,9,0,2,1,0,2,1,1,1,26,32,-1.9657469763197213,False,PLATINUM
14,8,4,1,0,1,0,3,1,0,2,32,25,4.793757195915035,True,PLATINUM
15,7,2,1,0,1,0,3,1,2,0,39,21,5.4209345484948415,True,PLATINUM
16,5,10,0,3,1,1,1,4,0,1,42,52,-1.829723654168859,False,PLATINUM
17,11,2,3,0,1,0,3,1,2,0,33,11,5.513928559144084,True,PLATINUM
18,2,8,0,1,0,1,0,4,1,1,19,32,-10.89061094701136,False,PLATINUM
19,11,2,4,0,1,0,2,2,0,1,65,33,10.645445497968964,True,PLATINUM
20,9,9,2,3,2,0,2,2,0,1,64,30,7.2090563592000265,True,PLATINUM
