,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,6,11,1,4,0,2,0,5,0,2,31,30,-4.460366446075376,False,GOLD
1,1,11,0,3,0,1,0,4,0,2,15,38,-11.927931246905626,False,GOLD
2,5,11,0,2,0,1,2,1,0,1,37,42,-3.603896289007757,False,GOLD
3,8,6,1,0,1,0,1,3,1,1,44,42,1.4286295194826408,True,GOLD
4,1,10,0,3,0,1,1,3,0,0,23,41,-6.0222682114812045,False,GOLD
5,5,1,0,0,0,0,2,1,2,0,35,17,8.6098313033512,True,GOLD
6,9,4,1,0,2,0,3,3,2,0,35,19,5.9043848284081974,True,GOLD
7,9,5,2,0,2,0,2,3,1,1,43,28,6.414700406170688,True,GOLD
8,10,2,3,0,1,0,4,0,1,0,53,48,2.183092150019256,True,GOLD
9,11,4,3,0,2,0,2,2,1,0,30,25,3.5750536534493875,True,GOLD
10,6,3,1,0,1,0,4,1,1,0,35,28,5.024956372094437,True,GOLD
11,6,0,1,0,0,0,3,0,1,1,30,11,16.28754971456282,True,GOLD
12,11,4,3,0,1,1,4,2,0,2,40,25,5.011333167317289,True,GOLD
13,7,9,0,1,0,1,2,3,1,0,30,44,-3.1585016408975903,False,GOLD
14,3,6,0,1,2,0,3,2,1,1,35,25,5.219396218379707,True,GOLD
15,8,1,1,0,1,0,3,0,1,0,33,15,11.466876966467066,True,GOLD
16,3,9,0,2,0,1,1,3,1,1,20,37,-5.8247194919312335,False,GOLD
17,11,2,3,0,1,0,4,0,1,0,43,29,7.046676295204215,True,GOLD
18,9,9,3,1,0,1,3,3,2,0,33,35,1.9722857891841272,False,GOLD
19,3,11,0,3,0,1,0,4,1,0,37,58,-7.211771024004648,False,GOLD
20,3,10,0,3,0,1,2,2,2,0,27,45,-4.569397448623015,False,GOLD
21,11,3,3,0,1,0,4,0,0,2,36,17,10.901391158341838,True,GOLD
22,10,6,2,1,1,0,2,2,0,1,42,36,1.3858977406169402,True,GOLD
23,7,7,1,2,2,1,3,3,0,2,47,60,-3.818761647476549,False,GOLD
24,1,10,0,2,0,1,1,2,1,0,18,33,-6.8459114003401,False,GOLD
25,6,3,0,0,1,0,3,1,0,1,36,24,9.898636273632803,True,GOLD
