,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,3,11,0,3,0,1,2,1,1,0,30,36,-1.533062253784287,False,SILVER
1,2,4,1,2,0,0,0,0,0,0,66,64,0.2735851691631197,False,SILVER
2,4,4,1,2,0,0,0,0,0,0,84,97,-1.5475520765054966,False,SILVER
3,4,2,2,1,0,0,0,0,0,0,89,79,0.7207564333049561,True,SILVER
4,4,11,0,2,0,2,2,3,0,2,27,35,-4.374357045343935,False,SILVER
5,1,4,0,1,0,0,0,0,0,0,76,86,-4.613223858622511,False,SILVER
6,5,9,0,1,0,2,2,3,0,2,40,48,-4.5397997529278555,False,SILVER
7,7,10,1,2,0,2,1,4,2,0,34,34,-1.5147649121155382,False,SILVER
8,6,1,0,0,1,0,4,0,2,0,27,7,15.846623883718813,True,SILVER
9,5,11,0,3,0,1,1,4,0,2,32,58,-7.587432589767879,False,SILVER
10,1,11,0,3,0,1,1,2,1,1,23,43,-11.007863774817729,False,SILVER
11,2,4,0,1,0,0,0,0,0,0,61,79,-2.2323532222104916,False,SILVER
12,11,9,3,3,2,0,3,2,0,2,31,46,-5.337916519728715,True,SILVER
13,8,6,1,0,1,0,1,2,2,0,35,27,1.6769343761712037,True,SILVER
14,11,5,6,0,2,0,4,1,2,0,34,27,1.4178645887609918,True,SILVER
15,9,3,2,0,1,0,3,1,1,0,40,31,2.995320081194315,True,SILVER
16,11,5,4,0,2,0,4,1,2,0,48,30,8.492521170666251,True,SILVER
17,4,3,3,3,0,0,0,0,0,0,85,97,-0.5748527051388805,True,SILVER
18,3,7,0,1,0,2,2,2,1,1,43,47,-1.8757298297116023,False,SILVER
19,11,4,3,0,0,0,4,0,1,1,26,16,5.2289573905514715,True,SILVER
20,4,10,0,1,0,1,0,4,2,0,14,38,-10.497863272690502,False,SILVER
21,5,1,0,0,0,0,3,0,1,0,38,19,12.037268168377949,True,SILVER
22,5,7,0,1,0,1,1,4,1,1,22,36,-4.893165785505026,False,SILVER
23,5,10,0,3,0,2,3,4,0,2,24,57,-13.683201532169257,False,SILVER
