,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,2,11,0,2,1,1,1,4,1,1,30,45,-7.987375682159019,False,PLATINUM
1,7,11,2,5,2,0,2,4,1,1,31,35,3.716664001105407,False,PLATINUM
2,11,0,3,0,1,0,3,1,2,0,32,20,3.384004993467528,True,PLATINUM
3,5,11,0,3,1,1,2,2,2,0,28,53,-7.042234988297366,False,PLATINUM
4,10,6,1,0,1,2,4,1,2,0,34,34,-1.4007660376143676,True,PLATINUM
5,3,11,0,3,0,1,0,4,0,2,8,30,-17.175228892603876,False,PLATINUM
6,2,10,0,1,0,1,0,4,0,2,20,44,-7.962325576295427,False,PLATINUM
7,2,8,0,1,0,1,3,0,0,2,25,28,-4.090657865947101,False,PLATINUM
8,2,11,0,2,0,1,0,3,0,2,17,37,-9.336571556256601,False,PLATINUM
9,4,10,0,3,0,2,2,2,1,0,29,36,-5.660230968229023,False,PLATINUM
10,9,9,3,1,1,0,4,1,2,0,56,61,-4.378334645248252,False,PLATINUM
11,11,3,4,0,2,0,2,2,0,1,49,33,6.751728644169582,True,PLATINUM
12,4,9,1,2,0,1,1,3,0,2,20,41,-12.212857251516475,False,PLATINUM
13,7,10,1,2,0,2,1,4,1,1,45,39,0.503577786012066,True,PLATINUM
14,4,9,1,2,0,0,0,3,2,0,19,46,-7.283082047255604,False,PLATINUM
15,11,1,3,0,1,0,3,0,1,0,45,20,13.324284070127504,True,PLATINUM
16,8,10,1,2,0,3,1,5,1,1,30,31,0.6178149174665535,False,PLATINUM
17,2,11,0,3,0,1,1,3,0,1,24,49,-9.138522738228716,False,PLATINUM
18,9,6,1,1,0,0,4,1,0,1,36,43,-4.996325686691144,True,PLATINUM
19,1,11,0,2,0,0,1,1,0,2,24,49,-12.418761909424376,False,PLATINUM
20,10,7,2,2,2,0,2,3,0,2,44,38,-0.11616035951369241,True,PLATINUM
21,3,9,0,2,0,1,1,3,0,2,34,47,-3.376865889472384,False,PLATINUM
22,5,11,0,1,0,1,0,5,2,0,32,30,-1.226534831492856,False,PLATINUM
23,3,8,0,2,0,1,0,4,1,1,26,45,-9.875617554162499,False,PLATINUM
24,9,6,2,1,1,1,2,2,0,1,38,33,2.2749931585373986,True,PLATINUM
25,3,8,0,2,0,1,1,3,1,1,21,42,-10.163677223888754,False,PLATINUM
26,3,11,0,2,0,1,1,3,1,0,16,33,-8.236120415222537,False,PLATINUM
27,0,11,0,3,0,0,0,3,0,0,25,46,-11.262151128428954,False,PLATINUM
28,5,1,1,0,1,0,1,2,1,0,24,21,2.57970962408519,True,PLATINUM
29,7,8,0,1,1,1,3,2,1,0,32,39,-4.782674169093809,False,PLATINUM
30,2,11,0,2,0,0,0,4,0,2,39,54,-4.972997874737018,False,PLATINUM
31,11,1,2,0,1,0,1,2,2,0,47,33,8.00966090626742,True,PLATINUM
32,6,7,0,1,0,1,3,2,2,0,34,43,-5.362999189816527,False,PLATINUM
33,8,2,1,0,0,1,3,1,1,1,40,32,9.128630518100138,True,PLATINUM
34,0,11,0,3,0,0,0,3,1,1,21,39,-6.0450343851125865,False,PLATINUM
35,7,1,1,0,0,0,4,0,1,0,33,21,11.645418865931667,True,PLATINUM
36,7,8,1,1,1,1,3,2,0,1,49,41,2.2065099343648953,True,PLATINUM
37,8,5,1,0,1,0,3,1,0,2,38,29,2.823742801124567,True,PLATINUM
38,6,11,2,4,0,2,4,2,2,0,46,57,-5.085062042035183,False,PLATINUM
39,10,6,1,0,1,0,1,3,1,0,31,36,0.11073154050801293,True,PLATINUM
40,10,0,2,0,1,0,3,0,1,0,48,26,10.332351379955242,True,PLATINUM
41,4,11,0,4,0,2,2,3,0,2,35,37,1.6854104232620983,False,PLATINUM
42,10,1,2,0,1,0,1,2,2,0,35,25,4.214432933185016,True,PLATINUM
