,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,9,5,2,0,1,1,3,2,0,0,45,46,-2.786401619893823,True,GOLD
1,4,2,1,0,0,0,0,0,0,0,65,68,-0.2888542801907761,True,GOLD
2,6,8,0,1,0,0,2,1,0,1,35,47,-5.270439852762891,False,GOLD
3,11,2,4,0,1,0,2,2,2,0,55,58,-3.0970382284384144,True,GOLD
4,7,5,1,0,1,0,3,2,1,0,36,30,2.3769040020421173,True,GOLD
5,2,4,0,0,0,1,1,2,0,1,19,32,-5.638810418919789,False,GOLD
6,9,0,1,0,1,0,4,0,2,0,32,26,2.4312734043912414,True,GOLD
7,2,5,0,0,0,1,2,1,1,1,22,43,-11.46832741068561,False,GOLD
8,7,5,1,0,1,0,3,1,0,2,18,21,-0.18697411630446226,True,GOLD
9,9,1,1,0,0,0,1,2,1,0,38,23,8.260844832744212,True,GOLD
10,8,3,1,0,1,0,1,3,1,1,42,40,2.004758424962837,True,GOLD
11,7,5,1,1,0,0,2,0,1,1,23,25,-0.9000994606209076,False,GOLD
12,9,2,2,0,1,0,2,1,2,0,28,31,-1.3592028483126413,True,GOLD
13,10,5,2,0,1,0,3,1,2,0,48,20,13.77419141619388,True,GOLD
14,11,0,3,0,1,0,3,1,0,1,47,14,15.181524210737845,True,GOLD
15,8,2,1,0,1,0,2,2,1,1,28,11,13.660883315982232,True,GOLD
16,6,7,1,0,0,0,1,3,2,0,34,58,-5.43294573324426,False,GOLD
17,6,8,0,1,0,1,4,0,1,0,34,22,5.4442305933518895,False,GOLD
18,9,3,2,0,1,0,2,0,2,0,29,22,3.739710817985376,True,GOLD
19,5,7,1,2,0,1,3,1,0,2,28,33,-0.14944574757738138,False,GOLD
20,9,4,1,0,2,0,2,2,1,1,53,44,1.5702228323837417,True,GOLD
21,4,11,0,5,0,1,2,2,1,0,42,43,3.5080654633824935,False,GOLD
22,7,7,1,1,1,1,3,1,0,2,32,17,11.642348307302562,True,GOLD
