,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,8,7,2,0,1,0,3,3,0,2,53,40,-0.6718898799452617,True,GOLD
1,3,4,1,2,0,0,0,0,0,0,59,46,4.171235010908667,False,GOLD
2,1,10,0,2,0,2,1,3,0,1,27,44,-3.5841519227152148,False,GOLD
3,11,8,5,1,1,2,2,2,0,1,24,51,-11.154551720865747,True,GOLD
4,4,7,0,0,1,0,3,1,0,2,45,27,8.378373155021933,True,GOLD
5,1,11,0,4,0,1,2,2,0,2,28,34,-2.720176812357792,False,GOLD
6,9,1,2,0,1,0,3,1,1,1,34,29,3.210589712857576,True,GOLD
7,4,1,2,0,0,0,0,0,0,0,77,60,0.48167028795405287,True,GOLD
8,5,11,0,3,0,1,2,3,1,0,43,62,-6.102065261065462,False,GOLD
9,11,4,2,0,1,0,2,2,0,1,32,33,-1.5301651953564033,True,GOLD
10,2,10,0,2,0,1,1,3,0,1,17,31,-8.889080780314849,False,GOLD
11,3,10,0,3,0,2,0,5,0,1,28,44,-2.2846357500497163,False,GOLD
12,9,3,2,0,1,0,3,1,1,1,47,30,9.630440871455242,True,GOLD
13,11,3,4,0,2,0,4,1,2,0,57,32,7.0900956721432635,True,GOLD
14,1,4,0,0,0,1,0,4,0,2,14,22,-9.557075510458432,False,GOLD
15,8,7,1,1,0,2,4,3,1,0,44,29,1.877549215647349,False,GOLD
16,6,11,0,3,0,2,1,4,1,1,36,29,-5.328206063203602,False,GOLD
17,1,4,0,1,0,0,0,0,0,0,66,63,3.7038167716270536,False,GOLD
18,4,3,0,0,0,0,3,1,1,1,23,16,7.760862598652928,True,GOLD
19,3,7,0,2,0,1,0,4,1,0,31,43,-8.859148325063991,False,GOLD
20,7,7,1,1,0,2,3,3,2,0,47,51,1.241387205717686,True,GOLD
21,11,2,3,0,1,0,3,1,0,1,38,15,12.3267721956772,True,GOLD
22,10,8,3,1,2,1,5,2,1,1,54,39,2.4939360656236502,True,GOLD
23,2,11,0,4,0,2,0,5,0,2,28,33,1.054155189818566,False,GOLD
24,2,11,0,4,0,1,1,3,1,1,37,56,-7.23362372031756,False,GOLD
25,1,8,0,1,0,1,2,1,0,2,15,30,-13.391676006381946,False,GOLD
26,4,11,0,3,0,1,2,2,1,0,16,36,-12.48337343233576,False,GOLD
27,4,1,0,0,0,0,3,0,1,0,24,16,6.747694516218274,True,GOLD
28,3,10,0,3,0,3,2,3,0,1,39,38,2.1727187695377026,False,GOLD
29,11,5,4,0,1,1,5,0,1,1,50,39,7.093193089673932,True,GOLD
30,8,1,2,0,1,0,3,0,2,0,43,17,13.557978482475612,True,GOLD
31,9,2,1,0,1,0,1,3,2,0,41,20,11.637001606939762,True,GOLD
32,10,7,3,1,2,1,4,2,1,1,57,47,1.6655291075615395,True,GOLD
33,7,7,2,0,0,2,3,3,2,0,47,49,-3.6375803422083735,True,GOLD
34,6,9,0,2,1,0,2,3,1,1,40,64,-6.758600259732162,False,GOLD
35,11,3,3,0,1,0,4,0,1,0,62,29,12.135010041177424,True,GOLD
