,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,4,10,0,1,0,2,2,3,0,2,37,36,3.4151758699888077,False,SILVER
1,0,9,0,2,1,1,0,3,0,2,14,29,-10.437096037830678,False,SILVER
2,4,7,0,1,0,1,0,4,2,0,31,46,-4.937717926498749,False,SILVER
3,11,6,3,0,1,0,3,2,1,0,45,27,8.332458903067064,True,SILVER
4,11,5,3,0,1,0,2,1,1,0,46,29,7.685444155363733,True,SILVER
5,7,10,3,2,0,2,1,5,0,1,55,67,-0.9218533173967529,False,SILVER
6,10,3,2,0,1,0,1,2,1,1,38,21,6.043625973591716,True,SILVER
7,9,4,2,0,1,0,3,1,1,1,35,32,-2.39711884657428,True,SILVER
8,5,11,0,4,1,0,1,4,1,1,33,32,-0.2798139381394833,False,SILVER
9,3,11,0,3,0,1,0,4,2,0,19,41,-9.061372418006968,False,SILVER
10,3,11,0,2,0,2,0,4,1,1,18,41,-13.745749159380743,False,SILVER
11,4,9,0,1,1,1,2,3,1,1,24,39,-7.272098340351292,False,SILVER
12,1,4,0,0,0,0,2,2,0,1,21,32,-8.547180577327289,False,SILVER
13,9,4,1,0,0,1,2,3,0,2,38,24,5.711806676018561,True,SILVER
14,10,5,2,0,0,3,4,2,1,1,59,38,6.3446894211367635,True,SILVER
15,5,10,0,3,0,0,0,3,0,0,25,45,-8.663407749122065,False,SILVER
16,3,10,0,2,0,1,2,2,0,2,19,36,-10.083574178245971,False,SILVER
17,11,6,3,1,2,0,2,3,2,0,39,38,2.248827124542302,True,SILVER
18,11,2,3,0,1,0,2,1,2,0,38,33,0.4845020399488078,True,SILVER
19,1,10,0,2,0,1,0,3,0,0,23,36,-8.322603657823613,False,SILVER
20,10,1,2,0,0,0,3,0,1,0,34,13,14.019212264123933,True,SILVER
21,10,4,2,1,1,0,3,2,0,1,50,39,5.612589583521249,True,SILVER
22,3,10,0,2,0,1,2,3,1,0,28,35,-3.955495482121407,False,SILVER
23,1,10,0,2,0,1,0,3,0,2,8,24,-11.337295370718302,False,SILVER
24,10,7,2,0,2,0,4,1,0,2,52,34,4.545741476030791,True,SILVER
25,2,9,0,1,0,0,1,2,0,2,21,40,-9.39859805322449,False,SILVER
26,2,10,0,2,0,1,0,3,1,1,17,38,-13.204803871519932,False,SILVER
