,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,2,4,1,2,0,0,0,0,0,0,62,65,-0.9031618440645133,False,PLATINUM
1,11,3,4,0,1,0,2,1,1,1,39,22,8.474015978624571,True,PLATINUM
2,2,9,0,1,0,1,0,5,0,1,21,28,-3.748145988329533,False,PLATINUM
3,4,4,2,1,0,0,0,0,0,0,74,85,-0.856322704181494,True,PLATINUM
4,1,4,0,2,0,0,0,0,0,0,60,50,2.3725710505977062,False,PLATINUM
5,3,7,0,1,0,1,2,2,1,0,29,43,-3.7947565665704985,False,PLATINUM
6,5,8,0,1,1,0,1,4,0,1,38,67,-7.048969012403155,False,PLATINUM
7,9,1,1,0,1,0,2,3,1,0,37,27,2.810602234069357,True,PLATINUM
8,11,2,3,0,1,0,4,0,1,1,31,16,9.275997669459066,True,PLATINUM
9,6,10,0,2,0,1,2,3,0,1,26,53,-11.76505321367528,False,PLATINUM
10,2,11,0,3,0,1,0,4,1,0,23,38,-6.569738414088121,False,PLATINUM
11,2,6,0,1,0,1,0,4,1,1,18,36,-11.200982064138934,False,PLATINUM
12,2,11,0,3,0,1,2,1,0,2,28,45,-4.654436453024921,False,PLATINUM
13,8,6,2,0,0,1,4,1,0,1,46,45,6.367639862945154,True,PLATINUM
14,10,6,2,0,1,0,5,0,2,0,58,34,10.40173229145848,True,PLATINUM
15,9,5,2,0,0,1,3,1,2,0,41,35,0.3836246369870011,True,PLATINUM
16,7,8,0,2,0,2,2,2,0,1,33,36,0.014381139652698494,False,PLATINUM
17,11,3,2,0,2,0,4,1,1,0,27,30,-5.595034924654506,True,PLATINUM
18,9,5,1,0,1,0,3,1,1,1,42,28,5.32575412523267,True,PLATINUM
19,9,7,2,2,1,1,1,4,1,1,26,50,-7.668222232919483,True,PLATINUM
20,2,11,0,4,0,1,1,3,1,1,14,36,-14.18644120996133,False,PLATINUM
21,11,2,3,0,1,0,4,0,0,1,59,18,12.661943501173745,True,PLATINUM
22,8,4,2,0,1,1,1,4,0,2,37,42,-10.015174814029265,True,PLATINUM
23,6,10,2,2,2,1,4,1,0,2,32,35,-4.52142663581575,False,PLATINUM
24,11,1,5,0,2,0,4,0,0,1,56,29,10.912319338205123,True,PLATINUM
25,11,2,3,0,1,0,4,0,0,1,59,27,10.400257831962712,True,PLATINUM
26,3,10,0,2,0,1,0,5,0,2,24,43,-5.202465189735584,False,PLATINUM
27,4,2,2,2,0,0,0,0,0,0,80,92,-2.2786478998261828,True,PLATINUM
28,10,4,2,0,1,1,6,0,0,1,53,45,2.661970240065756,True,PLATINUM
29,1,11,0,2,0,1,3,1,2,0,15,20,-3.8447232798459083,False,PLATINUM
30,10,6,2,1,2,0,4,1,1,1,38,26,5.053333223323172,True,PLATINUM
31,6,8,1,1,1,1,2,3,1,1,43,42,0.5544631597635501,False,PLATINUM
