,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,9,3,2,0,0,0,3,1,1,1,19,33,-9.124369361471892,True,PLATINUM
1,11,8,3,3,1,1,2,2,0,1,56,47,2.8415458039493444,True,PLATINUM
2,9,3,2,0,0,0,2,1,2,0,36,23,3.348047168090922,True,PLATINUM
3,3,6,0,1,0,1,0,3,1,1,26,31,-2.1377806325265496,False,PLATINUM
4,11,2,2,0,0,0,0,3,0,0,58,19,14.330469915752161,True,PLATINUM
5,10,7,2,1,0,0,1,3,1,1,52,25,5.946622851202406,True,PLATINUM
6,10,7,2,1,0,2,2,1,0,2,47,41,1.3246976074227703,True,PLATINUM
7,9,1,3,0,0,0,2,1,1,0,47,23,10.600295076289214,True,PLATINUM
8,10,7,2,1,0,1,4,2,2,0,41,45,0.17350297304081863,True,PLATINUM
9,10,4,2,0,0,1,4,1,1,1,42,39,0.7429441187200325,True,PLATINUM
10,5,10,0,1,0,1,0,4,1,0,38,45,-2.6129161168401964,False,PLATINUM
11,10,4,1,0,1,0,3,1,1,0,49,30,6.970594474169054,True,PLATINUM
12,4,10,2,2,1,1,2,3,1,1,49,55,0.9806938290669223,False,PLATINUM
13,11,6,6,0,1,2,1,5,0,2,33,43,-0.99032403784949,False,PLATINUM
14,3,9,0,1,0,2,2,2,0,2,36,36,-0.3229523438881401,False,PLATINUM
15,8,7,2,1,1,1,1,4,1,0,47,27,8.046805057307765,True,PLATINUM
16,5,7,0,1,0,1,4,0,2,0,26,31,-3.5363878327595657,False,PLATINUM
17,7,9,0,2,0,3,1,5,1,1,48,56,-2.2046369121931306,False,PLATINUM
18,7,3,1,0,0,1,4,0,1,1,50,38,2.450883414471754,True,PLATINUM
19,10,5,1,0,0,0,3,1,1,1,56,44,2.6037150906321287,True,PLATINUM
20,1,7,0,0,0,0,1,1,1,1,17,35,-12.67929369827013,False,PLATINUM
21,10,5,3,1,1,0,3,2,1,1,54,30,6.120599649392645,True,PLATINUM
22,4,2,1,1,0,0,0,0,0,0,69,60,1.6076625629773886,True,PLATINUM
23,4,10,0,4,0,2,3,2,0,1,35,45,-1.7079080474156925,False,PLATINUM
24,4,9,0,2,0,1,0,4,1,1,26,29,-2.5700726325973307,False,PLATINUM
25,11,3,3,0,0,0,1,2,0,2,60,24,12.087215274412806,True,PLATINUM
26,7,8,0,1,1,1,4,1,1,0,31,26,1.1171743424864218,False,PLATINUM
27,9,5,2,0,0,2,4,1,0,0,47,45,0.7499875955009685,True,PLATINUM
28,11,4,5,0,0,1,4,2,1,1,47,32,7.840900947770486,True,PLATINUM
29,6,7,0,1,0,1,2,3,1,0,43,45,-8.507297303387574,False,PLATINUM
30,11,4,3,0,0,0,3,0,1,1,43,25,9.865901044066725,True,PLATINUM
31,10,6,2,0,1,0,1,4,2,0,48,43,-1.6512954716945245,True,PLATINUM
32,10,5,3,1,0,1,2,3,0,2,39,39,-4.645963868940193,True,PLATINUM
33,4,8,0,1,0,1,2,2,1,1,23,26,-0.6969467802194629,False,PLATINUM
