,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,2,4,1,1,0,0,0,0,0,0,75,79,1.458745685840924,False,BRONZE
1,4,7,0,1,0,0,0,3,0,1,17,44,-13.26672143679356,False,BRONZE
2,1,11,0,2,0,0,0,3,0,1,15,38,-9.602579498724708,False,BRONZE
3,2,4,1,1,0,0,0,0,0,0,66,65,0.941053288715274,False,BRONZE
4,4,2,1,0,0,0,0,0,0,0,77,57,3.810717127236309,True,BRONZE
5,10,4,2,0,0,0,3,0,1,1,45,34,4.854274332880536,True,BRONZE
6,4,1,1,0,0,0,0,0,0,0,67,55,5.114322376958235,True,BRONZE
7,4,4,2,2,0,0,0,0,0,0,70,65,2.0193515705855276,False,BRONZE
8,2,4,0,2,0,0,0,0,0,0,63,67,-1.6674142796019993,False,BRONZE
9,1,11,0,4,0,1,0,3,0,2,11,29,-7.558150426337029,False,BRONZE
10,8,4,1,0,1,0,4,0,1,1,50,33,9.754139145796884,True,BRONZE
11,3,4,0,0,0,1,0,4,1,1,24,39,-11.225820372810304,False,BRONZE
12,7,4,2,0,2,0,4,0,1,0,46,28,12.000395940119446,True,BRONZE
13,2,4,1,3,0,0,0,0,0,0,89,78,0.7077263212875522,False,BRONZE
14,4,2,2,0,0,0,0,0,0,0,67,69,-1.8838090205666091,True,BRONZE
15,4,1,3,0,0,0,0,0,0,0,78,52,5.481617524788831,True,BRONZE
16,1,4,0,3,0,0,0,0,0,0,51,74,-6.066914248702673,False,BRONZE
