,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,11,2,4,0,1,0,2,2,1,1,41,20,9.431075157862793,True,IRON
1,2,10,0,2,0,2,1,3,0,1,30,37,0.12716887603821903,False,IRON
2,4,9,0,1,0,1,0,4,1,0,21,36,-6.312901234853669,False,IRON
3,7,7,1,1,1,1,1,4,1,0,38,29,-0.17795383469719184,False,IRON
4,11,3,3,0,2,0,2,2,2,0,49,33,5.460526112344844,True,IRON
5,1,11,0,3,0,1,0,3,2,0,13,38,-12.601308125775354,False,IRON
6,1,11,0,3,0,1,0,2,0,2,18,38,-9.648621753677077,False,IRON
7,2,9,0,1,0,1,0,3,0,1,9,30,-11.654766175268243,False,IRON
8,11,3,2,0,1,0,3,0,1,0,38,14,13.734809066470653,True,IRON
9,2,11,0,4,0,2,0,4,1,1,25,45,-7.557168009677106,False,IRON
10,11,4,3,0,3,0,2,4,1,1,62,57,3.967544472864354,True,IRON
11,4,4,0,0,0,0,1,4,1,1,32,44,-7.667761715712466,False,IRON
12,7,10,1,4,0,0,2,4,0,1,35,42,-1.6728566710232045,False,IRON
13,11,3,6,0,2,0,3,2,0,2,36,34,3.5223590806713787,True,IRON
14,6,10,0,2,0,0,1,4,0,1,43,49,-5.975949699917528,False,IRON
15,10,2,2,0,1,0,4,0,0,2,41,16,11.01015997813002,True,IRON
16,4,11,0,5,0,1,2,2,1,1,34,53,-5.021263769947261,False,IRON
17,3,9,0,1,0,1,2,2,0,1,27,48,-6.751555323761767,False,IRON
18,11,4,4,0,1,0,4,1,0,2,39,27,7.597280668842785,True,IRON
19,2,11,0,3,0,1,0,3,0,2,27,37,-5.7014502472272,False,IRON
20,8,9,1,1,0,2,2,2,2,0,30,43,-5.9860475690775345,False,IRON
21,10,10,1,3,0,1,3,2,0,1,56,40,6.695683876322477,False,IRON
22,2,8,0,2,0,0,0,3,1,1,10,23,-8.426317395555536,False,IRON
23,10,4,2,0,1,0,1,2,1,1,35,28,1.091416084820203,True,IRON
24,10,6,3,0,1,1,2,4,2,0,42,47,-5.369075320609106,True,IRON
25,2,11,0,4,1,0,0,3,0,2,18,38,-15.044266162330498,False,IRON
26,9,7,2,1,1,0,2,2,0,2,36,20,11.166083032996838,True,IRON
27,2,10,0,2,0,0,0,3,0,1,34,48,-9.431169906138617,False,IRON
28,11,4,5,1,0,1,1,3,1,1,45,34,6.565510091842064,True,IRON
29,5,11,2,3,1,1,3,2,2,0,32,47,-0.6655624845106871,False,IRON
30,8,10,2,3,1,0,4,3,0,2,55,43,5.377814958804464,False,IRON
31,2,9,0,2,0,1,0,4,0,1,15,47,-11.895502962415204,False,IRON
32,4,11,0,4,0,0,2,1,0,1,31,48,-6.8766547512632314,False,IRON
33,10,6,2,1,2,0,5,1,2,0,52,42,3.348061366937266,True,IRON
34,3,9,0,2,1,0,1,1,1,0,12,34,-4.390906319817262,False,IRON
35,3,10,0,3,0,1,0,3,0,2,21,49,-12.294988643926786,False,IRON
36,1,11,0,4,0,2,0,5,1,1,27,38,-0.5754525811130549,False,IRON
37,8,3,1,0,1,0,2,2,1,1,43,28,7.54408813056947,True,IRON
38,7,10,1,3,1,1,2,4,0,2,41,49,-2.843438508521629,False,IRON
