,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,10,7,5,1,0,1,4,1,1,1,62,58,0.6432681710284598,True,PLATINUM
1,5,11,0,3,1,1,2,2,1,0,34,51,-6.231322027516384,False,PLATINUM
2,9,1,2,0,1,0,1,3,2,0,38,24,5.535553379772189,True,PLATINUM
3,2,10,0,2,0,1,0,3,1,1,22,40,-8.687560821428605,False,PLATINUM
4,4,10,0,1,1,1,1,4,1,1,33,32,0.44779497430103277,False,PLATINUM
5,10,3,2,0,2,0,2,2,2,0,42,21,7.447479215330041,True,PLATINUM
6,5,7,0,1,1,1,0,4,1,1,17,27,-6.324672516471956,False,PLATINUM
7,8,3,1,0,1,0,0,4,1,1,33,26,2.945912815007354,True,PLATINUM
8,2,9,0,2,0,1,3,0,0,2,30,43,-4.850103693494894,False,PLATINUM
9,7,4,1,0,1,0,3,1,1,1,44,25,8.70988579075771,True,PLATINUM
10,8,2,1,0,1,0,3,1,1,1,26,14,10.00673368336956,True,PLATINUM
11,3,5,0,0,0,0,0,3,0,1,18,29,-8.652603744246363,False,PLATINUM
12,4,1,0,0,1,0,4,0,2,0,25,15,5.390301994818728,True,PLATINUM
13,4,10,0,2,0,1,0,4,2,0,16,31,-8.20303451018259,False,PLATINUM
14,3,10,0,2,0,2,1,4,0,2,23,37,-7.396910673411,False,PLATINUM
15,9,5,1,0,2,0,4,1,1,1,43,30,2.3623232603432243,True,PLATINUM
16,11,1,3,0,2,0,3,1,2,0,33,14,10.569321672366108,True,PLATINUM
17,2,10,0,2,0,1,2,3,1,1,30,51,-6.474595752869199,False,PLATINUM
18,7,8,1,1,1,1,4,1,1,1,34,36,-4.330861559452053,True,PLATINUM
19,11,3,3,0,1,0,4,0,1,0,45,20,9.58013465407695,True,PLATINUM
20,7,9,1,1,0,2,1,4,1,0,36,58,-7.879718229395905,False,PLATINUM
21,11,1,5,0,2,0,3,2,2,0,38,26,4.456696872642993,True,PLATINUM
22,11,1,5,0,0,1,3,2,2,0,43,26,5.478351302141036,True,PLATINUM
23,9,5,3,0,1,2,3,3,0,2,52,49,1.3727086179937373,True,PLATINUM
24,11,1,4,0,1,0,4,1,2,0,46,38,4.211957039195024,True,PLATINUM
25,9,8,2,1,1,1,4,3,2,0,63,68,-2.860289406922192,True,PLATINUM
26,10,7,2,1,0,1,3,2,0,0,55,42,-0.3613859429068498,False,PLATINUM
27,11,8,6,0,2,0,4,3,0,0,58,54,2.3255265138271426,True,PLATINUM
28,5,0,0,0,0,0,0,2,1,0,31,24,0.18258566885135963,True,PLATINUM
29,10,0,3,0,1,0,3,1,2,0,28,27,3.969794952928787,True,PLATINUM
30,2,10,0,3,0,1,0,3,0,2,10,30,-12.881385278997787,False,PLATINUM
31,2,11,0,2,0,1,0,5,0,1,24,47,-11.902648320856265,False,PLATINUM
32,4,10,0,2,0,1,1,2,2,0,22,45,-12.425058320533594,False,PLATINUM
33,8,7,2,1,1,1,0,5,1,1,30,46,-3.3226363357826045,False,PLATINUM
34,8,9,2,3,1,1,1,3,0,1,39,34,0.6223683423867783,True,PLATINUM
35,1,9,0,1,1,1,2,4,0,2,27,50,-9.15337289458752,False,PLATINUM
36,3,11,0,3,0,1,1,2,1,1,13,32,-12.137667561677503,False,PLATINUM
