,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,3,10,0,2,0,1,1,3,0,2,24,36,-5.825472645835795,False,GOLD
1,10,2,2,0,0,0,3,0,1,1,37,27,6.992796837629562,True,GOLD
2,9,1,1,0,1,0,3,0,1,1,33,16,11.039119124496239,True,GOLD
3,6,2,0,0,1,0,3,0,1,1,26,11,8.408492247536621,True,GOLD
4,5,9,0,1,0,1,3,1,1,1,31,29,2.5145796084242207,False,GOLD
5,10,0,2,0,1,0,4,0,2,0,33,25,3.3409329214569894,True,GOLD
6,7,1,1,0,1,0,2,2,1,0,36,26,4.3333019613666295,True,GOLD
7,6,10,1,3,1,1,1,4,1,1,33,49,-6.454489099602945,False,GOLD
8,10,2,2,0,1,0,1,3,2,0,41,32,6.4267677492629645,True,GOLD
9,11,3,3,0,1,0,2,1,1,1,41,30,1.577841030863496,True,GOLD
10,7,11,1,2,0,1,0,5,1,1,23,27,-6.687579839909688,False,GOLD
11,9,7,3,1,2,1,1,4,2,0,38,47,-4.487888804265964,False,GOLD
12,11,2,3,0,2,0,2,1,2,0,31,24,1.4930482780466505,True,GOLD
13,11,2,3,0,1,0,2,2,2,0,48,39,3.7872894406127813,True,GOLD
14,10,4,1,0,1,0,3,1,2,0,37,21,9.440869338797313,True,GOLD
15,10,1,2,0,1,0,3,0,2,0,32,13,12.741358888456297,True,GOLD
16,3,10,0,2,0,1,1,3,1,1,22,35,-9.736461001753518,False,GOLD
17,1,9,0,1,1,0,1,4,0,2,32,43,-4.190057325495218,False,GOLD
18,10,2,2,0,1,0,1,2,0,2,35,21,10.477547952645196,True,GOLD
19,11,0,2,0,1,0,3,0,2,0,28,13,6.614232627818453,True,GOLD
20,3,11,0,3,0,2,0,4,1,1,13,39,-12.905138052781993,False,GOLD
21,4,10,0,2,2,0,0,4,1,1,37,32,1.1928770361371477,False,GOLD
22,3,10,0,2,0,1,0,4,0,2,22,28,-7.552496067741693,False,GOLD
23,6,10,1,2,1,1,3,2,2,0,30,37,-4.397705470398151,False,GOLD
24,9,3,2,0,0,0,2,1,1,1,33,16,12.75239996698851,True,GOLD
25,3,9,0,1,0,1,1,3,2,0,22,32,-9.405054710190342,False,GOLD
26,9,1,1,0,1,0,3,1,2,0,40,16,8.092767364056442,True,GOLD
27,11,0,3,0,1,0,3,0,2,0,29,17,8.94577090026577,True,GOLD
28,4,9,0,3,0,2,0,5,0,2,17,42,-10.150161790753828,False,GOLD
29,1,7,0,1,0,0,0,3,0,2,22,36,-5.554263352551239,False,GOLD
30,3,11,0,4,0,1,0,4,1,1,22,32,-6.831569074018304,False,GOLD
31,11,3,3,0,1,0,2,2,2,0,54,29,10.773261472814738,True,GOLD
32,4,8,0,1,0,1,1,4,1,1,29,48,-9.615568219002384,False,GOLD
