,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,4,10,0,2,1,1,1,2,1,1,35,36,-0.4931153925654428,False,MASTER
1,8,6,1,1,2,0,3,1,0,2,53,42,-0.5857154423246698,True,MASTER
2,3,9,0,2,1,0,2,2,0,2,32,45,-9.386085214728567,False,MASTER
3,2,11,0,4,0,1,0,4,0,2,21,45,-5.783464907188822,False,MASTER
4,9,7,3,1,1,1,4,1,0,1,43,57,-8.334355055056406,False,MASTER
5,3,11,0,1,0,1,1,2,1,0,6,47,-19.220052011834873,False,MASTER
6,1,10,0,2,0,1,1,2,0,2,16,30,-7.347601990614237,False,MASTER
7,9,1,1,0,1,0,0,4,2,0,22,10,8.58958085873045,True,MASTER
8,4,11,0,3,0,3,2,4,0,2,22,25,-0.9837635299989316,False,MASTER
9,8,3,1,0,1,0,3,1,1,1,20,19,3.1212791068669006,True,MASTER
10,9,1,2,0,1,0,4,0,2,0,25,20,0.5266180007679893,True,MASTER
11,10,6,2,0,2,0,4,0,0,2,32,15,13.55919353013224,True,MASTER
12,10,3,2,0,2,0,3,1,2,0,50,27,8.668275036789659,True,MASTER
13,9,5,3,0,2,0,3,3,0,2,46,38,1.5870534630516886,True,MASTER
14,1,11,0,3,0,1,0,2,0,2,26,44,-6.976310963843176,False,MASTER
15,11,2,3,0,1,0,3,1,1,0,59,31,11.245825870433684,True,MASTER
16,4,8,0,1,0,1,1,3,0,2,24,32,-4.674875706887583,False,MASTER
17,7,5,1,0,1,0,3,0,1,1,30,25,4.836537380320209,True,MASTER
18,5,11,0,3,0,1,2,2,0,2,23,28,-0.33498951337713834,False,MASTER
19,8,5,1,0,1,1,2,3,1,1,26,30,-3.477515733139299,True,MASTER
20,1,10,0,3,0,2,0,4,0,2,26,33,-2.461238160062962,False,MASTER
21,0,9,0,2,0,1,2,1,0,2,11,26,-11.265238198685829,False,MASTER
22,7,11,2,4,1,2,2,4,1,1,42,44,1.8084148793344568,False,MASTER
23,2,7,0,1,0,1,3,1,0,1,14,28,-6.105289291535243,False,MASTER
24,3,7,0,1,0,1,3,2,1,1,21,26,-3.436093528207344,False,MASTER
25,11,3,3,0,2,0,4,0,1,1,20,10,5.073762141175131,True,MASTER
26,2,8,0,1,0,1,2,2,2,0,18,20,-2.996120904146281,False,MASTER
27,10,4,2,0,1,0,2,2,1,1,37,27,3.3829865305827838,True,MASTER
28,10,2,2,0,2,0,3,1,1,0,36,32,4.294948363962405,True,MASTER
29,1,10,0,2,0,1,0,2,0,2,17,35,-10.513957866204173,False,MASTER
30,3,9,0,2,0,1,1,2,1,1,14,34,-14.098580025741072,False,MASTER
31,9,3,1,0,0,1,2,1,2,0,26,24,-0.14764933107186096,True,MASTER
32,6,8,1,2,0,2,2,3,0,2,32,46,-1.8941904336052886,True,MASTER
33,3,10,0,2,0,1,0,3,0,2,33,42,-5.124311857701613,False,MASTER
34,9,3,1,0,1,0,3,1,0,2,39,24,7.385520307862436,True,MASTER
