,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,3,11,0,2,0,1,0,3,1,1,14,27,-9.716931381467646,False,DIAMOND
1,2,11,0,4,0,2,1,3,2,0,35,50,-0.7416990926883713,False,DIAMOND
2,3,9,0,1,0,1,1,2,1,1,14,41,-13.960526021283329,False,DIAMOND
3,2,11,0,2,0,2,0,4,1,1,20,31,-3.807549271635658,False,DIAMOND
4,2,9,0,2,0,1,0,3,0,2,21,41,-7.272364196605359,False,DIAMOND
5,5,11,0,5,2,1,3,3,0,2,50,51,2.356881740739695,False,DIAMOND
6,7,6,2,1,1,1,4,1,1,1,33,21,8.26746191136749,True,DIAMOND
7,10,2,1,0,1,0,3,0,1,1,38,19,12.43610932256371,True,DIAMOND
8,1,11,0,4,0,2,1,3,0,2,25,45,-9.88380347795404,False,DIAMOND
9,8,5,1,0,1,0,2,1,1,1,35,24,5.181862633117888,True,DIAMOND
10,5,11,1,4,1,2,3,2,0,1,32,46,-3.862309989441002,False,DIAMOND
11,3,10,0,2,0,1,1,2,0,2,21,38,-10.203384279617573,False,DIAMOND
12,4,9,0,1,0,1,0,4,0,1,21,43,-9.532306574498186,False,DIAMOND
13,1,9,0,2,0,1,2,1,1,0,25,49,-11.403105001462151,False,DIAMOND
14,3,10,0,2,0,1,2,3,2,0,11,35,-10.659802680060494,False,DIAMOND
15,9,4,2,0,2,0,2,2,1,0,36,26,6.254349388388093,True,DIAMOND
16,11,1,3,0,1,0,4,0,2,0,42,21,11.337364253434018,True,DIAMOND
17,11,1,2,0,1,0,2,1,2,0,36,18,11.388979059055004,True,DIAMOND
18,6,2,1,0,0,0,2,2,2,0,28,24,1.8805154646757458,True,DIAMOND
19,11,1,4,0,1,0,4,0,2,0,34,34,0.9908696653770548,True,DIAMOND
20,7,2,1,0,1,0,4,0,2,0,34,13,9.965095632747037,True,DIAMOND
21,9,3,2,0,1,1,3,2,1,1,49,37,3.7322849225895,True,DIAMOND
22,9,1,1,0,0,0,3,0,1,1,39,24,7.911619649412621,True,DIAMOND
23,10,0,1,0,0,0,3,1,1,0,36,23,7.0524647563990115,True,DIAMOND
24,1,11,0,3,0,1,1,3,1,1,21,33,-5.753363732251167,False,DIAMOND
25,7,7,1,1,1,0,3,2,2,0,44,37,1.9815114518082453,True,DIAMOND
26,10,1,2,0,1,0,2,2,1,1,40,19,11.618730871951549,True,DIAMOND
27,8,8,2,1,2,0,3,3,1,1,37,43,-1.7644063784178243,False,DIAMOND
28,9,0,1,0,1,0,3,0,1,1,36,20,4.976428650305451,True,DIAMOND
29,4,8,0,1,0,1,1,3,1,1,33,32,-1.8577213966219333,False,DIAMOND
30,9,1,2,0,1,0,3,1,2,0,29,20,5.114243015287094,True,DIAMOND
31,9,3,1,0,1,0,4,0,1,1,30,14,8.407366997644019,True,DIAMOND
32,8,9,1,0,2,1,4,1,1,1,42,42,0.7400536731999523,True,DIAMOND
33,4,7,0,1,0,2,2,3,1,1,27,39,-3.687463067230368,False,DIAMOND
34,11,4,3,0,1,0,2,2,1,0,40,21,10.49131010989609,True,DIAMOND
35,2,11,0,2,0,1,1,2,1,1,20,30,-0.05243202119092416,False,DIAMOND
36,10,4,2,0,3,0,3,3,1,1,33,40,-0.30354566727690724,True,DIAMOND
