,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,11,3,1,0,1,0,3,0,1,0,26,19,6.211833372100607,True,DIAMOND
1,6,5,2,0,0,2,3,3,2,0,50,36,5.784038343815659,False,DIAMOND
2,4,8,1,1,0,0,0,4,1,1,19,21,-1.89585278359516,False,DIAMOND
3,2,9,0,3,0,1,0,4,0,2,22,37,-4.826155239639775,False,DIAMOND
4,8,8,1,2,1,1,1,3,0,2,36,29,3.0121917561009113,True,DIAMOND
5,6,5,1,0,1,0,4,0,2,0,44,32,3.739664418884132,True,DIAMOND
6,11,5,3,0,1,0,3,1,1,1,35,28,8.566363994664009,True,DIAMOND
7,8,4,1,0,1,0,1,4,0,2,28,26,1.5991394508109238,True,DIAMOND
8,6,6,0,1,0,1,0,3,1,0,29,36,-2.6433636706266768,False,DIAMOND
9,3,11,0,2,1,1,2,2,1,1,30,34,0.1185496208288086,False,DIAMOND
10,9,1,2,0,0,1,3,2,1,0,52,35,7.121281717823479,True,DIAMOND
11,11,3,3,0,2,0,3,1,1,1,37,15,10.576245903375998,True,DIAMOND
12,10,1,2,0,0,0,2,0,1,0,34,16,12.326769008135628,True,DIAMOND
13,11,2,2,0,0,1,4,0,0,2,41,28,6.88223641430838,True,DIAMOND
14,6,9,0,2,1,2,3,3,0,2,31,55,-8.122191840235232,False,DIAMOND
15,10,3,2,0,2,0,4,0,2,0,52,27,6.181719973261906,True,DIAMOND
16,6,1,1,0,0,0,3,0,0,1,42,25,6.06013312869139,True,DIAMOND
17,0,10,0,2,0,0,0,3,0,2,15,35,-10.497000702850514,False,DIAMOND
18,11,6,4,1,2,1,4,1,1,1,54,44,3.02995640452356,True,DIAMOND
19,11,1,3,0,1,0,4,1,1,0,42,27,5.594597592021422,True,DIAMOND
20,9,9,1,3,0,1,2,3,1,1,31,37,-2.6172774088947577,False,DIAMOND
21,9,3,2,0,1,0,3,1,1,1,37,20,9.280461573347573,True,DIAMOND
22,8,9,2,3,0,2,4,1,0,2,42,37,3.31590500218077,True,DIAMOND
23,10,0,3,0,0,1,2,1,2,0,36,21,6.4389634858910085,True,DIAMOND
24,6,3,1,0,1,0,3,0,0,2,37,20,9.439308266079884,True,DIAMOND
25,8,9,1,2,1,1,3,2,0,1,37,38,-0.2864679078842727,True,DIAMOND
26,4,11,0,2,1,0,0,4,0,2,36,54,-7.113046953176536,False,DIAMOND
27,11,1,3,0,1,0,3,0,1,0,38,17,9.901427902017858,True,DIAMOND
28,10,4,3,0,1,1,2,3,2,0,32,32,-0.03648773434699848,True,DIAMOND
29,10,6,3,2,1,3,3,3,0,1,49,52,0.7482620951192089,False,DIAMOND
