,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,9,2,1,0,0,0,3,0,0,1,39,25,6.938231718912327,True,IRON
1,1,9,0,2,0,1,0,4,0,2,17,29,-8.128124380479623,False,IRON
2,4,8,0,1,0,1,0,4,2,0,35,66,-12.156795540186067,False,IRON
3,1,11,0,7,0,2,0,5,0,2,44,55,-4.321011317938471,False,IRON
4,10,8,4,1,1,0,5,0,0,2,53,39,4.920842529454696,True,IRON
5,7,10,2,1,0,1,1,4,2,0,52,39,2.5377326829111624,False,IRON
6,4,11,0,3,1,0,1,4,0,2,17,37,-12.304383589006537,False,IRON
7,3,11,0,3,1,0,3,3,1,1,34,44,-3.3731699214609705,False,IRON
8,0,8,0,2,0,1,1,2,0,2,7,21,-18.083326198116243,False,IRON
9,9,4,1,0,1,0,2,3,0,2,39,25,2.3927367695862216,True,IRON
10,7,3,0,0,0,0,2,1,0,1,30,14,11.935795581165365,True,IRON
11,10,5,2,0,1,0,4,0,2,0,38,28,6.057172942153876,True,IRON
12,2,11,0,3,0,1,3,0,0,2,26,23,2.169557328016367,False,IRON
13,3,8,0,2,0,1,2,2,0,2,26,44,-9.793171506444239,False,IRON
14,9,3,1,0,2,0,0,4,0,1,38,31,1.6971864771304865,True,IRON
15,11,6,2,0,2,0,1,4,0,2,32,37,-4.708469962493169,True,IRON
16,0,11,0,3,0,2,2,3,0,2,41,53,-3.528019759613805,False,IRON
17,2,8,0,1,0,0,0,3,0,1,35,42,-4.587526870856735,False,IRON
18,11,7,2,1,0,1,3,3,0,2,42,33,-3.7652147053086935,True,IRON
19,4,5,0,1,0,0,0,4,2,0,16,28,-8.466482042354489,False,IRON
20,8,4,1,0,1,0,1,3,0,1,45,24,4.844195258644696,True,IRON
21,3,7,0,1,0,1,1,3,1,0,13,34,-15.206927742961522,False,IRON
22,9,5,2,1,0,2,1,3,1,1,33,41,-3.6653382173451234,True,IRON
23,4,11,0,3,0,0,1,4,2,0,30,30,-0.27511935677247834,False,IRON
24,4,9,0,3,1,1,1,4,0,1,51,68,-5.088543473748324,False,IRON
25,2,7,0,1,0,0,2,1,1,0,14,25,-7.590847408899847,False,IRON
26,3,8,0,1,0,1,2,3,2,0,29,43,-9.208917044858048,False,IRON
27,5,1,1,0,0,0,3,0,1,0,27,7,19.136047518427375,True,IRON
28,0,9,0,1,0,0,0,3,0,1,20,40,-14.601518153297825,False,IRON
29,10,8,2,1,0,0,2,3,0,2,43,23,10.278193493614815,True,IRON
30,2,8,0,2,0,1,0,4,0,1,21,31,-11.951772942772756,False,IRON
31,2,10,0,3,0,1,1,3,0,2,29,34,-3.888892233697497,False,IRON
32,8,7,1,0,3,0,5,2,1,0,68,54,2.851821323562014,True,IRON
33,2,9,0,2,0,0,3,2,1,0,24,45,-16.685251338987072,False,IRON
34,0,8,0,1,0,0,1,2,0,1,9,35,-20.368886838516538,False,IRON
