,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,9,3,1,0,0,0,3,0,2,0,34,15,8.419299854877025,True,IRON
1,7,3,1,0,0,1,3,1,1,1,43,22,9.263765802478453,True,IRON
2,9,7,1,1,1,0,1,3,0,1,46,36,5.595274243887637,True,IRON
3,4,11,0,4,0,2,2,3,1,1,26,49,-6.8600030888713945,False,IRON
4,6,4,1,0,1,0,3,0,2,0,30,15,12.240594746310762,True,IRON
5,1,11,0,3,0,0,1,3,0,2,22,42,-8.246098908100386,False,IRON
6,10,6,3,1,1,0,0,2,0,0,58,39,2.050528799896,True,IRON
7,9,3,3,0,1,0,2,1,2,0,29,6,16.34790718497381,True,IRON
8,11,3,3,0,0,0,3,1,2,0,39,25,5.88405862828737,True,IRON
9,4,9,0,2,1,0,3,2,1,0,44,49,-1.1217175519737523,False,IRON
10,11,1,3,0,2,0,3,0,0,1,47,39,3.745796978022497,True,IRON
11,7,11,1,5,1,1,4,3,1,0,43,61,-0.5096577442967032,False,IRON
12,7,7,0,1,0,0,2,1,0,2,29,27,-3.4002758716162944,True,IRON
13,11,3,2,0,1,0,3,2,0,1,43,44,1.8297627019779554,True,IRON
14,4,11,0,3,0,0,1,3,1,1,35,40,-3.102426012720038,False,IRON
15,5,6,0,0,0,2,2,2,0,1,37,41,-4.613717103609972,False,IRON
16,5,7,1,1,2,0,2,3,0,1,57,66,-0.8969825422018687,False,IRON
17,9,9,3,2,1,1,1,5,2,0,47,46,-1.883787968140112,False,IRON
18,3,7,0,1,0,1,1,2,1,1,17,38,-12.347178942316866,False,IRON
19,11,0,4,0,1,0,2,0,1,0,47,20,9.308841252190511,True,IRON
20,9,9,2,2,0,1,2,4,2,0,42,54,-2.9129439697540462,False,IRON
21,6,1,0,0,0,0,3,0,1,1,37,18,11.659478833398246,True,IRON
22,3,11,0,2,0,1,0,4,1,1,20,47,-8.988537665864115,False,IRON
23,2,8,0,1,0,0,2,2,1,0,38,52,-2.9917373060145493,False,IRON
24,8,4,1,0,0,0,1,2,0,2,48,38,2.016169510599404,True,IRON
25,5,0,0,0,0,0,3,0,2,0,31,22,4.468782847321648,True,IRON
26,7,1,3,0,0,0,1,2,1,0,41,34,5.34736802452251,True,IRON
27,10,2,3,0,0,0,2,2,1,1,59,33,8.989064306787647,True,IRON
28,9,3,2,0,0,0,1,4,1,0,59,57,3.5070300340595963,True,IRON
29,4,10,0,2,1,1,1,3,2,0,31,46,-6.4679576367752105,False,IRON
30,11,3,3,0,0,0,1,2,1,0,29,20,5.660500440909672,True,IRON
31,11,6,3,0,1,0,4,0,2,0,47,40,3.7916298289065935,True,IRON
32,7,0,2,0,1,0,3,1,1,0,44,34,-2.144698876692914,True,IRON
