,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,6,9,0,3,1,1,3,2,0,2,43,43,0.31009191694868576,False,DIAMOND
1,3,10,0,2,0,1,0,4,1,1,27,36,-2.502667443979959,False,DIAMOND
2,8,3,1,0,1,0,4,0,2,0,32,18,4.186774910426045,True,DIAMOND
3,3,9,0,2,0,1,0,4,0,2,19,31,-5.564852271239005,False,DIAMOND
4,10,2,2,0,0,0,1,1,2,0,41,20,8.724930860058826,True,DIAMOND
5,8,4,1,0,0,2,3,3,1,0,35,24,4.297070458826589,True,DIAMOND
6,11,4,3,0,2,0,2,3,0,2,35,20,7.032092912010867,True,DIAMOND
7,8,1,1,0,1,0,4,0,0,2,36,23,9.391094832842839,True,DIAMOND
8,0,10,0,2,0,1,0,3,0,2,13,26,-8.07013866802496,False,DIAMOND
9,9,3,2,0,1,0,2,1,0,1,39,32,7.759103661402335,True,DIAMOND
10,2,9,0,1,0,2,0,4,1,1,18,28,-4.667160984713021,False,DIAMOND
11,2,6,0,2,0,1,1,2,0,2,29,41,-1.1976115410382846,False,DIAMOND
12,10,8,2,1,0,2,3,2,2,0,33,44,-3.352089580604428,False,DIAMOND
13,11,4,3,0,2,0,4,0,0,2,38,30,3.8166122509884914,True,DIAMOND
14,1,8,0,1,1,0,2,2,0,2,16,21,-3.2548160785534748,False,DIAMOND
15,8,2,1,0,0,1,2,1,1,1,43,30,6.323403649044138,True,DIAMOND
16,9,8,2,1,1,2,2,3,1,1,42,43,0.002715666535138439,False,DIAMOND
17,4,8,0,2,1,0,3,1,0,1,28,21,5.40209297442059,False,DIAMOND
18,3,8,0,1,1,0,0,4,0,2,26,26,1.8885828819745356,False,DIAMOND
19,10,3,1,0,1,0,4,0,1,1,36,12,14.46358241196981,True,DIAMOND
20,1,4,0,0,0,1,2,2,1,1,19,32,-6.371738618244713,False,DIAMOND
21,10,9,1,2,0,2,0,5,1,1,17,31,-7.161940566079309,False,DIAMOND
22,5,6,0,0,0,1,0,3,2,0,28,41,-6.584240226106743,False,DIAMOND
23,4,10,0,2,1,1,0,4,1,1,16,24,-6.519709755665751,False,DIAMOND
24,1,8,0,2,0,1,1,3,1,1,23,39,-8.533751906936537,False,DIAMOND
25,1,5,0,0,0,1,0,3,0,2,13,25,-8.69754738636874,False,DIAMOND
26,1,10,0,2,0,1,1,2,0,2,13,28,-8.708595137524526,False,DIAMOND
27,10,5,2,0,2,0,3,1,1,1,34,23,7.563027482827188,True,DIAMOND
28,10,2,2,0,1,0,2,2,1,1,21,12,6.9892638426628295,True,DIAMOND
29,6,1,1,0,1,0,4,0,2,0,31,15,11.126966081191178,True,DIAMOND
30,9,7,2,3,2,1,3,3,1,1,47,34,3.780670940882416,True,DIAMOND
31,9,4,2,0,2,0,3,1,2,0,40,27,3.8577551834668995,True,DIAMOND
32,10,3,2,0,1,0,3,1,0,2,36,25,4.448016667004666,True,DIAMOND
33,7,2,1,0,1,0,1,1,0,2,20,18,1.9256080386541115,True,DIAMOND
34,11,4,3,0,1,0,3,1,2,0,37,11,13.732446868150902,True,DIAMOND
35,8,5,0,1,1,0,2,3,2,0,30,38,-3.555085062647578,False,DIAMOND
