,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,5,11,0,1,1,1,2,2,1,0,30,30,0.10566727965628786,False,DIAMOND
1,10,9,4,3,0,0,3,1,2,0,62,47,1.2894586164133273,True,DIAMOND
2,8,6,4,1,1,3,4,3,0,1,62,61,0.4197273130648256,True,DIAMOND
3,7,3,1,0,0,0,2,1,2,0,30,16,7.367138354043789,True,DIAMOND
4,11,2,3,0,1,0,2,1,1,0,44,22,10.511219439775942,True,DIAMOND
5,11,1,3,0,1,0,3,0,1,1,44,19,11.741179905987053,True,DIAMOND
6,3,11,0,3,0,1,1,3,0,1,17,27,-7.817114122208174,False,DIAMOND
7,11,1,1,0,1,0,3,0,2,0,34,25,6.7427813902413405,True,DIAMOND
8,10,5,1,0,2,0,1,3,0,2,29,21,6.41143881642634,True,DIAMOND
9,3,10,0,1,0,0,0,3,1,1,25,41,-6.987769533619527,False,DIAMOND
10,6,1,0,0,0,0,2,0,0,1,22,10,8.159447627830772,True,DIAMOND
11,0,7,0,1,0,1,0,4,0,2,16,33,-12.38077802582876,False,DIAMOND
12,0,11,0,3,0,0,0,3,0,2,25,38,-3.281759360356027,False,DIAMOND
13,2,10,0,2,0,1,2,1,0,2,18,44,-11.5072104801635,False,DIAMOND
14,10,6,2,0,1,1,2,3,2,0,36,21,5.9406890533722745,True,DIAMOND
15,9,2,1,0,1,0,3,0,0,1,46,24,11.632487048767786,True,DIAMOND
16,5,4,1,0,1,0,4,1,1,1,43,31,8.20287674753341,True,DIAMOND
17,2,10,0,1,0,1,0,2,1,0,41,48,0.10311580603550397,False,DIAMOND
18,8,3,1,0,1,0,3,1,2,0,35,23,8.174011760377283,True,DIAMOND
19,4,10,0,2,0,1,1,3,1,1,16,34,-10.881543947163607,False,DIAMOND
20,11,1,4,0,1,0,3,2,2,0,36,21,4.5328206594110085,True,DIAMOND
21,9,5,2,1,2,0,4,2,0,2,44,30,3.7634924830719783,True,DIAMOND
22,10,1,1,0,1,0,3,1,2,0,42,20,11.0908911971094,True,DIAMOND
23,5,10,2,5,2,1,3,3,0,2,55,45,0.5815991335320589,False,DIAMOND
24,11,2,3,0,1,0,4,0,1,1,27,16,7.616846766605406,True,DIAMOND
25,9,3,1,0,1,0,1,3,2,0,38,39,-1.503543782147979,True,DIAMOND
26,0,7,0,1,0,1,0,2,1,1,13,38,-16.68047626324067,False,DIAMOND
27,11,1,3,0,2,0,3,1,2,0,60,20,10.232937588688209,True,DIAMOND
28,6,9,0,1,0,1,0,4,1,1,36,45,-4.0583180180758305,False,DIAMOND
29,0,11,0,3,0,1,2,1,0,2,17,32,-8.189598169784446,False,DIAMOND
30,7,3,2,0,1,0,4,1,2,0,34,21,8.367333590238445,True,DIAMOND
31,8,5,1,0,0,1,2,1,2,0,44,35,4.818813179760362,True,DIAMOND
32,4,2,0,0,1,0,2,1,1,1,25,12,7.840377719449243,True,DIAMOND
33,10,2,2,0,1,0,3,0,1,0,40,21,13.109791965469526,True,DIAMOND
34,8,0,1,0,1,0,3,0,2,0,35,15,13.187269907097864,True,DIAMOND
35,8,5,1,0,1,0,1,3,1,1,30,29,-0.680049895112127,True,DIAMOND
36,11,2,3,0,2,0,4,0,1,1,29,20,4.811113508717639,True,DIAMOND
37,11,2,4,0,1,1,2,3,2,0,40,31,-0.337164814594459,True,DIAMOND
38,10,0,2,0,1,0,2,1,2,0,45,29,4.5051274043255845,True,DIAMOND
39,9,1,1,0,1,0,4,0,1,1,45,25,11.344830875251645,True,DIAMOND
40,11,0,3,0,1,0,3,0,2,0,49,18,11.655351401770861,True,DIAMOND
