,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,8,11,0,5,2,1,4,3,1,1,46,45,4.594649560910483,False,IRON
1,3,11,0,3,0,1,0,4,0,1,23,55,-14.438696030953313,False,IRON
2,4,11,0,2,0,0,0,4,0,1,11,33,-9.40041206417662,False,IRON
3,9,4,2,0,0,0,1,3,0,0,30,32,-2.758148338607988,True,IRON
4,9,2,2,0,0,0,3,0,0,2,41,20,10.823963644226165,True,IRON
5,3,4,0,0,1,0,3,1,0,1,45,29,5.815975200767909,True,IRON
6,11,0,3,0,1,0,2,1,2,0,41,10,17.406158955863017,True,IRON
7,1,9,0,2,0,1,3,2,0,1,33,47,-4.367511601151364,False,IRON
8,8,4,0,0,1,0,3,1,1,0,36,16,7.416909255699338,True,IRON
9,5,10,0,3,1,0,1,3,1,1,31,62,-9.191100388768966,False,IRON
10,10,2,2,0,1,0,4,0,1,1,40,28,9.251182932631124,True,IRON
11,8,11,1,2,0,0,2,2,1,1,32,44,-4.725956028821166,False,IRON
12,11,9,4,2,1,0,3,3,0,0,48,55,2.259463509043897,True,IRON
13,11,6,4,1,1,0,3,1,0,2,46,29,8.954640417994831,True,IRON
14,8,2,2,0,1,0,3,0,1,0,35,14,10.499453606646462,True,IRON
15,10,6,2,0,1,0,3,1,1,1,47,30,9.486774102925569,True,IRON
16,2,11,0,3,0,1,0,3,1,0,14,45,-13.875109740538669,False,IRON
17,3,10,0,2,0,0,1,3,0,1,29,56,-10.220074873881323,False,IRON
18,11,3,3,0,1,0,2,3,1,0,45,30,1.0747371205690541,True,IRON
19,11,7,4,0,2,1,1,5,0,0,57,47,1.233039345693534,True,IRON
20,5,9,0,1,0,1,1,2,0,2,24,62,-16.65954281193738,False,IRON
21,10,7,2,1,0,0,3,1,0,1,38,30,9.419028349245082,True,IRON
22,0,10,0,2,0,1,0,4,0,2,23,39,-7.191048641096181,False,IRON
23,9,10,2,2,0,1,3,3,1,0,45,51,0.19114372773166366,False,IRON
24,6,11,0,2,0,2,2,4,2,0,40,42,-5.662008644202359,False,IRON
25,1,10,0,2,0,1,1,2,0,1,11,33,-16.102331326367356,False,IRON
26,4,3,0,0,0,0,2,1,0,1,29,15,8.693855986009943,True,IRON
27,1,11,0,2,0,1,1,2,0,2,17,50,-14.745332981110213,False,IRON
28,5,11,0,3,0,1,3,2,2,0,20,40,-9.88011953710889,False,IRON
29,8,5,1,0,0,0,4,1,0,2,38,27,3.2630948607698187,True,IRON
30,2,11,0,3,0,1,1,3,0,1,42,57,-6.1335161885241405,False,IRON
31,4,11,0,3,2,0,1,4,0,1,21,54,-16.016016558082594,False,IRON
32,7,1,2,0,1,0,4,0,1,1,35,38,0.14836585160894344,True,IRON
33,4,2,2,0,0,0,0,0,0,0,90,52,3.6904861085742198,True,IRON
34,11,10,7,2,1,1,4,2,2,0,33,58,-13.52018917786489,False,IRON
35,3,9,0,2,0,2,3,2,1,1,31,57,-8.331396523700043,False,IRON
36,8,4,1,0,1,0,2,1,0,2,37,35,-2.0521887924640794,True,IRON
37,8,4,2,0,0,0,4,0,1,0,32,17,4.364239459697153,True,IRON
