,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,6,11,1,8,0,3,3,5,0,1,57,35,6.785610444938875,False,BRONZE
1,10,3,2,0,1,1,4,1,2,0,49,37,1.7655426190265402,True,BRONZE
2,9,3,2,0,1,0,2,2,0,2,37,26,4.886265557272658,True,BRONZE
3,2,11,0,3,0,0,2,1,0,1,30,34,-0.45941742173673106,False,BRONZE
4,8,9,1,1,2,0,3,3,0,2,43,36,4.468993855508415,True,BRONZE
5,11,1,3,0,1,0,3,1,2,0,53,24,13.961894464233126,True,BRONZE
6,2,8,0,2,0,0,0,3,1,1,23,41,-9.701033868134779,False,BRONZE
7,4,2,1,0,0,0,0,0,0,0,65,59,0.9223089441846568,True,BRONZE
8,4,4,2,2,0,0,0,0,0,0,68,66,-0.7238403207799564,True,BRONZE
9,3,11,0,6,0,2,2,4,1,0,38,35,-0.6282565151002544,False,BRONZE
10,4,9,0,1,0,1,3,2,1,1,33,46,-5.800336611714236,False,BRONZE
11,4,4,3,1,0,0,0,0,0,0,62,54,4.0209245664683095,True,BRONZE
12,6,10,0,2,0,1,2,4,1,0,32,46,-7.334780369162694,False,BRONZE
13,6,10,1,3,1,1,0,5,0,1,31,38,-2.085257044401402,False,BRONZE
14,6,4,1,0,1,0,2,1,0,2,37,21,11.055106474587454,True,BRONZE
15,2,4,1,1,0,0,0,0,0,0,55,59,1.1981609418286183,False,BRONZE
16,2,4,1,2,0,0,0,0,0,0,92,82,0.8750477686386944,False,BRONZE
17,4,2,1,2,0,0,0,0,0,0,71,53,3.9791310297424403,True,BRONZE
18,1,4,0,2,0,0,0,0,0,0,53,63,-1.8309561351440848,False,BRONZE
19,3,4,3,2,0,0,0,0,0,0,82,113,-3.8828353181662933,False,BRONZE
20,0,4,0,3,0,0,0,0,0,0,64,75,-0.4906607699015808,False,BRONZE
21,1,4,0,2,0,0,0,0,0,0,56,53,-0.5962614412858542,False,BRONZE
22,4,1,1,0,0,0,0,0,0,0,69,46,3.2923555022544377,True,BRONZE
