,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,8,10,2,2,1,1,5,2,0,1,51,71,-5.0025479761449105,False,IRON
1,7,8,1,1,0,2,4,2,0,1,30,57,-7.5982552981078655,False,IRON
2,11,3,2,0,0,0,2,1,2,0,28,26,2.868688784561165,True,IRON
3,3,9,0,1,0,0,0,3,0,2,23,38,-8.290542611983643,False,IRON
4,11,4,3,0,2,0,4,2,1,1,58,45,5.591202863311949,True,IRON
5,7,4,1,0,0,0,3,0,1,1,38,28,7.26355315979287,True,IRON
6,10,7,2,3,0,2,2,3,1,1,50,47,3.7544338817079037,True,IRON
7,11,6,5,0,1,1,5,2,0,1,54,61,-2.2784595993417227,True,IRON
8,6,1,1,0,1,0,2,1,1,0,39,19,10.567725984452963,True,IRON
9,9,1,1,0,0,0,3,0,2,0,31,22,6.672059268648468,True,IRON
10,11,9,3,2,2,0,2,3,1,1,50,60,-2.2481133596732406,True,IRON
11,2,10,0,2,0,0,3,1,2,0,23,45,-10.642591992498886,False,IRON
12,7,10,1,3,0,1,3,1,1,1,27,58,-10.643229592862049,False,IRON
13,4,11,0,3,0,1,2,3,2,0,26,28,-2.2119216245243436,False,IRON
14,8,7,1,1,1,0,3,1,1,1,41,31,4.649450995042514,True,IRON
15,6,8,0,3,1,1,4,3,0,2,49,62,-6.871714540250892,False,IRON
16,3,9,0,2,0,0,0,4,1,1,28,50,-11.331747964661432,False,IRON
17,3,10,0,2,0,1,1,3,0,2,23,49,-16.67402772251793,False,IRON
18,4,10,0,2,0,1,0,4,2,0,33,47,-9.449063820732796,False,IRON
19,6,8,1,1,1,0,2,2,2,0,29,32,4.169918854473579,False,IRON
20,2,10,0,2,0,1,1,2,0,2,10,30,-9.274951669616804,False,IRON
21,1,8,0,1,0,0,0,3,1,1,16,49,-16.44457134323089,False,IRON
22,5,11,0,4,1,0,4,3,1,1,38,50,-2.552227974157894,False,IRON
23,3,11,0,4,0,1,1,4,1,0,27,52,-4.293346570386426,False,IRON
24,4,10,0,3,1,0,3,1,1,1,36,37,-1.1366233996630584,False,IRON
25,9,7,3,1,0,1,1,3,2,0,17,58,-10.147955341619568,False,IRON
26,5,9,0,2,0,0,2,2,1,1,27,48,-7.197507370824063,False,IRON
27,5,9,0,3,0,1,0,3,2,0,29,30,-5.447595391436224,False,IRON
28,11,6,4,0,2,0,5,1,0,1,49,41,4.2608669265171955,True,IRON
29,5,10,0,4,1,1,3,3,1,0,45,56,-0.7890897575470177,False,IRON
30,3,11,0,2,0,1,1,4,0,2,43,55,-0.9456486213314363,False,IRON
31,4,8,0,1,0,1,3,2,2,0,26,43,-6.335535071247634,False,IRON
32,8,7,2,2,0,1,1,4,1,1,31,53,-6.693306401231894,False,IRON
33,1,11,0,4,0,0,1,3,1,1,21,49,-12.839554119267351,False,IRON
34,1,11,0,2,0,1,1,1,1,0,12,49,-11.95726993265631,False,IRON
35,11,0,5,0,1,0,4,0,2,0,21,23,3.4326997472332508,True,IRON
36,10,5,2,0,1,0,5,1,1,0,65,39,5.055880434442855,True,IRON
37,4,9,1,2,0,0,3,2,2,0,38,63,-4.928448832535544,False,IRON
38,11,7,3,0,1,0,2,3,0,2,39,44,-2.1118360881724385,True,IRON
