,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,9,2,2,0,1,0,2,1,0,2,34,19,6.021496036169772,True,DIAMOND
1,9,6,2,1,1,1,3,2,1,1,30,62,-10.849393143766996,False,DIAMOND
2,3,11,0,4,0,2,1,4,0,2,36,30,3.2361918032267596,False,DIAMOND
3,9,3,2,0,1,1,3,1,0,2,35,25,6.768638561906407,True,DIAMOND
4,8,2,1,0,1,0,3,0,0,2,37,12,12.784712282088904,True,DIAMOND
5,0,10,0,2,1,1,2,3,0,1,23,46,-7.905633980889476,False,DIAMOND
6,8,11,4,6,3,1,4,3,1,1,53,54,2.8690168165502428,False,DIAMOND
7,9,5,2,0,2,0,5,0,0,2,29,12,11.63201928049584,True,DIAMOND
8,11,0,4,0,2,0,4,0,2,0,31,22,6.56773881103819,True,DIAMOND
9,9,3,1,0,2,0,3,1,1,1,27,20,6.431283376189434,True,DIAMOND
10,3,11,0,3,0,1,1,2,2,0,11,29,-8.983804927026284,False,DIAMOND
11,7,3,1,0,1,0,2,2,0,2,21,14,7.1514811573371375,True,DIAMOND
12,3,11,0,4,1,1,2,3,0,2,23,34,-3.5772887239331936,False,DIAMOND
13,11,3,4,0,1,1,4,2,2,0,32,26,0.7688788229547541,True,DIAMOND
14,8,4,1,0,1,0,4,0,0,2,22,12,5.436281510504905,True,DIAMOND
15,8,4,1,0,2,0,3,1,1,1,33,17,10.108189736912337,True,DIAMOND
16,2,9,0,3,3,0,3,3,1,1,38,36,0.7890046492009262,False,DIAMOND
17,10,2,2,0,2,0,3,1,2,0,32,25,5.931433053388474,True,DIAMOND
18,5,5,0,1,2,0,4,2,1,1,37,30,3.221280574471521,True,DIAMOND
19,10,0,1,0,1,0,2,1,2,0,27,23,5.117523478687573,True,DIAMOND
20,6,10,1,2,0,1,3,1,1,1,25,35,-4.248449352238154,False,DIAMOND
21,3,8,0,1,0,1,1,3,1,1,11,22,-12.78548265528616,False,DIAMOND
22,9,2,1,0,1,0,4,0,1,0,34,18,11.439609945675805,True,DIAMOND
23,10,0,2,0,1,0,2,1,2,0,31,15,11.670360187277694,True,DIAMOND
24,8,6,1,0,2,0,4,0,0,2,43,34,4.920220242439193,True,DIAMOND
25,8,4,1,0,1,0,3,1,1,1,41,29,7.480457596850549,True,DIAMOND
26,2,10,0,2,0,2,3,2,1,1,25,31,-5.164400739193276,False,DIAMOND
27,11,3,3,0,1,0,2,2,2,0,38,25,7.569266364869243,True,DIAMOND
28,7,6,1,0,2,0,3,1,2,0,34,26,2.806039245208545,True,DIAMOND
29,6,9,0,1,2,2,3,3,0,2,33,39,-0.18229700181670694,False,DIAMOND
30,10,4,2,0,1,1,3,1,0,2,43,36,0.6876069395504487,True,DIAMOND
31,1,11,0,3,0,2,2,2,1,0,33,29,-6.929218397042241,False,DIAMOND
32,10,2,2,0,1,0,4,0,0,1,24,15,8.135060274795606,True,DIAMOND
33,5,8,1,1,2,0,3,1,0,2,31,34,1.5432830522863767,False,DIAMOND
34,5,7,0,1,0,1,1,3,2,0,25,37,-7.129372517770335,False,DIAMOND
35,2,7,0,0,0,1,2,1,1,1,15,27,-6.8651869694968894,False,DIAMOND
36,11,1,3,0,2,0,4,0,1,0,35,19,7.7497201499330615,True,DIAMOND
37,2,7,0,1,1,0,2,2,1,1,31,32,0.24326709104774125,False,DIAMOND
