,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,5,10,0,2,0,1,2,1,2,0,33,52,-6.536197290201862,False,SILVER
1,5,11,0,3,0,2,2,4,1,1,41,56,-6.187175905586315,False,SILVER
2,2,8,0,1,0,1,1,4,0,2,28,37,-3.9994322787792314,False,SILVER
3,11,5,2,0,0,1,4,1,0,2,44,37,0.6877917103303588,True,SILVER
4,10,7,2,1,1,1,3,2,1,0,44,41,2.195983998584687,True,SILVER
5,2,8,0,2,0,1,1,2,0,1,23,41,-8.51391254749442,False,SILVER
6,2,9,0,2,0,2,2,3,0,1,30,36,-4.807364266196096,False,SILVER
7,9,3,2,0,1,0,1,2,0,1,32,17,9.544526803429129,True,SILVER
8,11,6,5,0,0,3,4,2,1,1,51,50,1.1865460708182738,True,SILVER
9,4,2,1,1,0,0,0,0,0,0,93,62,4.326994209804049,True,SILVER
10,4,2,2,1,0,0,0,0,0,0,84,61,3.681829643610051,True,SILVER
11,3,11,0,3,0,0,1,4,1,1,47,74,-4.379491345393774,False,SILVER
12,3,9,0,1,0,1,1,3,0,2,39,48,0.22726420376633882,False,SILVER
13,1,10,0,2,0,1,1,2,0,1,24,49,-8.40502755866634,False,SILVER
14,11,1,4,0,1,0,3,1,2,0,39,28,5.651282647720105,True,SILVER
15,4,10,0,2,0,2,3,2,1,0,26,50,-9.835892233202138,False,SILVER
16,9,8,1,0,1,0,3,2,1,1,52,45,4.726514948595771,True,SILVER
