,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,8,10,2,1,0,2,3,2,0,2,38,40,-0.2963847846900123,False,BRONZE
1,2,8,0,1,0,1,1,3,1,1,23,27,-4.1978310405402866,False,BRONZE
2,6,4,1,0,1,0,3,2,2,0,44,43,1.7628913158435964,True,BRONZE
3,4,7,0,1,0,1,1,3,1,0,26,45,-5.148996103370635,False,BRONZE
4,6,2,1,0,0,0,1,2,0,2,30,34,-4.418751621163523,False,BRONZE
5,11,4,4,0,3,0,4,2,2,0,51,53,-0.8522719949374462,True,BRONZE
6,7,3,1,0,0,0,3,0,0,2,27,10,9.991602409912126,True,BRONZE
7,9,0,1,0,0,0,3,0,1,0,38,12,12.921102478484958,True,BRONZE
8,2,4,1,1,0,0,0,0,0,0,60,68,-0.5015599062578886,False,BRONZE
9,4,10,0,1,0,2,0,5,2,0,22,57,-14.283552785140024,False,BRONZE
10,4,3,3,1,0,0,0,0,0,0,78,86,1.0585012529108582,True,BRONZE
11,1,4,0,2,0,0,0,0,0,0,58,78,-9.093346288695809,False,BRONZE
