,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,4,9,0,1,0,1,1,4,1,1,36,57,-8.728985465212048,False,PLATINUM
1,4,2,2,1,0,0,0,0,0,0,81,74,2.6530217682324775,True,PLATINUM
2,10,2,2,0,1,0,3,2,2,0,57,25,12.494112450976282,True,PLATINUM
3,3,1,0,0,0,0,3,0,0,2,30,20,7.005870387609228,True,PLATINUM
4,11,11,3,3,3,1,3,3,0,2,40,46,1.1501759955717503,False,PLATINUM
5,3,7,0,1,0,1,0,4,1,1,11,25,-5.002836446437186,False,PLATINUM
6,11,2,3,0,2,0,3,2,1,0,38,23,6.233215754354568,True,PLATINUM
7,11,1,3,0,2,0,4,1,2,0,28,14,8.256084116961972,True,PLATINUM
8,4,3,2,1,0,0,0,0,0,0,80,72,0.6671137591627314,True,PLATINUM
9,11,1,3,0,0,0,3,0,2,0,56,32,10.08397791709399,True,PLATINUM
10,7,1,1,0,0,0,0,0,1,1,34,23,9.437816718147047,True,PLATINUM
11,0,10,0,2,0,0,0,2,0,1,33,56,-10.293160363770959,False,PLATINUM
12,5,10,0,2,1,0,0,5,2,0,27,41,-8.611634956200675,False,PLATINUM
13,4,4,1,1,0,0,0,0,0,0,79,81,-0.5990713939916361,False,PLATINUM
14,1,9,0,1,0,1,0,3,1,0,28,50,-9.21006546386242,False,PLATINUM
15,2,10,0,3,0,1,0,3,0,2,8,43,-16.300312135219357,False,PLATINUM
16,4,4,1,2,0,0,0,0,0,0,64,75,-3.96380007815398,True,PLATINUM
17,3,9,0,2,0,1,0,5,2,0,21,41,-9.582458649361627,False,PLATINUM
18,1,10,0,2,0,1,1,2,0,2,24,34,-4.506034703295597,False,PLATINUM
19,9,3,2,0,2,0,4,0,1,0,34,16,5.705813304247421,True,PLATINUM
