,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,3,9,0,3,0,2,3,1,1,1,32,53,-8.37782478558072,False,PLATINUM
1,3,4,1,1,0,0,0,0,0,0,71,63,1.3602346921973236,False,PLATINUM
2,10,2,1,0,1,0,3,2,1,0,50,33,10.250275506996346,True,PLATINUM
3,10,3,3,0,1,0,5,0,1,1,65,35,12.322783777898486,True,PLATINUM
4,4,1,2,0,0,0,0,0,0,0,78,68,0.7761822944132959,True,PLATINUM
5,4,4,1,2,0,0,0,0,0,0,61,92,-7.329938314067888,False,PLATINUM
6,4,1,3,0,0,0,0,0,0,0,92,71,0.9198159797353469,True,PLATINUM
7,1,4,0,1,0,0,0,0,0,0,60,62,-1.092953486507355,False,PLATINUM
8,1,4,0,3,0,0,0,0,0,0,84,78,-0.34510124575839285,False,PLATINUM
9,4,11,0,4,0,3,4,2,0,1,56,59,0.33127571897365726,False,PLATINUM
10,4,2,3,0,0,0,0,0,0,0,71,91,-1.7257757221864054,True,PLATINUM
11,4,1,1,0,0,0,0,0,0,0,71,73,-1.6840983595798562,True,PLATINUM
12,4,2,3,1,0,0,0,0,0,0,78,65,0.6564604731224932,True,PLATINUM
