,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,3,4,0,0,0,0,0,3,0,1,15,22,-3.4573778624729954,False,SILVER
1,10,2,2,0,1,0,2,2,1,1,41,24,8.606579227713866,True,SILVER
2,11,4,2,0,1,0,3,2,1,0,37,34,-0.814482245676956,True,SILVER
3,11,3,4,0,1,0,2,3,0,0,65,37,13.101321990337837,True,SILVER
4,7,2,1,0,1,0,3,0,1,0,38,17,8.710072693447742,True,SILVER
5,1,5,0,0,0,0,0,3,1,0,15,32,-13.300425048204552,False,SILVER
6,4,1,3,0,0,0,0,0,0,0,94,92,1.5276823592711963,True,SILVER
7,0,7,0,1,0,1,2,1,1,1,15,35,-10.945766111047483,False,SILVER
8,4,0,2,0,0,0,0,0,0,0,74,78,0.28844383256424777,True,SILVER
9,7,8,1,2,1,0,4,0,0,1,63,58,-5.094941570022428,False,SILVER
10,8,9,2,1,1,0,4,2,0,1,52,54,-3.7275824233553934,False,SILVER
11,4,7,0,2,1,0,2,2,0,2,37,37,0.1457945642608891,False,SILVER
12,10,5,1,1,0,1,2,3,1,0,38,36,1.9884398778755923,True,SILVER
13,9,6,2,1,1,0,3,1,1,0,38,23,6.526320678637674,True,SILVER
14,3,6,0,1,0,0,0,3,0,1,10,26,-9.773525749805458,False,SILVER
15,11,3,2,0,1,0,4,0,1,0,39,23,4.573288528779273,True,SILVER
16,1,11,0,3,0,2,0,4,0,2,17,31,-4.993372276548833,False,SILVER
17,9,6,2,1,1,1,2,4,0,2,50,47,0.14021584240224882,True,SILVER
18,2,4,0,0,0,0,1,1,1,0,28,15,8.249751625412557,True,SILVER
19,10,1,2,0,2,0,3,1,2,0,57,41,8.250911438493468,True,SILVER
20,4,9,0,3,0,1,1,2,2,0,22,33,-7.564753850971741,False,SILVER
21,6,6,0,0,1,1,2,3,0,2,27,40,-4.831804148145338,False,SILVER
22,4,1,0,0,0,0,0,2,0,2,23,14,8.249063818377081,True,SILVER
23,7,3,0,0,2,0,1,3,2,0,36,39,0.4190215997151725,True,SILVER
24,1,11,0,4,0,1,2,3,0,2,26,36,0.21180493976601866,False,SILVER
25,4,9,0,2,0,1,0,4,1,0,45,53,-5.4297028064694,False,SILVER
26,7,8,2,1,0,2,3,3,1,1,57,64,0.8745754639851953,False,SILVER
27,11,2,4,0,1,0,4,0,0,1,55,30,9.333559335580127,True,SILVER
28,9,5,1,0,1,0,2,2,1,0,50,27,5.292242301328372,True,SILVER
29,9,6,2,1,1,0,3,1,1,0,39,29,2.442295691840897,True,SILVER
30,3,8,0,2,0,1,0,4,0,2,22,35,-7.689152324491438,False,SILVER
31,11,2,5,0,1,0,3,1,1,0,50,33,0.684562056119411,True,SILVER
32,4,11,0,2,0,0,0,3,1,0,26,48,-6.890499796301,False,SILVER
33,1,11,0,3,0,0,0,3,1,1,18,43,-17.207822880002897,False,SILVER
34,9,5,1,0,1,0,3,2,2,0,40,41,-1.8226108567752988,True,SILVER
35,11,4,6,0,2,0,4,2,0,2,42,39,-1.1032634546463669,True,SILVER
36,6,9,0,2,0,2,2,3,0,1,45,56,-5.4686455984548985,False,SILVER
37,0,8,0,1,0,1,2,2,0,1,24,52,-12.722712615153505,False,SILVER
