,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,6,8,0,1,0,2,2,3,2,0,27,50,-8.843729174153694,False,GOLD
1,3,9,0,2,0,0,1,2,2,0,23,38,-1.4892589852042164,False,GOLD
2,8,5,1,0,1,0,4,1,0,1,54,44,7.4173592534313,True,GOLD
3,3,3,0,0,1,0,2,0,0,1,26,18,5.072517881478284,True,GOLD
4,2,4,1,2,0,0,0,0,0,0,65,69,-1.0392890631439542,False,GOLD
5,4,4,2,2,0,0,0,0,0,0,77,81,-0.3935036023856071,True,GOLD
6,2,4,1,3,0,0,0,0,0,0,74,63,2.8425839822490246,False,GOLD
7,4,2,2,1,0,0,0,0,0,0,79,81,-1.1995918352732247,True,GOLD
8,1,7,0,1,0,0,0,3,0,1,12,31,-8.590595468548173,False,GOLD
9,1,10,0,2,0,1,1,2,1,1,16,35,-10.625021002455824,False,GOLD
10,10,8,2,1,1,2,5,0,1,1,40,33,4.626636043407892,True,GOLD
11,11,8,7,1,2,1,3,4,2,0,49,40,-1.8363002020484274,True,GOLD
12,10,4,2,0,1,0,3,1,1,1,38,23,6.731346806107815,True,GOLD
13,0,9,0,1,0,1,1,2,0,2,10,36,-16.446488035507656,False,GOLD
14,0,11,0,2,0,1,0,4,0,1,11,35,-12.460902212037631,False,GOLD
15,5,8,0,2,1,0,2,4,0,1,38,48,-4.335509607417862,False,GOLD
16,1,6,0,0,0,1,0,3,1,0,15,31,-14.619034860952837,False,GOLD
17,1,11,0,2,0,0,0,3,1,0,15,32,-11.261612250542345,False,GOLD
18,7,5,1,0,2,0,4,1,1,1,54,45,2.6875554752013997,True,GOLD
19,10,9,4,3,2,2,4,3,2,0,48,45,3.586726714928126,True,GOLD
20,4,2,3,1,0,0,0,0,0,0,107,92,5.130043585030286,True,GOLD
21,3,6,0,1,0,1,1,2,0,2,24,40,-10.63006047148749,False,GOLD
22,9,5,1,0,2,0,4,1,0,1,43,31,6.827493976440806,True,GOLD
23,0,11,0,3,0,1,1,3,0,2,22,41,-13.01022072779125,False,GOLD
24,2,11,0,3,0,1,1,3,0,2,31,39,-3.3457999841359154,False,GOLD
25,5,4,0,0,1,0,2,3,0,2,28,25,0.47992687171299053,True,GOLD
26,1,10,0,1,0,0,1,2,0,2,16,36,-10.63285517839433,False,GOLD
27,8,0,2,0,1,0,2,1,2,0,40,19,13.392671716185582,True,GOLD
28,8,6,2,0,2,0,3,3,0,2,35,35,0.9567189077251754,True,GOLD
29,5,8,0,1,0,1,1,2,1,0,27,31,-3.503844325609016,False,GOLD
30,4,9,0,1,0,1,1,3,1,1,37,41,-3.1898144858418505,False,GOLD
31,2,10,0,2,0,1,1,3,0,2,27,47,-7.239058391707317,False,GOLD
