,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,2,5,0,0,0,1,0,4,1,1,12,22,-8.129732191343344,False,DIAMOND
1,8,4,1,0,1,1,2,3,1,1,37,25,7.553613420337015,True,DIAMOND
2,9,1,2,0,1,0,2,2,2,0,37,21,5.943559147882013,True,DIAMOND
3,9,2,3,0,1,0,2,1,2,0,40,21,4.712906211670273,True,DIAMOND
4,9,4,1,0,0,2,2,3,2,0,46,36,-0.8166438587535509,True,DIAMOND
5,9,6,2,1,1,2,2,3,1,0,43,39,1.0061604250529612,False,DIAMOND
6,8,4,1,0,1,0,3,1,0,2,42,29,7.567382558567495,True,DIAMOND
7,2,3,0,0,0,0,0,3,2,0,16,31,-9.02379119540904,False,DIAMOND
8,8,6,1,1,0,1,2,1,1,1,32,28,3.252369352950595,True,DIAMOND
9,4,2,0,0,1,0,2,0,0,2,31,17,7.219976323137132,True,DIAMOND
10,11,1,3,0,1,0,2,1,0,2,40,29,4.159348212717667,True,DIAMOND
11,11,4,3,0,1,0,4,0,2,0,29,24,5.0646212401315935,True,DIAMOND
12,10,2,2,0,0,0,4,0,1,1,43,24,10.787799007953133,True,DIAMOND
13,10,6,3,1,1,1,2,3,1,1,51,43,2.1867015645489687,True,DIAMOND
14,8,1,1,0,0,0,2,1,2,0,33,21,3.583133362562805,True,DIAMOND
15,11,0,6,0,2,0,4,1,2,0,49,41,2.5994356547306694,True,DIAMOND
16,9,4,2,0,1,0,1,2,1,1,27,23,0.9060974262611126,True,DIAMOND
17,2,8,0,1,0,0,0,3,2,0,19,39,-6.15103304720305,False,DIAMOND
18,3,9,0,2,0,1,1,3,2,0,14,33,-8.81183150362859,False,DIAMOND
19,11,7,3,1,2,0,3,1,1,0,40,18,9.280200398524094,True,DIAMOND
20,2,6,0,1,0,1,0,3,1,1,33,42,-4.9152447427533374,False,DIAMOND
21,9,1,1,0,1,0,3,0,2,0,37,21,9.123641133733052,True,DIAMOND
22,11,3,3,0,1,0,3,1,1,1,41,39,-2.8135162146170742,True,DIAMOND
23,9,5,1,0,1,0,1,3,0,1,29,27,6.885883222210296,True,DIAMOND
24,6,11,0,5,0,3,2,3,1,1,41,46,-0.3701911453632931,False,DIAMOND
25,6,7,1,1,0,2,1,4,2,0,31,48,-4.206501329864032,False,DIAMOND
26,8,2,1,0,1,1,3,1,1,0,48,29,4.806184190213287,True,DIAMOND
27,9,2,2,0,1,0,2,1,1,1,28,28,2.4220651823276143,True,DIAMOND
28,2,9,0,2,0,1,2,1,0,2,35,49,-5.844879451316267,False,DIAMOND
29,10,3,2,0,1,0,2,1,0,2,42,28,2.164020941823594,True,DIAMOND
30,3,11,0,2,0,1,2,2,0,2,17,37,-10.042778422321682,False,DIAMOND
31,3,8,0,1,0,1,2,2,0,1,11,32,-11.704725230307744,False,DIAMOND
32,2,5,0,0,0,1,2,2,0,2,19,38,-7.888084137448722,False,DIAMOND
33,0,10,0,2,0,1,2,2,0,2,20,41,-6.3852279715772156,False,DIAMOND
34,7,8,1,1,1,1,4,0,1,1,34,28,4.292736652896387,False,DIAMOND
