,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,9,6,3,0,0,2,4,2,0,2,57,38,6.371924982628947,True,MASTER
1,11,7,4,0,1,0,4,0,1,1,35,22,9.434094006314325,True,MASTER
2,8,7,1,1,1,1,3,1,1,1,23,36,-8.228269816190206,True,MASTER
3,11,0,3,0,1,0,3,0,2,0,50,32,6.965258981322883,True,MASTER
4,7,6,1,0,1,1,4,2,0,2,45,47,-1.9931542679414775,True,MASTER
5,3,11,0,3,0,1,1,3,0,2,27,32,-5.31391231634133,False,MASTER
6,5,7,0,1,0,1,0,3,2,0,27,49,-9.720671177817046,False,MASTER
7,2,8,0,1,0,1,0,3,1,1,12,32,-8.829976779404447,False,MASTER
8,7,3,1,0,1,0,3,1,0,2,33,32,-0.8848218688630993,True,MASTER
9,9,4,3,0,1,1,3,2,1,1,54,35,5.417749420029224,True,MASTER
10,11,4,3,0,2,1,4,1,1,1,50,39,6.454174895318452,True,MASTER
11,2,11,0,2,0,1,1,3,0,2,28,40,-6.017604068660347,False,MASTER
12,1,9,0,2,0,1,2,1,0,2,18,43,-8.386227964708183,False,MASTER
13,1,11,0,5,0,2,1,4,0,1,29,35,-1.2770603328728143,False,MASTER
14,10,5,2,0,1,0,3,1,0,2,47,24,13.388931505903969,True,MASTER
15,2,9,0,1,0,1,0,3,0,2,21,47,-10.378084658494927,False,MASTER
16,8,4,1,0,1,0,3,0,0,2,41,24,5.425434002537955,True,MASTER
17,8,8,1,2,0,2,5,1,1,1,45,36,5.7610429221257675,True,MASTER
18,5,11,0,3,0,2,1,3,2,0,20,32,-3.8321693652136233,False,MASTER
19,6,7,0,1,1,1,3,2,0,2,37,40,-4.662812062615927,False,MASTER
20,10,1,2,0,1,0,2,1,2,0,32,19,5.985206569245783,True,MASTER
21,8,3,1,0,0,1,1,3,0,2,32,20,3.7175284033729454,True,MASTER
22,10,3,1,0,1,1,2,2,1,1,35,20,8.346962615428026,True,MASTER
23,7,1,2,0,1,0,3,0,1,0,21,11,7.777902653694312,True,MASTER
24,9,3,2,0,0,1,2,2,0,2,31,27,5.461576591868592,True,MASTER
25,0,10,0,2,0,0,0,4,0,2,9,30,-14.924885951680771,False,MASTER
26,11,2,3,0,0,1,1,2,1,0,51,10,14.426228662489198,True,MASTER
27,10,2,2,0,2,0,1,4,0,2,32,19,5.144574427271316,True,MASTER
28,10,4,2,0,1,0,2,2,1,1,37,27,3.3829865305827838,True,MASTER
29,9,1,1,0,2,0,3,1,2,0,41,35,1.0091557865161391,True,MASTER
30,2,10,0,2,0,1,0,3,0,2,25,44,-7.801516876617747,False,MASTER
31,8,5,1,0,1,1,1,4,1,1,36,32,4.778530304671385,True,MASTER
32,7,3,1,0,1,0,2,2,2,0,33,26,3.3915467053664727,True,MASTER
33,11,1,3,0,1,0,3,1,0,2,33,10,10.740673711648029,True,MASTER
34,9,3,1,0,1,1,4,0,0,1,39,19,8.671400596727658,True,MASTER
