,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,3,7,0,2,0,1,0,4,0,2,18,34,-14.348985872206285,False,IRON
1,1,10,0,2,0,1,1,2,0,2,23,25,1.3693126635728277,False,IRON
2,4,11,0,4,0,1,0,4,0,1,18,37,-6.7262985763273875,False,IRON
3,3,11,0,4,0,1,1,3,0,0,29,45,-8.793321429051183,False,IRON
4,4,11,0,3,0,1,3,2,1,1,33,29,4.315840346543055,False,IRON
5,9,6,1,2,1,0,0,3,0,1,39,29,3.5752758304715684,True,IRON
6,3,10,0,2,0,0,1,2,0,1,22,35,-6.447574063653889,False,IRON
7,4,4,2,1,0,0,0,0,0,0,79,68,1.8206922311489393,False,IRON
8,1,4,0,1,0,0,0,0,0,0,61,66,-0.42057249567704247,False,IRON
9,1,11,0,3,0,1,1,3,0,2,27,37,-4.593514329533889,False,IRON
10,9,10,3,5,0,3,2,5,1,1,76,63,6.256461617256093,False,IRON
11,9,3,2,0,0,0,3,1,0,1,26,31,-5.0291418692661765,True,IRON
12,9,5,1,0,0,0,1,2,1,1,38,16,17.825491687916458,True,IRON
13,1,8,0,1,0,0,2,1,0,2,19,31,-10.121421357426378,False,IRON
14,4,10,0,2,0,1,1,4,0,2,26,41,-8.415748492332192,False,IRON
15,6,11,0,3,0,2,4,2,2,0,39,36,-0.5874503060006404,False,IRON
16,11,9,3,2,1,0,2,4,0,2,36,50,-2.9957236449800675,False,IRON
17,1,10,0,2,0,0,0,3,0,2,23,27,-10.280669919722612,False,IRON
18,10,3,1,0,0,0,3,1,2,0,26,24,4.459303683946622,True,IRON
19,3,10,0,3,0,1,0,4,0,2,14,36,-14.595139675241438,False,IRON
20,11,3,3,0,0,0,4,0,1,0,58,28,9.303994274212933,True,IRON
21,2,11,0,3,0,1,0,4,1,1,21,42,-10.004918120008487,False,IRON
22,11,7,5,2,3,0,4,2,1,1,60,34,6.303827980695196,True,IRON
23,3,8,0,1,0,1,2,3,1,1,26,40,-11.59586722544266,False,IRON
24,4,8,0,1,0,1,1,3,0,2,26,32,0.3752621100650799,False,IRON
25,6,11,1,3,1,1,4,1,0,1,45,31,-0.8142527960149124,False,IRON
26,5,9,0,1,0,1,2,4,2,0,34,40,-4.504479202730806,False,IRON
27,10,8,4,2,2,1,4,2,1,0,28,62,-8.675746935887489,True,IRON
28,11,9,3,4,1,0,3,3,2,0,64,47,5.2846789824284315,True,IRON
29,4,11,0,3,0,1,3,1,1,1,16,25,-9.363146640729077,False,IRON
30,3,10,0,1,0,0,2,2,1,1,18,32,-5.101521105835069,False,IRON
31,9,4,2,0,1,0,4,2,2,0,49,31,3.744222592615735,True,IRON
