,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,11,6,2,0,0,0,1,2,0,2,33,44,-3.232922369624845,True,GOLD
1,6,10,1,1,1,0,2,2,1,1,44,38,2.3696893512638013,False,GOLD
2,10,1,1,0,0,0,3,0,0,2,53,29,9.144514284287553,True,GOLD
3,3,8,0,1,0,1,0,4,0,2,23,41,-8.687479412258881,False,GOLD
4,8,11,1,3,0,1,3,2,1,1,34,27,2.777596331641057,True,GOLD
5,10,1,2,0,1,0,4,0,2,0,28,11,14.140160705764359,True,GOLD
6,9,6,2,1,1,0,3,1,0,2,39,22,9.574286130892922,True,GOLD
7,3,8,0,2,0,1,0,4,2,0,14,34,-9.337494043562629,False,GOLD
8,11,2,3,0,0,1,3,0,1,0,41,20,7.1862441331856175,True,GOLD
9,7,7,1,1,1,0,2,3,1,0,39,36,-0.7441997205349722,True,GOLD
10,9,3,1,0,1,0,3,0,1,1,37,18,11.055811020539707,True,GOLD
11,6,11,0,5,0,2,0,4,1,1,37,41,-5.235030056184293,False,GOLD
12,3,9,0,1,0,1,1,3,1,1,21,32,-9.534377789365806,False,GOLD
13,8,4,1,0,1,0,2,1,1,1,45,31,3.3691374336334405,True,GOLD
14,11,3,3,0,0,0,3,0,0,2,51,29,7.527572335627596,True,GOLD
15,10,4,2,0,1,0,2,1,2,0,27,19,7.759727877476578,True,GOLD
16,3,8,0,1,0,1,1,3,1,0,19,29,-8.862128947527864,False,GOLD
17,1,11,0,3,0,1,0,3,1,1,19,47,-9.978323078570355,False,GOLD
18,7,2,1,0,1,0,2,1,0,1,46,28,6.704078357797812,True,GOLD
19,9,9,3,3,1,2,2,4,1,1,28,47,-7.592775762377052,False,GOLD
20,3,7,0,1,0,0,1,3,1,0,29,50,-12.033807295017645,False,GOLD
21,11,2,3,0,1,0,2,1,2,0,34,23,2.437683809751448,True,GOLD
22,3,10,0,2,0,1,2,2,0,2,27,36,-2.884275460972539,False,GOLD
23,5,6,0,0,2,0,3,1,1,1,40,27,1.9592763550596786,True,GOLD
24,3,8,0,1,1,0,0,3,1,0,21,37,-6.684568432388026,False,GOLD
25,2,9,0,2,0,1,0,4,1,1,17,34,-10.667592532008022,False,GOLD
26,5,10,0,2,0,1,0,4,1,1,30,43,-2.6607356764861834,False,GOLD
27,11,0,4,0,0,0,3,0,0,1,29,14,9.073176401418088,True,GOLD
28,6,1,1,0,0,0,3,0,1,0,37,25,3.4607604912260115,True,GOLD
29,4,4,1,1,0,0,0,0,0,0,45,55,-5.748592984548303,False,GOLD
30,3,10,0,2,1,0,1,3,0,1,36,41,-4.025718538108286,False,GOLD
31,4,8,0,2,1,0,0,4,0,1,29,44,0.15727368669360686,False,GOLD
32,4,7,0,2,0,2,2,3,0,2,12,20,-0.06554113684030938,False,GOLD
33,9,6,2,0,0,2,5,0,1,0,40,32,5.545753529945685,True,GOLD
34,1,5,0,0,0,1,1,2,0,2,17,31,-8.129273371150795,False,GOLD
35,9,5,1,0,1,0,4,1,2,0,52,31,9.22992980020745,True,GOLD
36,4,10,0,1,0,2,1,3,1,1,25,34,-3.7259663090285002,False,GOLD
37,0,3,0,2,0,0,0,0,0,0,43,60,-4.449258087929607,False,GOLD
