,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,4,4,2,2,0,0,0,0,0,0,73,62,3.6625923304778354,False,GOLD
1,1,4,0,2,0,0,0,0,0,0,63,72,-1.143912932462328,False,GOLD
2,2,5,0,0,0,0,1,2,0,1,38,41,-3.929430409230484,False,GOLD
3,10,9,2,2,1,1,4,3,1,0,72,49,8.740093909856256,True,GOLD
4,6,10,0,2,2,0,1,4,0,1,39,45,-3.2804805806479678,False,GOLD
5,9,5,3,0,1,0,3,1,0,1,60,34,6.722312837223242,True,GOLD
6,10,8,2,1,1,1,3,3,1,0,44,38,5.1806755822983135,True,GOLD
7,7,10,1,2,0,1,2,2,1,1,33,38,-2.532525415460583,False,GOLD
8,10,8,3,2,1,1,0,4,1,0,49,67,-8.097904853250789,False,GOLD
9,5,7,0,1,1,1,2,3,1,0,28,48,-7.0796764514366615,False,GOLD
10,5,1,0,0,0,0,1,1,1,1,29,16,7.519403392045113,True,GOLD
11,5,7,0,1,0,0,3,2,2,0,34,40,-3.966876945418072,False,GOLD
12,5,10,0,2,1,1,1,4,0,2,29,43,-5.649170305540125,False,GOLD
13,6,4,0,0,0,1,1,3,2,0,34,38,-1.068590573931992,False,GOLD
14,2,7,0,1,0,1,1,2,0,2,20,32,-9.53320607961411,False,GOLD
15,11,3,3,0,1,0,3,1,2,0,38,28,0.581757690724217,True,GOLD
16,6,11,1,2,0,0,2,1,1,1,29,29,0.07105178198324325,False,GOLD
17,1,10,0,2,1,0,1,3,0,2,34,43,-5.811651590435005,False,GOLD
18,4,10,0,2,0,1,0,4,0,2,27,45,-8.597924814105895,False,GOLD
19,10,4,2,0,1,0,3,1,0,1,39,17,8.107252302874926,True,GOLD
20,2,10,0,2,0,1,0,4,1,1,19,32,-6.341067011421153,False,GOLD
21,9,4,1,1,1,0,1,2,1,0,26,16,6.763515117564488,True,GOLD
22,8,9,3,2,0,1,1,3,1,1,27,46,-8.682675297571272,False,GOLD
23,5,9,1,1,0,1,0,4,0,2,26,33,-3.265565131075711,False,GOLD
24,4,11,0,3,0,1,1,4,1,1,28,34,-4.4321736803192096,False,GOLD
25,10,6,3,0,1,1,3,2,2,0,48,43,-0.7573344454337771,True,GOLD
26,8,4,1,0,1,0,4,1,1,1,33,19,6.622478986790853,True,GOLD
27,5,3,0,0,1,0,2,1,0,2,27,9,13.470076194191343,True,GOLD
28,4,11,0,4,0,2,2,3,0,2,39,41,-0.45499145894739,False,GOLD
29,9,5,2,0,1,0,3,2,0,2,44,28,6.939816000690406,True,GOLD
30,11,0,3,0,1,0,2,2,2,0,30,13,11.195145958715067,True,GOLD
31,10,3,1,0,3,0,4,2,2,0,46,35,7.57663167950583,True,GOLD
32,9,4,1,0,1,0,3,1,0,2,34,15,9.59698688489302,True,GOLD
33,10,6,2,0,1,0,2,3,1,1,29,27,0.22602951418878092,True,GOLD
34,5,8,0,1,1,0,4,1,1,0,32,43,-3.5998010816606794,False,GOLD
