,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,1,9,0,1,0,0,0,3,0,2,14,41,-7.756254015046871,False,IRON
1,3,7,0,0,0,0,3,2,1,1,34,47,-7.441671996521265,False,IRON
2,6,9,0,2,0,2,3,1,1,1,23,49,-15.485950263454367,False,IRON
3,9,8,1,1,1,1,4,3,1,0,37,42,-4.7684670189801395,False,IRON
4,4,11,0,5,0,1,3,2,1,1,39,38,-0.8405256042034139,False,IRON
5,2,7,0,1,0,1,1,2,0,2,15,33,-11.55239995529599,False,IRON
6,10,6,2,1,1,0,2,3,1,1,44,45,4.377255047572696,True,IRON
7,1,11,0,3,0,0,0,3,0,2,17,34,-6.26934173363702,False,IRON
8,7,8,1,1,0,2,3,3,2,0,37,39,-2.178785698158258,False,IRON
9,8,11,4,5,1,1,4,3,1,0,62,57,-0.9109375477065029,False,IRON
10,10,7,3,1,1,0,5,1,1,1,44,42,0.48157926975410703,True,IRON
11,4,10,0,2,0,0,2,2,0,1,28,38,-8.361980590706857,False,IRON
12,7,2,1,0,1,0,4,0,2,0,47,22,4.844008388358986,True,IRON
13,10,9,2,2,2,2,5,1,1,0,50,57,0.03276748807248708,True,IRON
14,10,3,3,0,1,0,2,2,1,0,50,35,5.312840744111931,True,IRON
15,3,6,0,1,0,0,0,4,0,2,20,45,-9.778329657853966,False,IRON
16,0,11,0,5,0,1,0,4,0,2,17,33,-10.125829232231972,False,IRON
17,10,5,2,0,0,1,2,3,1,1,46,43,-0.47636815656436227,True,IRON
18,6,9,0,2,1,0,0,5,2,0,47,44,-3.810120592317574,False,IRON
19,8,9,2,1,0,0,3,3,0,0,45,55,-6.780590507849382,False,IRON
20,9,0,2,0,1,0,4,0,2,0,32,25,5.198622073836837,True,IRON
21,5,11,0,6,0,2,3,3,0,2,39,54,-5.10020333287423,False,IRON
22,3,2,0,0,0,0,3,0,0,2,38,14,15.067428837424995,True,IRON
23,7,5,2,0,1,0,3,1,1,0,39,25,2.730204510473037,True,IRON
24,7,9,1,3,0,1,4,3,0,1,45,50,-1.7111658017980034,True,IRON
25,3,4,0,0,0,1,1,2,1,0,24,32,-5.227529695227311,False,IRON
26,2,11,0,4,0,0,0,4,1,0,27,56,-14.569171536949167,False,IRON
27,10,4,1,0,0,0,4,1,0,1,35,25,6.230246899207323,True,IRON
28,8,1,0,0,0,0,4,0,0,1,44,23,10.062836834293485,True,IRON
