,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,0,11,0,4,0,2,0,3,0,2,17,35,-8.938928470252748,False,GOLD
1,10,3,2,0,2,0,4,0,1,1,26,6,13.390937319349334,True,GOLD
2,5,8,0,1,0,1,2,1,2,0,16,26,-8.496315685913096,False,GOLD
3,9,2,1,0,1,0,3,0,1,1,34,18,8.264544610025197,True,GOLD
4,7,10,1,2,0,2,4,1,0,2,55,23,12.001898380786734,True,GOLD
5,10,1,2,0,1,0,4,0,2,0,34,14,10.309864085112466,True,GOLD
6,7,8,0,2,1,1,3,3,2,0,50,38,2.020953821401676,False,GOLD
7,7,6,1,0,2,0,3,3,1,1,29,31,-1.4189734773214937,True,GOLD
8,9,3,1,0,1,0,3,1,1,1,33,24,6.464031154150376,True,GOLD
9,8,2,1,0,1,0,4,0,0,2,27,18,9.287736659326214,True,GOLD
10,8,5,1,0,1,2,5,1,2,0,36,32,3.341342898324072,True,GOLD
11,10,3,2,0,1,0,2,2,2,0,31,15,10.396059881946599,True,GOLD
12,10,3,3,0,1,0,4,1,0,2,55,29,7.577869939761932,True,GOLD
13,9,3,1,0,0,0,3,1,1,0,40,27,2.2861273930315917,True,GOLD
14,3,9,0,3,0,1,2,3,2,0,26,39,-4.288820675851547,False,GOLD
15,8,1,1,0,0,0,3,1,2,0,49,36,8.200998566550865,True,GOLD
16,10,1,2,0,0,0,4,1,1,0,43,27,4.655614123520898,True,GOLD
17,11,5,3,0,1,0,4,1,0,1,39,34,-2.4301048748984684,True,GOLD
18,11,4,2,0,1,0,4,0,1,1,37,27,2.729281868030263,True,GOLD
19,11,7,3,0,0,1,4,0,0,2,30,34,-2.74557875389398,True,GOLD
20,8,8,1,1,0,1,5,0,0,2,39,28,6.166353429545843,True,GOLD
21,8,5,1,1,1,0,4,1,2,0,26,37,-8.34624855374446,True,GOLD
22,1,11,0,4,0,1,1,4,0,2,14,33,-10.772653187784684,False,GOLD
23,10,2,3,0,1,0,4,1,2,0,39,19,11.183431066651629,True,GOLD
24,11,2,3,0,1,0,2,2,0,1,33,31,2.643072130846015,True,GOLD
25,5,3,0,0,1,0,2,1,0,0,34,20,8.110163500350907,True,GOLD
26,10,6,2,0,0,2,5,1,1,1,39,51,-4.463357597053999,True,GOLD
27,11,3,3,0,0,0,1,3,0,1,44,25,8.301531646397379,True,GOLD
28,4,2,1,0,0,0,0,0,0,0,61,65,-4.383054026235307,True,GOLD
29,3,8,0,1,0,0,1,2,1,1,23,31,-3.8646448809680223,False,GOLD
30,3,5,0,1,0,1,0,3,0,2,22,35,-5.537413668677736,False,GOLD
31,5,9,0,2,1,1,0,5,1,1,36,34,-1.7183672065055333,False,GOLD
32,7,4,1,0,1,0,3,2,0,1,53,23,11.236216742760043,True,GOLD
33,0,11,0,4,0,1,0,4,0,1,29,74,-14.170999177951586,False,GOLD
34,7,9,0,1,0,2,4,2,0,1,45,55,-7.680553527740258,False,GOLD
35,9,3,2,0,1,0,3,3,1,0,35,35,-0.6382316019762655,True,GOLD
36,6,9,0,3,0,0,2,4,0,1,32,42,-1.4528346255011542,False,GOLD
